panel,book,gross,band,cost,X0_dS_ctrl,X0_dC_ctrl,X_TWIN,X_GROSSC,X_PLAC,X_EWALL,X_TO,X_DRAG,dS_twin_c,T_OOS,T_OOS_dctrl,pass4b,pass4a,mean_gross,OOS_CAGR,OOS_MaxDD,X_CSTAR_L1,X_CSTAR_L2,X_CSTAR_L4,X_CSTAR_L6
u56,TOP20,0.5,0.0,0.0,-0.07122493780566841,-0.012482374568338894,-0.07121014638999901,-0.007780992967257427,0.17511387301763293,0.08887659223585165,6.092748871851858,0.0,-0.07121014638999901,1.2450518762825482,0.009674595916898232,False,False,0.4751632515199281,0.1107570773006541,-0.13041670896383917,,-131.50802841089313,-131.5366950376019,-131.52599864087665
u56,TOP20,0.5,0.0,5.0,-0.07394428829177024,-0.01244183988329417,-0.073905742052506,-0.007904489683483451,0.1960752695241873,0.05094334990820415,6.092748871851858,0.0030463744359259287,-0.073905742052506,1.2121566214510437,0.008257497074985354,False,False,0.4751632515199281,0.10755679133493579,-0.13074856757083098,,-131.50802841089313,-131.5366950376019,-131.52599864087665
u56,TOP20,0.5,0.0,10.0,-0.07666842217391912,-0.012401438160332123,-0.07660606337758358,-0.0080272073806118,0.21707376336488826,0.0129640339097441,6.092748871851858,0.0060927488718518575,-0.07660606337758358,1.1792294375971484,0.006835222930304585,False,False,0.4751632515199281,0.10436550558488689,-0.13108033478110193,,-131.50802841089313,-131.5366950376019,-131.52599864087665
u56,TOP20,0.5,0.0,15.0,-0.07939643573405353,-0.012361168963080926,-0.07931021241122638,-0.008149149441373238,0.23809608089651668,-0.025056900446376096,6.092748871851858,0.009139123307777787,-0.07931021241122638,1.146272464442607,0.0054080595094936346,False,False,0.4751632515199281,0.10118319535386422,-0.13141201061054308,,-131.50802841089313,-131.5366950376019,-131.52599864087665
u56,TOP20,0.5,0.0,25.0,-0.0848604718349002,-0.012281026407299,-0.08472638675123112,-0.00839072012197195,0.2801589915148648,-0.10120573592966542,6.092748871851858,0.015231872179629645,-0.08472638675123112,1.0802777416235427,0.002540218334616373,False,False,0.4751632515199281,0.09484540299261979,-0.13207508819049973,,-131.50802841089313,-131.5366950376019,-131.52599864087665
u56,TOP20,0.5,0.0,50.0,-0.09852477304514784,-0.012082958943627098,-0.09827053222183968,-0.008981307572004216,0.384804888460456,-0.29199219673587273,6.092748871851858,0.03046374435925929,-0.09827053222183968,0.9149205064144995,-0.004694595576974048,False,False,0.4751632515199281,0.07915627758774568,-0.1337311840880666,,-131.50802841089313,-131.5366950376019,-131.52599864087665
u56,TOP20,0.5,0.01,0.0,-0.08169786914248722,-0.012750848273738402,-0.08168286285194282,-0.007981750967660739,0.19249875464327237,0.07840366089903283,6.027198813990342,0.0,-0.08168286285194282,1.2514165634639878,0.016039283098337798,False,False,0.4748367484800722,0.11155869608116364,-0.13081498153488635,,-205.72381828683805,-205.74171417485914,-205.72755209108212
u56,TOP20,0.5,0.01,5.0,-0.08369854531232357,-0.012673870940061782,-0.08365943601338399,-0.008071160787632703,0.21265211537537776,0.041189092887650824,6.027198813990342,0.003013599406995171,-0.08365943601338399,1.2190023487130641,0.015103224337005727,False,False,0.4748367484800722,0.10839805784215018,-0.13116815345751698,,-205.72381828683805,-205.74171417485914,-205.72755209108212
u56,TOP20,0.5,0.01,10.0,-0.08570278618182625,-0.012597238024915525,-0.08563951529146951,-0.00815999024095726,0.23284336418153195,0.003929669901836963,6.027198813990342,0.006027198813990342,-0.08563951529146951,1.1865570580607412,0.014162843393897395,False,False,0.4748367484800722,0.10524619090591947,-0.1315212219247861,,-205.72381828683805,-205.74171417485914,-205.72755209108212
u56,TOP20,0.5,0.01,15.0,-0.08770993994323817,-0.012520948187729974,-0.08762245472691843,-0.008248241858543226,0.2530600639657228,-0.03337040465556074,6.027198813990342,0.009040798220985514,-0.08762245472691843,1.1540827495604096,0.013218344627296208,False,False,0.4748367484800722,0.1021030715243827,-0.1318741869557345,,-205.72381828683805,-205.74171417485914,-205.72755209108212
