panel,theta,cad,phase,family,ident_max_err,window,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,CAGR_rs0,CAGR_dg0
U56,0.3,D,calendar,MA-THRESH,3.469446951953614e-18,FULL,0.04258051571857661,0.03947781470497985,-24.169441397504343,-24.108031563389165,-0.061409834115178086,0.9974591951421137,0.25249617767307475,0.01080176369803132
U56,0.3,D,calendar,MA-THRESH,3.469446951953614e-18,IS,0.0341865362721469,0.03378718633485243,-23.72607332901573,-23.98721097328609,0.26113764427035946,1.011006357463753,0.24865065310600776,0.011389919815850469
U56,0.3,D,calendar,MA-THRESH,3.469446951953614e-18,OOS,0.049504772499910116,0.042390108614663496,-24.53604457485332,-24.19458206468448,-0.3414625101688422,0.986083229139598,0.2556772924938353,0.010316846745302088
U56,0.3,D,calendar,QUANTILE-M,8.673617379884035e-19,FULL,0.05654706778537443,0.0018958919385435112,-28.66286329507566,-28.655374385172514,-0.007488909903145213,0.9997387242919157,0.303372257798489,0.016743624847732397
U56,0.3,D,calendar,QUANTILE-M,8.673617379884035e-19,IS,0.05830571113682413,0.0012662084327217317,-31.12172559205606,-31.102098987230352,-0.01962660482570655,0.9993693600064799,0.3291430493443406,0.01792579342377998
U56,0.3,D,calendar,QUANTILE-M,8.673617379884035e-19,OOS,0.055096349656989924,0.0007618657588357867,-26.672078456052418,-26.670964594726243,-0.0011138613261749697,0.9999582386753995,0.2824902631052657,0.015769478544741533
U56,0.3,W,calendar,MA-THRESH,2.6020852139652106e-18,FULL,0.04243563041903711,0.03875019143663788,-28.803210906023757,-28.655117421032863,-0.1480934849908948,0.9948584383361259,0.2994609023968544,0.011428793336616838
U56,0.3,W,calendar,MA-THRESH,2.6020852139652106e-18,IS,0.03445797562720986,0.033419052684489636,-32.87384298516709,-32.99691461480742,0.1230716296403358,1.0037437554744015,0.3413377716357997,0.012599341784128804
U56,0.3,W,calendar,MA-THRESH,2.6020852139652106e-18,OOS,0.04901645786137057,0.041517457013631076,-25.543802098713986,-25.203700145827913,-0.3401019528860729,0.9866855391545961,0.2659022386649572,0.010464217677817356
U56,0.3,W,calendar,QUANTILE-M,1.3010426069826053e-18,FULL,0.05670780910019023,0.002195123978795734,-33.4246688508111,-33.40830355802631,-0.016365292784790597,0.9995103827996671,0.3531436995848807,0.018897011076769665
U56,0.3,W,calendar,QUANTILE-M,1.3010426069826053e-18,IS,0.05843939423380523,0.0016281123829833993,-37.59798685022708,-37.58509572748516,-0.012891122741919503,0.9996571326333702,0.39703598753460945,0.021056119032338616
U56,0.3,W,calendar,QUANTILE-M,1.3010426069826053e-18,OOS,0.05527941149921805,0.0014467471419519968,-30.0857129061747,-30.059567112345565,-0.026145793829133623,0.9991309564805504,0.31797651266161764,0.01711938359987064
U56,0.3,M,calendar,MA-THRESH,3.469446951953614e-18,FULL,0.040648161011179684,0.03894656108959825,-26.09361535459822,-26.063818041965938,-0.029797312632283024,0.9988580611683221,0.27220937230171693,0.011273218755734726
U56,0.3,M,calendar,MA-THRESH,3.469446951953614e-18,IS,0.03318278495778934,0.03268818003625551,-30.73820071289639,-30.874805803242023,0.13660509034563262,1.0044441472557735,0.3191420917893908,0.011760084660426884
