panel,sd_basis,n_ladders,denom_max_over_min,range_max_over_min
U56,S_IID,8,2.0128515511515763,107.78660979434191
U56,S_BLOCK,8,2.0270368894330666,107.78660979434191
U56,S_FOLD,8,2.3816157235013247,107.78660979434191
B136,S_IID,8,2.0450774352599397,35.36659652980519
B136,S_BLOCK,8,1.9564817479619394,35.36659652980519
B136,S_FOLD,8,2.5220036339957033,35.36659652980519
SMALL,S_IID,8,2.094747267978477,106.97542942250804
SMALL,S_BLOCK,8,1.9859792071936644,106.97542942250804
SMALL,S_FOLD,8,1.9746433709267215,106.97542942250804
