Bstar,mn,SMALL-LO,SMALL-HI,BSTK-LO,BSTK-HI
0.3,1,1,30,0,1
0.31,1,1,29,0,1
0.32,1,1,31,0,1
0.33,1,1,35,0,1
0.34,1,2,40,0,1
0.35,1,2,47,0,1
0.36,1,4,47,0,1
0.37,1,4,54,0,1
0.38,2,6,57,0,2
0.39,3,6,60,0,3
0.4,4,13,64,0,4
0.41,4,15,71,0,4
0.42,4,15,78,0,4
0.43,6,18,83,0,6
0.44,6,20,90,0,6
0.45,5,28,95,0,5
0.46,6,35,98,0,6
0.47,6,38,102,0,6
0.48,8,43,102,0,8
0.49,9,49,109,1,9
0.5,10,57,113,1,10
0.51,11,66,112,1,11
0.52,12,74,117,1,12
0.53,15,79,118,4,15
0.54,18,82,122,4,18
0.55,19,92,121,5,19
0.56,21,98,119,6,21
0.57,24,111,115,9,24
0.58,25,115,110,9,25
0.59,26,120,110,11,26
0.6,29,128,109,13,29
0.61,31,130,107,17,31
0.62,34,141,103,18,34
0.63,37,145,101,22,37
0.64,36,153,100,25,36
0.65,36,157,94,27,36
0.66,36,157,92,30,36
0.67,36,157,91,31,36
0.68,36,159,84,34,36
0.69,38,164,82,35,38
0.7,39,166,77,38,39
0.71,38,167,73,40,38
0.72,39,171,70,43,39
0.73,39,171,68,44,39
0.74,39,166,61,44,39
0.75,39,164,57,44,39
0.76,39,161,52,46,39
0.77,38,155,49,46,38
0.78,38,155,45,46,38
0.79,38,152,43,46,38
0.8,36,148,41,46,36
0.81,36,146,33,46,36
0.82,35,142,33,45,35
0.83,34,135,30,45,34
0.84,34,133,29,45,34
0.85,33,125,27,45,33
0.86,32,121,23,45,32
0.87,31,115,21,44,31
0.88,31,113,21,43,31
0.89,28,111,16,42,28
0.9,26,109,12,42,26
