t_bar,strata,char,cells,ZERO,REVERSED,SURVIVES,modal
1.0,3,breadth,9,0,0,9,SURVIVES
1.0,3,disp,9,0,0,9,SURVIVES
1.0,3,corr,9,2,0,7,SURVIVES
1.0,3,evol,9,0,0,9,SURVIVES
1.0,5,breadth,9,0,0,9,SURVIVES
1.0,5,disp,9,4,2,3,ZERO
1.0,5,corr,9,9,0,0,ZERO
1.0,5,evol,9,0,0,9,SURVIVES
1.0,7,breadth,9,5,0,4,ZERO
1.0,7,disp,9,2,6,1,REVERSED
1.0,7,corr,9,2,7,0,REVERSED
1.0,7,evol,9,3,0,6,SURVIVES
1.0,21,breadth,9,5,1,3,ZERO
1.0,21,disp,9,2,6,1,REVERSED
1.0,21,corr,9,2,7,0,REVERSED
1.0,21,evol,9,3,2,4,SURVIVES
1.645,3,breadth,9,0,0,9,SURVIVES
1.645,3,disp,9,1,0,8,SURVIVES
1.645,3,corr,9,3,0,6,SURVIVES
1.645,3,evol,9,0,0,9,SURVIVES
1.645,5,breadth,9,1,0,8,SURVIVES
1.645,5,disp,9,5,1,3,ZERO
1.645,5,corr,9,9,0,0,ZERO
1.645,5,evol,9,0,0,9,SURVIVES
1.645,7,breadth,9,5,0,4,ZERO
1.645,7,disp,9,2,6,1,REVERSED
1.645,7,corr,9,4,5,0,REVERSED
1.645,7,evol,9,5,0,4,ZERO
1.645,21,breadth,9,7,0,2,ZERO
1.645,21,disp,9,2,6,1,REVERSED
1.645,21,corr,9,3,6,0,REVERSED
1.645,21,evol,9,7,1,1,ZERO
1.96,3,breadth,9,0,0,9,SURVIVES
1.96,3,disp,9,1,0,8,SURVIVES
1.96,3,corr,9,5,0,4,ZERO
1.96,3,evol,9,0,0,9,SURVIVES
1.96,5,breadth,9,1,0,8,SURVIVES
1.96,5,disp,9,7,1,1,ZERO
1.96,5,corr,9,9,0,0,ZERO
1.96,5,evol,9,0,0,9,SURVIVES
1.96,7,breadth,9,6,0,3,ZERO
1.96,7,disp,9,3,5,1,REVERSED
1.96,7,corr,9,5,4,0,ZERO
1.96,7,evol,9,5,0,4,ZERO
1.96,21,breadth,9,8,0,1,ZERO
1.96,21,disp,9,2,6,1,REVERSED
1.96,21,corr,9,3,6,0,REVERSED
1.96,21,evol,9,7,1,1,ZERO
2.576,3,breadth,9,1,0,8,SURVIVES
2.576,3,disp,9,4,0,5,SURVIVES
2.576,3,corr,9,7,0,2,ZERO
2.576,3,evol,9,0,0,9,SURVIVES
2.576,5,breadth,9,3,0,6,SURVIVES
2.576,5,disp,9,8,0,1,ZERO
2.576,5,corr,9,9,0,0,ZERO
2.576,5,evol,9,2,0,7,SURVIVES
2.576,7,breadth,9,7,0,2,ZERO
2.576,7,disp,9,3,5,1,REVERSED
2.576,7,corr,9,8,1,0,ZERO
2.576,7,evol,9,5,0,4,ZERO
2.576,21,breadth,9,8,0,1,ZERO
2.576,21,disp,9,3,6,0,REVERSED
2.576,21,corr,9,4,5,0,REVERSED
2.576,21,evol,9,7,1,1,ZERO
