panel,screen,inst,level,book,conv,cost,admit,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,path4a,path4b
SMALL439,NONE_0,NONE,0,EWALL,rw,0,1.0,0.1026654048668223,0.6823698046338597,-0.3620571015358448,0.7994414236101796,0.6196823624990061,0.6419501977306848,KILL(DD),"KILL(H1,H2,OOS,DD)"
SMALL439,NONE_0,NONE,0,EWALL,rw,5,1.0,0.10170710343378375,0.6770163012706227,-0.36293343508118203,0.7935195577402513,0.6145711273638391,0.6366348228340764,KILL(DD),"KILL(H1,H2,OOS,DD)"
SMALL439,NONE_0,NONE,0,EWALL,rw,10,1.0,0.10074961778781177,0.6716626476829737,-0.36380858085920764,0.7875977463474351,0.6094596636272601,0.6313192169431568,KILL(DD),"KILL(H1,H2,OOS,DD)"
SMALL439,NONE_0,NONE,0,EWALL,rw,25,1.0,0.09788204877495632,0.655600861453792,-0.3664269074611143,0.7698327366099991,0.5941239671274899,0.6153710877648604,KILL(DD),"KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,NONE_0,NONE,0,EWALL,dg,0,1.0,0.1026654048668223,0.6823698046338597,-0.3620571015358448,0.7994414236101796,0.6196823624990061,0.6419501977306848,KILL(DD),"KILL(H1,H2,OOS,DD)"
SMALL439,NONE_0,NONE,0,EWALL,dg,5,1.0,0.10170710343378375,0.6770163012706227,-0.36293343508118203,0.7935195577402513,0.6145711273638391,0.6366348228340764,KILL(DD),"KILL(H1,H2,OOS,DD)"
SMALL439,NONE_0,NONE,0,EWALL,dg,10,1.0,0.10074961778781177,0.6716626476829737,-0.36380858085920764,0.7875977463474351,0.6094596636272601,0.6313192169431568,KILL(DD),"KILL(H1,H2,OOS,DD)"
SMALL439,NONE_0,NONE,0,EWALL,dg,25,1.0,0.09788204877495632,0.655600861453792,-0.3664269074611143,0.7698327366099991,0.5941239671274899,0.6153710877648604,KILL(DD),"KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,rw,0,1.0,0.07585661330522742,0.5743596429801755,-0.3707440213768838,0.5738996804923016,0.5863811799539824,0.6046557471857642,KILL(DD),"KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,rw,5,1.0,0.07030777794048992,0.5388759129874676,-0.37659849774234977,0.5357868658296657,0.5520830620724412,0.5700702532337194,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,rw,10,1.0,0.06478682046825734,0.5033872943946726,-0.382399437673825,0.49768164644656354,0.517774065430323,0.535474046054103,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,rw,25,1.0,0.04838985449679556,0.39692147656873156,-0.39948582967310964,0.38344727304384424,0.41480801201684103,0.43164798619867045,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,dg,0,1.0,0.039566563837927005,0.593373260775638,-0.13814921920305767,0.5812509523146603,0.6065955234880682,0.604138854786208,KEEP,"KILL(H1,H2,OOS,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,dg,5,1.0,0.03763397010208469,0.5665627754030855,-0.14061909969792907,0.5524270833707358,0.5813991514025989,0.5778110885831873,KILL(H1),"KILL(H1,H2,OOS,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,dg,10,1.0,0.035704894733805004,0.5397480815504716,-0.14308199721196013,0.5236062702953534,0.5561938564734293,0.5514756511103146,"KILL(H1,H2)","KILL(H1,H2,OOS,CAGR)"
SMALL439,NONE_0,NONE,0,MA200,dg,25,1.0,0.029938716185111236,0.459288448447579,-0.15042898634462787,0.43717406376335005,0.4805325309147572,0.47243247821995826,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,rw,0,0.9689007214257114,0.08584051735211129,0.5879064561664269,-0.37226665035867756,0.7016780424532176,0.5217228080609644,0.5431983625485141,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,rw,5,0.9689007214257114,0.08487904349446795,0.5824537544139639,-0.37314844069682174,0.6957716980462822,0.5164521503246033,0.5377166766178652,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,rw,10,0.9689007214257114,0.08391840347151924,0.5770009197461545,-0.3740290088705811,0.6898654262651116,0.5111812749133889,0.5322347755214718,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,rw,25,0.9689007214257114,0.08104147933360673,0.5606416989806816,-0.3766633971055011,0.6721471439250247,0.4953674157488225,0.5157878632959411,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,dg,0,0.9689007214257114,0.08584051735211129,0.5879064561664269,-0.37226665035867756,0.7016780424532176,0.5217228080609644,0.5431983625485141,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,dg,5,0.9689007214257114,0.08487904349446795,0.5824537544139639,-0.37314844069682174,0.6957716980462822,0.5164521503246033,0.5377166766178652,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,dg,10,0.9689007214257114,0.08391840347151924,0.5770009197461545,-0.3740290088705811,0.6898654262651116,0.5111812749133889,0.5322347755214718,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,EWALL,dg,25,0.9689007214257114,0.08104147933360673,0.5606416989806816,-0.3766633971055011,0.6721471439250247,0.4953674157488225,0.5157878632959411,"KILL(H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,MA200,rw,0,0.9689007214257114,0.06752052523097185,0.5213430225163855,-0.37245973344882466,0.5607979268526518,0.5012706017387001,0.5233595132391756,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,MA200,rw,5,0.9689007214257114,0.06201515071695507,0.48584662544619384,-0.37831506682293425,0.5231749658042356,0.4666998055941915,0.4885163824722109,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,MA200,rw,10,0.9689007214257114,0.05653742910213433,0.4503457300274177,-0.384116705243177,0.48555853133859705,0.43211899438062296,0.45366339161458624,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
SMALL439,PXABS_2,PXABS,2,MA200,rw,25,0.9689007214257114,0.0402688322498308,0.3438456782629846,-0.4012042689190157,0.3727830806834097,0.32834347161038996,0.3490728676947316,"KILL(H1,H2,DD)","KILL(H1,H2,OOS,DD,CAGR)"
