scope,bound,states_L,states_LADDER,carries_verdict,floor_keyed,non_conforming,unrecoverable
SC_BLOCK,489,331,39,272,166,450,154
SC_RESAMPLE,1413,332,42,1196,575,1371,1074
SC_ALL,7989,335,58,4260,6353,7931,7631
