population,tau,published_order,threeway_order,moved,pub_B136,pub_SMALL439,pub_U56,three_B136,three_SMALL439,three_U56
REC-CELLS,0.0,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.06481481481481481
REC-CELLS,1e-16,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.06481481481481481
REC-CELLS,1e-15,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.06481481481481481
REC-CELLS,1e-12,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.06481481481481481
REC-CELLS,1e-09,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.06481481481481481
REC-CELLS,1e-06,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.06481481481481481
REC-CELLS,0.0001,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08411214953271028,0.06481481481481481
REC-CELLS,0.001,B136>SMALL439>U56,B136>SMALL439>U56,False,0.1111111111111111,0.08333333333333333,0.06481481481481481,0.1111111111111111,0.08411214953271028,0.06481481481481481
REC-LADDER,0.0,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,1e-16,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,1e-15,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,1e-12,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,1e-09,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,1e-06,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,0.0001,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.013888888888888888
REC-LADDER,0.001,B136>SMALL439>U56,B136>SMALL439>U56,False,0.027777777777777776,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.02142857142857143,0.013888888888888888
REC-SHUFFLE,0.0,U56>SMALL439>B136,U56>SMALL439>B136,False,0.5149572649572649,0.5384615384615384,0.6239316239316239,0.4595238095238095,0.5384615384615384,0.5779376498800959
REC-SHUFFLE,1e-16,U56>SMALL439>B136,U56>SMALL439>B136,False,0.5149572649572649,0.5384615384615384,0.6239316239316239,0.4595238095238095,0.5384615384615384,0.5779376498800959
