tree,commit,prose_files,run_stems,vs_published
871 vintage,501e82de1780,70,44,0.0
880 vintage,042d6e44cada,79,48,0.12857142857142856
886 vintage,5b7b5431d91c,85,51,0.2142857142857142
HEAD,HEAD,86,51,0.22857142857142865
