panel,sleeve,n_eq,added,sleeve_CAGR,sleeve_Sharpe,sleeve_MaxDD,corr_SPY
u56,S4,0,,0.02630048164818266,0.6156972714049787,-0.08742146474424961,-0.14154723487600795
u56,S4+SY,1,SPY,0.03856591935919007,0.9319636661717315,-0.06819297226952525,0.25005395709287365
u56,S4+QQ,1,QQQ,0.043083280029980076,1.0007194498409915,-0.06509100911187171,0.24180945848633603
u56,S4+IM,1,IWM,0.03125524212318398,0.7390702290691491,-0.06897983166521193,0.14911934746731217
u56,S4+EA,1,EFA,0.027608418836862603,0.6706420938925189,-0.06337546985125819,0.1254833399292191
u56,S4+EM,1,EEM,0.029812332927455776,0.697284360110703,-0.08366960545246505,0.0934473963757714
u56,S4+SYQQ,2,SPY+QQQ,0.05107882553526566,1.082899478927227,-0.07044567293077642,0.4816231291819079
u56,S4+SYIM,2,SPY+IWM,0.04132625084309116,0.9083136490875864,-0.07582174354678495,0.4219661310505161
u56,S4+SYEA,2,SPY+EFA,0.03775622048241245,0.858071951459992,-0.06989351355031803,0.4077658159026779
u56,S4+SYEM,2,SPY+EEM,0.040174734788165134,0.897251475703483,-0.06431574752565217,0.38565247775234224
u56,S4+QQIM,2,QQQ+IWM,0.045327074723894745,0.9710922236558919,-0.0726209480826101,0.4185663657432268
u56,S4+QQEA,2,QQQ+EFA,0.0416647988915253,0.9240107371536145,-0.06657581412289282,0.4046983128720787
u56,S4+QQEM,2,QQQ+EEM,0.044264616865121065,0.9563479832013531,-0.06142195781862991,0.3788423696037098
u56,S4+IMEA,2,IWM+EFA,0.031673342146316896,0.7161805173564328,-0.07201483762699623,0.33234566072164856
u56,S4+IMEM,2,IWM+EEM,0.03380747626202263,0.7472265611473379,-0.06870872240250003,0.3073141169439748
u56,S4+EAEM,2,EFA+EEM,0.030322072275159595,0.6786938284624434,-0.06264134978025993,0.28398796021640726
u56,S4+SYQQIM,3,SPY+QQQ+IWM,0.0522463596185514,1.007938039446709,-0.08739475043870504,0.5676457045792165
u56,S4+SYQQEA,3,SPY+QQQ+EFA,0.04876871685197637,0.9733109782397594,-0.08211154072844262,0.5610160475581553
u56,S4+SYQQEM,3,SPY+QQQ+EEM,0.05134829516955741,1.0096810897055246,-0.0775388741758245,0.545158045225527
u56,S4+SYIMEA,3,SPY+IWM+EFA,0.04027612723661855,0.8272031032640085,-0.08656128907876293,0.5136344932550486
u56,S4+SYIMEM,3,SPY+IWM+EEM,0.04253666608875384,0.8631467702497325,-0.08180476539530601,0.498421226642219
u56,S4+SYEAEM,3,SPY+EFA+EEM,0.039180909641770345,0.8116559219864383,-0.07666388661920642,0.48269361021296503
u56,S4+QQIMEA,3,QQQ+IWM+EFA,0.04379451056358774,0.8833088214865558,-0.08395039349714695,0.5140234629715222
u56,S4+QQIMEM,3,QQQ+IWM+EEM,0.046196611378050534,0.9152892636526112,-0.07895147259677193,0.49560687097711664
u56,S4+QQEAEM,3,QQQ+EFA+EEM,0.04275564929466835,0.8655088140470295,-0.07411527407705898,0.48018001992216747
u56,S4+IMEAEM,3,IWM+EFA+EEM,0.03374701595641483,0.6972062976947774,-0.0782651502176328,0.4239734118026817
