panel,scaler,m,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,pass4a,pass4b,fail4b
broad,INV,0.55,0.06402635948064606,0.8541565051926263,-0.12904815957111704,1.0746552546439059,0.6643884474410527,0.7480118430958123,True,False,"H2,OOS,CAGR"
broad,INV,0.6,0.06975733815969942,0.8542158107353419,-0.1403910667037832,1.0749511941946512,0.6643018044159558,0.7479339741692446,True,False,"H2,OOS,CAGR"
broad,INV,0.65,0.07546982795286472,0.8542662373760356,-0.15166838865419774,1.0752386887398018,0.664207084822163,0.7478476226275359,True,False,"H2,OOS,CAGR"
broad,INV,0.7,0.08116285941201462,0.8543066242813974,-0.16288019714662716,1.0755168385693765,0.6641029190429103,0.7477514543151648,True,False,"H2,OOS,CAGR"
broad,NONE,0.55,0.09618741262025798,0.9552313056264812,-0.14943601943893248,1.1225778487011022,0.8097298066355532,0.8903177251679739,True,False,"H2,CAGR"
broad,NONE,0.6,0.10488148517696749,0.9556700122267108,-0.16236818224018235,1.123095199795488,0.8101357695467419,0.8907314646521738,True,False,"H2,CAGR"
broad,NONE,0.65,0.11355992609441268,0.956099379677618,-0.17519266285141355,1.1236028848539514,0.8105338388601705,0.8911365396892873,True,False,H2
broad,NONE,0.7,0.12222092794823247,0.9565190511299632,-0.18790979185763979,1.1241009656846574,0.8109233454249296,0.8915321595246598,True,False,H2
broad,POS,0.55,0.11705837969211474,1.0501387945617857,-0.15966897310486594,1.1952665695099431,0.9249122336510923,1.0029192325492162,True,True,-
broad,POS,0.6,0.12773930026923974,1.0505356757517008,-0.17336918661572165,1.1956101086429485,0.9253939514643786,1.0033868099393146,True,True,-
broad,POS,0.65,0.138417123657671,1.050922959429529,-0.18693263221911327,1.1959440832012331,0.9258672888555983,1.0038449607970332,True,True,-
broad,POS,0.7,0.149089390442797,1.0512999972795332,-0.20035917736307018,1.1962668303575028,0.9263325568923236,1.004294034945455,True,True,-
u56,INV,0.55,0.07267030980486489,0.9960182164037604,-0.12915317095020185,1.0531032222330547,0.9503634045342768,1.0303028207433174,True,False,CAGR
u56,INV,0.6,0.07925388855011728,0.995986592803385,-0.14043441679271962,1.0532395259429554,0.9501999123922316,1.030155861678906,False,False,CAGR
u56,INV,0.65,0.08583007376979879,0.9959446293502014,-0.15163928215776135,1.0533650721795749,0.950026762667171,1.0299987416664325,False,False,CAGR
u56,INV,0.7,0.09239795845605148,0.9958918980559704,-0.16276779511924755,1.0534807994055426,0.9498423286488301,1.0298300742481128,False,False,CAGR
u56,NONE,0.55,0.09270098881095956,1.0918331917897022,-0.13617282902173933,1.088097668768833,1.1011064879588393,1.1675566950444387,True,False,CAGR
u56,NONE,0.6,0.10117271987932686,1.0919242091097399,-0.14803017863873003,1.0881587817492337,1.1012308927797598,1.167680911424484,False,False,CAGR
