censoring,n,N0,N3,N5,N7,N9
605 (0 < c* < inf),494,-0.5130754883941299,-0.416691419392288,-0.4169016208516582,-0.5521281252465197,-0.99986084162448
finite only (c* >= 0),584,-0.2901788404893401,-0.2221330736204621,-0.23683168856474562,-0.3275533348657151,-0.33237965411698067
"all arms, +inf ranked top",648,-0.24432041955204906,-0.1751367622096266,-0.1826958005908031,-0.3755053980922483,-0.34595741439101635
strictly inside 0-100 bps,421,-0.3498929338047155,-0.2509326159742536,-0.2542637142439013,-0.3509136932570193,-0.9997962423027997
