panel,form,gross,book,near,far,family,k,cost,episode,CAGR_pp,DD_pp,Sharpe
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,10.0,NONE,9.480833505939312,-12.569250862902992,1.206718023573479
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,10.0,CRASH,10.309420021003056,-8.379095118082525,1.328966392671654
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,10.0,HALF1,9.685205183081202,-8.379095118082525,1.2578255604643032
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,10.0,YEAR,9.119612584253911,-8.379095118082525,1.2049562858283176
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,10.0,PLA2018_YEAR,9.98502723547654,-12.569250862902958,1.275020713748418
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,10.0,PLA2022_YEAR,10.451298162185685,-12.569250862902992,1.3040840888414282
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,25.0,NONE,9.220895032386034,-12.616463785725395,1.1762182916761388
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,25.0,CRASH,10.04948285017202,-8.436251893315838,1.2980149916581822
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,25.0,HALF1,9.427146535233732,-8.436251893315838,1.2268522618340902
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,25.0,YEAR,8.861421798813485,-8.436251893315838,1.173322003784053
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,25.0,PLA2018_YEAR,9.725148849345477,-12.616463785725408,1.2444464723013562
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,0,25.0,PLA2022_YEAR,10.190346680008911,-12.616463785725395,1.274133218256396
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,10.0,NONE,9.072108996757056,-15.114151269453169,1.1243156339875564
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,10.0,CRASH,10.109776692174698,-9.133462331191156,1.2974651189320372
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,10.0,HALF1,9.423587573976878,-9.133462331191156,1.2270248074181278
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,10.0,YEAR,8.773700045743805,-9.133462331191156,1.1632296205959918
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,10.0,PLA2018_YEAR,9.574064916268131,-15.114151269453192,1.1881617067874577
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,10.0,PLA2022_YEAR,9.988025903067843,-15.114151269453169,1.214461718016904
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,25.0,NONE,8.805240182626761,-15.137746727666023,1.0936354242844977
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,25.0,CRASH,9.840648920686235,-9.269949748168383,1.2653606398842412
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,25.0,HALF1,9.158452720529887,-9.269949748168383,1.194866202976193
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,25.0,YEAR,8.507335949733786,-9.269949748168383,1.1302627431806784
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,25.0,PLA2018_YEAR,9.307596935452223,-15.137746727666023,1.1575251526376644
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,1,25.0,PLA2022_YEAR,9.721962510664039,-15.137746727666023,1.184444187949303
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,10.0,NONE,9.40035289804646,-13.64946267880397,1.1868795347300176
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,10.0,CRASH,10.324083364199478,-9.211143720762639,1.3348729426256216
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,10.0,HALF1,9.658966517769008,-9.211143720762582,1.2630478186173368
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,10.0,YEAR,9.000105561979478,-9.211143720762516,1.1997074128817482
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,10.0,PLA2018_YEAR,9.879619103459003,-13.649462678803959,1.2492517922665893
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,10.0,PLA2022_YEAR,10.382049860027243,-13.64946267880397,1.28742254355825
U56,MADG,0.8,U56-MADG-g0.80,True,False,MONTHLY,2,25.0,NONE,9.14084501158483,-13.68380169109551,1.1564393404983653
