panel,dial,chooser,n_rungs,pick_i,endpoint,mono,best_endpoint_i,best_endpoint,best_interior_i,best_interior,need,paired_SD,need_over_SD,paired_90lo,paired_90hi,resolvable
U56,D_GROSS,C_ISSHARPE,33,32,True,True,32,1.0,31,0.975,1.3548689378639622e-05,0.00010401043476066249,0.13026278959237497,-0.000153146316247188,0.00018961320742090778,False
U56,D_GROSS,C_ISCAGR,33,32,True,True,32,1.0,31,0.975,0.0046556376378683595,0.0014765078003127663,3.1531412410297888,0.002250075421616615,0.007255330756361266,True
U56,D_GROSS,C_ISDD,33,0,True,True,0,0.2,1,0.225,0.004713744584180168,0.0012678231760344918,3.717982659793189,0.0036176868904989556,0.0078052537328876515,True
U56,D_GROSS,C_ISMAR,33,32,True,True,32,1.0,31,0.975,0.0011720557091328132,0.0017450672112949493,0.6716392936310311,-0.0005449155507446735,0.005133298871923008,False
U56,D_GROSS,C_IS4B,33,17,False,False,32,1.0,17,0.625,-0.4961207344053313,0.16313263773540623,-3.041210767461608,-0.7716479927108694,-0.2210297570129056,True
U56,D_N,C_ISSHARPE,11,0,True,False,0,3,9,40,0.00994931962016432,0.253104767042332,0.03930909613606878,-0.44485688593992306,0.38886661823830304,False
U56,D_N,C_ISCAGR,11,0,True,False,0,3,1,5,0.057651936324949915,0.035709884313384586,1.6144531810578038,0.0011817090781047217,0.11727438451803124,True
U56,D_N,C_ISDD,11,9,False,False,10,50,9,40,-0.0006850338372613729,0.0073513568798471655,-0.09318467984316042,-0.008685863801254589,0.015044774004878672,False
U56,D_N,C_ISMAR,11,9,False,False,10,50,9,40,-0.034838117746961106,0.07897600523725011,-0.441122814990511,-0.1384830283098669,0.11947376076964118,False
U56,D_N,C_IS4B,11,9,False,False,10,50,9,40,-0.005175078919564646,0.05351671681102966,-0.096700231776888,-0.07235858352386668,0.09604353433320018,False
U56,D_HOLD,C_ISSHARPE,9,7,False,False,8,252,7,189,-0.11431983399825718,0.07753229410508586,-1.474480219085355,-0.23999350250820642,0.019181057678655328,True
U56,D_HOLD,C_ISCAGR,9,7,False,False,8,252,7,189,-0.010624946569937288,0.0109864183137565,-0.9670983087029738,-0.028366882164331343,0.008305698500528667,False
U56,D_HOLD,C_ISDD,9,1,False,False,0,5,1,10,-0.00811127599767636,0.009566308526936474,-0.847900313358796,-0.019158566927392772,0.012030637656907832,False
U56,D_HOLD,C_ISMAR,9,7,False,False,0,5,7,189,-0.27582763366472685,0.2085333940049632,-1.322702462024677,-0.6894655736920239,-0.03186296628828491,True
U56,D_HOLD,C_IS4B,9,1,False,False,0,5,1,10,-0.06921109785075322,0.06904549746908341,-1.0023984240499384,-0.14417725869684334,0.08271984949919214,True
U56,D_CADENCE,C_ISSHARPE,6,2,False,False,5,Q,2,2W,-0.055243711222451086,0.14072619399056774,-0.392561680636043,-0.29820812263565344,0.15931100210755306,False
U56,D_CADENCE,C_ISCAGR,6,2,False,False,0,D,2,2W,-0.01014683651384174,0.009632717490222514,-1.0533721687717998,-0.02559115343045635,0.006303210710400761,True
U56,D_CADENCE,C_ISDD,6,0,True,False,0,D,2,2W,0.007428301888500299,0.01592012462591076,0.46659822476580265,-0.03526157503260608,0.015699141928471366,False
U56,D_CADENCE,C_ISMAR,6,2,False,False,0,D,2,2W,-0.01882631966849435,0.14085993223119275,-0.1336527667612022,-0.37359334056414706,0.08499999467704084,False
U56,D_CADENCE,C_IS4B,6,0,True,False,0,D,2,2W,0.056117006810968234,0.11772429278820212,0.4766816217951582,-0.26062634281997543,0.11527342395127123,False
U56,D_MAXVOL,C_ISSHARPE,7,0,True,False,0,0.3,5,1.0,0.06706257203198684,0.13148260460813369,0.5100490078657771,-0.15207601751872737,0.27583019682222454,False
U56,D_MAXVOL,C_ISCAGR,7,6,True,False,6,2.0,5,1.0,0.0009671426019421947,0.007269458807406594,0.1330418986564457,-0.010748920595589717,0.012943487859147416,False
U56,D_MAXVOL,C_ISDD,7,0,True,False,0,0.3,5,1.0,0.008377704951285314,0.019291054684973722,0.4342792599002332,-0.009132575031430968,0.053115527436401196,False
U56,D_MAXVOL,C_ISMAR,7,0,True,False,0,0.3,5,1.0,0.030499535872930306,0.22090209005495928,0.13806811816647901,-0.2693170948356577,0.4214829747113299,False
U56,D_MAXVOL,C_IS4B,7,0,True,False,0,0.3,5,1.0,0.06328925949272039,0.1456303094178777,0.4345885121421774,-0.08438013285820212,0.37519410594726443,False
B136,D_GROSS,C_ISSHARPE,33,32,True,True,32,1.0,31,0.975,0.00013622137403679346,0.00010503092827330195,1.2969643920725005,-3.4029064209406545e-05,0.0003136176863639095,True
B136,D_GROSS,C_ISCAGR,33,32,True,True,32,1.0,31,0.975,0.005431310762791242,0.001901359244274619,2.856541066158869,0.0025919305022737648,0.008728500951192375,True
B136,D_GROSS,C_ISDD,33,0,True,True,0,0.2,1,0.225,0.004938773570077881,0.001479920396139316,3.3371886643103994,0.004359351059780236,0.008971216653353162,True
B136,D_GROSS,C_ISMAR,33,32,True,True,32,1.0,31,0.975,0.0014616632482686853,0.002257666200125306,0.6474222133402889,-0.0005219092693657716,0.0064116183860382404,False
B136,D_GROSS,C_IS4B,33,15,False,False,32,1.0,15,0.575,-0.6063158725151826,0.17656034902787215,-3.43404323707736,-0.9959237278849662,-0.40158905603669937,True
B136,D_N,C_ISSHARPE,11,2,False,False,0,3,2,8,-0.01649025836392992,0.15977812610203762,-0.10320723346948568,-0.2930082794346777,0.22494985066582918,False
B136,D_N,C_ISCAGR,11,0,True,False,0,3,1,5,0.03902362662464709,0.036201211848436034,1.0779646490296426,-0.016839687414636338,0.10241307284566041,True
B136,D_N,C_ISDD,11,8,False,False,10,50,8,30,-0.0007078964971751756,0.012613509898878451,-0.05612208678237286,-0.021791119732968062,0.020105525691275352,False
B136,D_N,C_ISMAR,11,7,False,False,10,50,7,25,-0.06699844113399012,0.15359571983906473,-0.4361999227855442,-0.2735119036949446,0.24820518614761192,False
B136,D_N,C_IS4B,11,8,False,False,10,50,8,30,-0.005348663197006353,0.09440588028293612,-0.05665603859607382,-0.16419560957855261,0.15191159406850266,False
B136,D_HOLD,C_ISSHARPE,9,4,False,False,8,252,4,63,-0.1003090430484761,0.12793507601869988,-0.784062089694731,-0.29179085431328045,0.12461224288641733,False
B136,D_HOLD,C_ISCAGR,9,4,False,False,8,252,4,63,-0.019278713828565497,0.02057387177806159,-0.93704840958146,-0.05153706149671179,0.015353678879790092,False
B136,D_HOLD,C_ISDD,9,1,False,False,0,5,1,10,-0.0008600255094733944,0.009541643953191145,-0.0901338924081069,-0.0222261723971587,0.01065841803657758,False
B136,D_HOLD,C_ISMAR,9,2,False,False,0,5,2,21,-0.2063277754823587,0.12152836988868412,-1.6977745663119481,-0.35680603197819405,0.007895604142580363,True
B136,D_HOLD,C_IS4B,9,1,False,False,0,5,1,10,-0.006498106445452116,0.07188094400675869,-0.09040096141254243,-0.16489229955598395,0.08049055260492458,False
