load_prices: network unavailable (ModuleNotFoundError); using prices.csv
[U56] 56 names  2009-01-13..2026-09-18  (1s)
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
[B136] 136 names  2009-01-13..2026-09-18  (2s)
[SMALL] 720 names  2011-01-13..2026-09-18  (6s)
  [U56] V1     W  gross 0.45:0.749 0.60:0.750 0.80:0.750 1.00:0.750 1.50:0.750 NONE:0.750  (17s)
  [U56] V1     M  gross 0.45:0.750 0.60:0.750 0.80:0.750 1.00:0.750 1.50:0.750 NONE:0.750  (26s)
  [U56] BASE20 W  gross 0.45:0.712 0.60:0.720 0.80:0.723 1.00:0.724 1.50:0.725 NONE:0.726  (37s)
  [U56] BASE20 M  gross 0.45:0.714 0.60:0.721 0.80:0.725 1.00:0.726 1.50:0.727 NONE:0.727  (46s)
  [B136] V1     W  gross 0.45:0.750 0.60:0.750 0.80:0.750 1.00:0.750 1.50:0.750 NONE:0.750  (63s)
  [B136] V1     M  gross 0.45:0.751 0.60:0.751 0.80:0.751 1.00:0.751 1.50:0.751 NONE:0.751  (77s)
  [B136] BASE20 W  gross 0.45:0.739 0.60:0.742 0.80:0.744 1.00:0.745 1.50:0.745 NONE:0.745  (93s)
  [B136] BASE20 M  gross 0.45:0.740 0.60:0.741 0.80:0.743 1.00:0.744 1.50:0.746 NONE:0.746  (108s)
  [SMALL] V1     W  gross 0.45:0.747 0.60:0.748 0.80:0.749 1.00:0.749 1.50:0.750 NONE:0.750  (168s)
  [SMALL] V1     M  gross 0.45:0.746 0.60:0.746 0.80:0.748 1.00:0.749 1.50:0.749 NONE:0.749  (214s)
  [SMALL] BASE20 W  gross 0.45:0.744 0.60:0.746 0.80:0.747 1.00:0.748 1.50:0.750 NONE:0.750  (266s)
  [SMALL] BASE20 M  gross 0.45:0.745 0.60:0.747 0.80:0.748 1.00:0.748 1.50:0.751 NONE:0.751  (311s)

==============================================================================================================
ALL GRID POINTS -- ceiling book vs its MATCHED-EXPOSURE de-gross twin (288 cells = 3 panels x 2 carriers x 2 cadences x 6 rungs x 4 cost rungs)
==============================================================================================================
panel carrier cadence  cost_bps rung  gross  turnover    CAGR  Sharpe   MaxDD      H1      H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD  d_Sharpe  d_CAGR  d_MaxDD  keep4a  keep4b  keep4b_oos
 B136  BASE20       M         0 0.45 0.7399    7.3346  0.1615  1.1469 -0.2340  1.2786  1.0401    0.1650      1.1185    -0.2340   -0.0431 -0.0278   0.0121   False   False       False
 B136  BASE20       M         0 0.60 0.7413    6.6634  0.1813  1.2017 -0.2480  1.3509  1.0878    0.1844      1.1560    -0.2480    0.0117 -0.0084  -0.0016   False   False       False
 B136  BASE20       M         0 0.80 0.7432    6.2372  0.1852  1.1860 -0.2428  1.3451  1.0673    0.1889      1.1386    -0.2428   -0.0039 -0.0049   0.0042   False   False       False
 B136  BASE20       M         0 1.00 0.7440    6.1445  0.1884  1.1920 -0.2428  1.3779  1.0545    0.1892      1.1251    -0.2428    0.0020 -0.0020   0.0045   False   False       False
 B136  BASE20       M         0 1.50 0.7456    6.0335  0.1901  1.1866 -0.2478  1.3886  1.0416    0.1904      1.1110    -0.2478   -0.0034 -0.0007  -0.0000   False   False       False
 B136  BASE20       M         0 NONE 0.7456    6.0175  0.1908  1.1900 -0.2478  1.3962  1.0416    0.1904      1.1110    -0.2478    0.0000  0.0000   0.0000   False   False       False
 B136  BASE20       M        10 0.45 0.7399    7.3346  0.1530  1.0943 -0.2345  1.2233  0.9897    0.1563      1.0676    -0.2345   -0.0573 -0.0292   0.0119   False   False       False
 B136  BASE20       M        10 0.60 0.7413    6.6634  0.1734  1.1568 -0.2485  1.3037  1.0444    0.1762      1.1120    -0.2485    0.0051 -0.0091  -0.0018   False   False       False
 B136  BASE20       M        10 0.80 0.7432    6.2372  0.1778  1.1454 -0.2432  1.3020  1.0284    0.1813      1.0992    -0.2432   -0.0063 -0.0052   0.0041   False   False       False
 B136  BASE20       M        10 1.00 0.7440    6.1445  0.1811  1.1524 -0.2432  1.3355  1.0167    0.1817      1.0869    -0.2432    0.0007 -0.0021   0.0044   False   False       False
 B136  BASE20       M        10 1.50 0.7456    6.0335  0.1829  1.1482 -0.2481  1.3466  1.0057    0.1831      1.0746    -0.2481   -0.0035 -0.0007  -0.0000   False   False       False
 B136  BASE20       M        10 NONE 0.7456    6.0175  0.1836  1.1518 -0.2481  1.3544  1.0057    0.1831      1.0746    -0.2481    0.0000  0.0000   0.0000   False   False       False
