normaliser,window,null,raw_mean_pp,nrm_mean_pp,share_removed,n,raw_pos,nrm_pos
FULLVOL,20,N_DEGROSS,3.239537511017738,1.2602650270957134,0.6109737816557073,60,45,45
FULLVOL,20,N_RAND,3.182808673014127,1.2124301562405688,0.6190691050579566,60,54,51
FULLVOL,60,N_DEGROSS,3.239537511017738,1.2602650270957134,0.6109737816557073,60,45,45
FULLVOL,60,N_RAND,3.182808673014127,1.2124301562405688,0.6190691050579566,60,54,51
FULLVOL,252,N_DEGROSS,3.239537511017738,1.2602650270957134,0.6109737816557073,60,45,45
FULLVOL,252,N_RAND,3.182808673014127,1.2124301562405688,0.6190691050579566,60,54,51
ROLLVOL,20,N_DEGROSS,3.239537511017738,1.81423353220618,0.4399714385044371,60,45,45
ROLLVOL,20,N_RAND,3.182808673014127,1.7393126426927203,0.45352899863579066,60,54,51
ROLLVOL,60,N_DEGROSS,3.239537511017738,1.8527617880533123,0.4280783038467594,60,45,45
ROLLVOL,60,N_RAND,3.182808673014127,1.782688593484362,0.4399007993791372,60,54,51
ROLLVOL,252,N_DEGROSS,3.239537511017738,1.730575135046495,0.46579561768901545,60,45,45
ROLLVOL,252,N_RAND,3.182808673014127,1.6698772704388516,0.47534475301731727,60,54,51
DOWNVOL,20,N_DEGROSS,3.239537511017738,1.170102183874479,0.6388057925259591,60,45,45
DOWNVOL,20,N_RAND,3.182808673014127,1.1678659996509086,0.6330706242091088,60,54,52
DOWNVOL,60,N_DEGROSS,3.239537511017738,1.170102183874479,0.6388057925259591,60,45,45
DOWNVOL,60,N_RAND,3.182808673014127,1.1678659996509086,0.6330706242091088,60,54,52
DOWNVOL,252,N_DEGROSS,3.239537511017738,1.170102183874479,0.6388057925259591,60,45,45
DOWNVOL,252,N_RAND,3.182808673014127,1.1678659996509086,0.6330706242091088,60,54,52
