repair,panel,n_domain,rho_turn_cstar,median_cstar
R_NONE,U56,7,-0.9301757868129304,96.86419784803988
R_NONE,B136,2,,44.25024512091032
R_NONE,SMALL,0,,
R_DEGATE,U56,24,-0.7789209545240324,45.757964294916945
R_DEGATE,B136,24,-0.7691958486563012,36.77608547693472
R_DEGATE,SMALL,0,,
R_MATCH,U56,0,,
R_MATCH,B136,0,,
R_MATCH,SMALL,0,,
R_SOFT,U56,0,,
R_SOFT,B136,0,,
R_SOFT,SMALL,0,,
R_REFUSE,U56,7,-0.9301757868129304,96.86419784803988
R_REFUSE,B136,2,,44.25024512091032
R_REFUSE,SMALL,0,,
