panel,cad,bps,conv,chooser,g,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,oos4b,undefined
U56,W,0,K0_spy_free,C_LIVE,0.75,0.09651574458861623,1.3012453352065745,-0.12029812214763824,False,False
U56,W,0,K0_spy_free,C_ISSHARPE,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K0_spy_free,C_IS4B_MING,,,,,False,True
U56,W,0,K0_spy_free,C_MAXG,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K0_spy_free,C_ORACLE,0.25,0.031799196705543986,1.3028192140568722,-0.04089894593771637,False,False
U56,W,0,K1_spy_own_turnover,C_LIVE,0.75,0.09651574458861623,1.3012453352065745,-0.12029812214763824,False,False
U56,W,0,K1_spy_own_turnover,C_ISSHARPE,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K1_spy_own_turnover,C_IS4B_MING,,,,,False,True
U56,W,0,K1_spy_own_turnover,C_MAXG,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K1_spy_own_turnover,C_ORACLE,0.25,0.031799196705543986,1.3028192140568722,-0.04089894593771637,False,False
U56,W,0,K2_spy_flat2x,C_LIVE,0.75,0.09651574458861623,1.3012453352065745,-0.12029812214763824,False,False
U56,W,0,K2_spy_flat2x,C_ISSHARPE,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K2_spy_flat2x,C_IS4B_MING,,,,,False,True
U56,W,0,K2_spy_flat2x,C_MAXG,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K2_spy_flat2x,C_ORACLE,0.25,0.031799196705543986,1.3028192140568722,-0.04089894593771637,False,False
U56,W,0,K3_both_free,C_LIVE,0.75,0.09651574458861623,1.3012453352065745,-0.12029812214763824,False,False
U56,W,0,K3_both_free,C_ISSHARPE,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K3_both_free,C_IS4B_MING,,,,,False,True
U56,W,0,K3_both_free,C_MAXG,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,0,K3_both_free,C_ORACLE,0.25,0.031799196705543986,1.3028192140568722,-0.04089894593771637,False,False
U56,W,5,K0_spy_free,C_LIVE,0.75,0.09553693392108098,1.2889815018993998,-0.12042377450517261,False,False
U56,W,5,K0_spy_free,C_ISSHARPE,1.0,0.12803734026925073,1.288221365491305,-0.15894991887089926,True,False
U56,W,5,K0_spy_free,C_IS4B_MING,,,,,False,True
U56,W,5,K0_spy_free,C_MAXG,1.0,0.12803734026925073,1.288221365491305,-0.15894991887089926,True,False
U56,W,5,K0_spy_free,C_ORACLE,0.25,0.03148452044119687,1.2902442845538153,-0.04094527244352508,False,False
U56,W,5,K1_spy_own_turnover,C_LIVE,0.75,0.09553693392108098,1.2889815018993998,-0.12042377450517261,False,False
U56,W,5,K1_spy_own_turnover,C_ISSHARPE,1.0,0.12803734026925073,1.288221365491305,-0.15894991887089926,True,False
U56,W,5,K1_spy_own_turnover,C_IS4B_MING,,,,,False,True
U56,W,5,K1_spy_own_turnover,C_MAXG,1.0,0.12803734026925073,1.288221365491305,-0.15894991887089926,True,False
U56,W,5,K1_spy_own_turnover,C_ORACLE,0.25,0.03148452044119687,1.2902442845538153,-0.04094527244352508,False,False
U56,W,5,K2_spy_flat2x,C_LIVE,0.75,0.09553693392108098,1.2889815018993998,-0.12042377450517261,False,False
U56,W,5,K2_spy_flat2x,C_ISSHARPE,1.0,0.12803734026925073,1.288221365491305,-0.15894991887089926,True,False
U56,W,5,K2_spy_flat2x,C_IS4B_MING,,,,,False,True
U56,W,5,K2_spy_flat2x,C_MAXG,1.0,0.12803734026925073,1.288221365491305,-0.15894991887089926,True,False
U56,W,5,K2_spy_flat2x,C_ORACLE,0.25,0.03148452044119687,1.2902442845538153,-0.04094527244352508,False,False
U56,W,5,K3_both_free,C_LIVE,0.75,0.09651574458861623,1.3012453352065745,-0.12029812214763824,False,False
U56,W,5,K3_both_free,C_ISSHARPE,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,5,K3_both_free,C_IS4B_MING,,,,,False,True
U56,W,5,K3_both_free,C_MAXG,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
U56,W,5,K3_both_free,C_ORACLE,0.25,0.031799196705543986,1.3028192140568722,-0.04089894593771637,False,False
U56,W,10,K0_spy_free,C_LIVE,0.75,0.09455896847608769,1.2767122316543114,-0.12054941914043871,False,False
U56,W,10,K0_spy_free,C_ISSHARPE,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,True,False
U56,W,10,K0_spy_free,C_IS4B_MING,,,,,False,True
U56,W,10,K0_spy_free,C_MAXG,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,True,False
U56,W,10,K0_spy_free,C_ORACLE,0.25,0.031169937079920107,1.2776636542336948,-0.040991597997400375,False,False
U56,W,10,K1_spy_own_turnover,C_LIVE,0.75,0.09455896847608769,1.2767122316543114,-0.12054941914043871,False,False
U56,W,10,K1_spy_own_turnover,C_ISSHARPE,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,True,False
U56,W,10,K1_spy_own_turnover,C_IS4B_MING,,,,,False,True
U56,W,10,K1_spy_own_turnover,C_MAXG,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,True,False
U56,W,10,K1_spy_own_turnover,C_ORACLE,0.25,0.031169937079920107,1.2776636542336948,-0.040991597997400375,False,False
U56,W,10,K2_spy_flat2x,C_LIVE,0.75,0.09455896847608769,1.2767122316543114,-0.12054941914043871,False,False
U56,W,10,K2_spy_flat2x,C_ISSHARPE,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,True,False
U56,W,10,K2_spy_flat2x,C_IS4B_MING,,,,,False,True
U56,W,10,K2_spy_flat2x,C_MAXG,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,True,False
U56,W,10,K2_spy_flat2x,C_ORACLE,0.25,0.031169937079920107,1.2776636542336948,-0.040991597997400375,False,False
U56,W,10,K3_both_free,C_LIVE,0.75,0.09651574458861623,1.3012453352065745,-0.12029812214763824,False,False
U56,W,10,K3_both_free,C_ISSHARPE,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,True,False
