panel,cost,selector,n_admissible,pick_scaler,pick_m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v1_OOS_CAGR,v1_OOS_Sharpe,v1_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,d_vs_v1,d_vs_spy,OOS_4b,full_4b,full_4a
broad,10.0,S1,51,POS,1.0,1.1164914464918612,0.20862873522684966,1.006783053537772,-0.27804558081605757,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.4305325157339487,0.12475912994054039,False,False,False
broad,10.0,S2,6,POS,0.6,1.114261455782728,0.12562499564193286,1.0033868099393146,-0.17336918661572143,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.4271362721354913,0.12136288634208303,True,True,True
broad,25.0,S1,51,POS,1.0,0.9628869512530295,0.1715833091832888,0.8584242695253312,-0.2958786940666589,0.011143568780353386,0.15539928865606328,-0.26721084947028584,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.7030249808692679,-0.023599654071900344,False,False,False
broad,25.0,S2,0,POS,1.0,0.9628869512530295,0.1715833091832888,0.8584242695253312,-0.2958786940666589,0.011143568780353386,0.15539928865606328,-0.26721084947028584,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.7030249808692679,-0.023599654071900344,False,False,False
u56,10.0,S1,51,NONE,0.8,0.9928979977045185,0.1533128377983619,1.1680731647096316,-0.1945953735694177,0.07730300522922962,0.747063834691694,-0.13827796154480798,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.4210093300179376,0.2860623975273474,True,True,False
u56,10.0,S2,0,NONE,0.8,0.9928979977045185,0.1533128377983619,1.1680731647096316,-0.1945953735694177,0.07730300522922962,0.747063834691694,-0.13827796154480798,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.4210093300179376,0.2860623975273474,True,True,False
u56,25.0,S1,51,NONE,0.85,0.857814119069206,0.14427722971022328,1.0498500275575686,-0.20747872570060177,0.037834702288707334,0.39920030769495,-0.14177187688535975,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.6506497198626187,0.1678392603752844,False,False,False
u56,25.0,S2,0,NONE,0.85,0.857814119069206,0.14427722971022328,1.0498500275575686,-0.20747872570060177,0.037834702288707334,0.39920030769495,-0.14177187688535975,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.6506497198626187,0.1678392603752844,False,False,False
small,10.0,S1,51,INV,1.0,0.7664128356217845,0.03995852930412269,0.3116622353651038,-0.37503365607592964,0.07921670849894169,0.5806618551671671,-0.3283573771619781,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.2689996198020633,-0.5703485318171804,False,False,False
small,10.0,S2,0,INV,1.0,0.7664128356217845,0.03995852930412269,0.3116622353651038,-0.37503365607592964,0.07921670849894169,0.5806618551671671,-0.3283573771619781,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.2689996198020633,-0.5703485318171804,False,False,False
small,25.0,S1,51,INV,0.95,0.47514080590655194,-0.010246463414321672,0.021518102063341576,-0.4558695427828665,0.026724735037732872,0.250067051410945,-0.43035606447187935,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.22854894934760342,-0.8604926651189426,False,False,False
small,25.0,S2,0,INV,0.95,0.47514080590655194,-0.010246463414321672,0.021518102063341576,-0.4558695427828665,0.026724735037732872,0.250067051410945,-0.43035606447187935,0.15450717694493266,0.8820107671822842,-0.33717235283398284,-0.22854894934760342,-0.8604926651189426,False,False,False
