panel,signal,n,cost,gross,rank,turnover_yr,CAGR_F,Sharpe_F,MaxDD_F,CAGR_H1,Sharpe_H1,MaxDD_H1,CAGR_H2,Sharpe_H2,MaxDD_H2,CAGR_IS,Sharpe_IS,MaxDD_IS,CAGR_OOS,Sharpe_OOS,MaxDD_OOS,oosH1,oosH2,isH1,isH2,pass4a,pass4b,pass4b_oos,bF_H1,bF_H2,bF_OOS,bF_DD,bF_CAGR,bO_H1,bO_H2,bO_OOS,bO_DD,bO_CAGR
u56,COMP,10,10.0,0.2,1,4.377766622174094,0.02399903161877681,0.9017509874298023,-0.03511782606321412,0.024326113906151914,0.9852862959484253,-0.022242012312026382,0.02367220103736334,0.8337038147441682,-0.0351178260632139,0.023263318910623054,0.9258554791711904,-0.022242012312026382,0.02460657448077841,0.8856243041817686,-0.03511782606321434,1.0601399960177837,0.7039521253566626,0.8838262849652601,0.9683899631121321,1,0,0,1,0,1,1,0,1,0,1,1,0
u56,COMP,10,25.0,0.2,1,4.377766622174094,0.017296843032427844,0.6553159543585452,-0.038596491671152755,0.017735877637504283,0.7234740864792389,-0.023468725658610134,0.01685819545509548,0.5994111870550815,-0.0385964916711512,0.01672028289946703,0.6705523084846233,-0.023468725658610134,0.01777289361999812,0.6452856680007929,-0.038596491671151645,0.8313281179678801,0.4516259664073691,0.6321107312694684,0.7093345277734188,1,0,0,0,0,0,1,0,0,0,0,1,0
u56,COMP,10,10.0,0.35,2,7.6447926841374345,0.04190189387033105,0.9018276198893368,-0.061162510231503986,0.04258343560917277,0.985999171123549,-0.038769773808133734,0.04122110435839832,0.8332302963427778,-0.061162510231503764,0.040670114099022436,0.9264348437077756,-0.038769773808133734,0.042919514064984954,0.8853235972968637,-0.061162510231503986,1.0594626504495672,0.7039619469481819,0.8837571378185315,0.9696250173008034,1,0,0,1,0,1,1,0,1,0,1,1,0
u56,COMP,10,25.0,0.35,2,7.6447926841374345,0.030022473749593326,0.6559864285411688,-0.06703418384955229,0.030897086171155053,0.7247922962965727,-0.040824662090618746,0.029148996817008443,0.5995237650684259,-0.06703418384955195,0.02907649899111342,0.6717308588709588,-0.040824662090618746,0.03080379119004384,0.6455765599090755,-0.06703418384955417,0.8313123397602572,0.4521462261356092,0.6326015940812186,0.7112069152599562,1,0,0,0,0,0,1,0,0,0,0,1,0
u56,COMP,10,10.0,0.5,3,10.90172247247,0.05970036361337727,0.9018429282284632,-0.08695062157982036,0.0608353044674701,0.9866542767347691,-0.055165358463514225,0.05856714739691116,0.8326937472616193,-0.08695062157982025,0.058024513725670746,0.9269561605983986,-0.055165358463514225,0.06108535220688016,0.884959600971795,-0.08695062157982014,1.0587280682846634,0.7038982118483805,0.8836147892700515,0.9708176864896736,1,0,0,1,0,1,1,0,1,0,1,1,0
u56,COMP,10,25.0,0.5,3,10.90172247247,0.04251238276381186,0.6565134034938743,-0.09503244383589937,0.04391835377527409,0.7259769275671761,-0.05797470666766924,0.041108937384829236,0.5994850313382465,-0.0950324438358996,0.04125495651957811,0.6727744942559138,-0.05797470666766924,0.043551213179384485,0.645717735707757,-0.09503244383590004,0.8311742617634058,0.4524837918374738,0.6329335791803505,0.712968838796068,1,0,0,0,0,0,1,0,0,0,0,1,0
u56,COMP,10,10.0,0.65,4,14.153380783202486,0.07737283462915245,0.90178093505898,-0.11247775336847754,0.07906471550379512,0.9872307615987812,-0.07142842907167335,0.07568436679554824,0.8320822732879591,-0.11247775336847765,0.07530861879324213,0.9273999408509409,-0.07142842907167335,0.07907930599264468,0.884518887072665,-0.11247775336847743,1.0579186979759003,0.7037514245574018,0.88338231773358,0.9719459428510884,1,0,0,1,0,1,1,0,1,0,1,1,0
u56,COMP,10,25.0,0.65,4,14.153380783202486,0.05474093260725654,0.6568574512142662,-0.12258983347698915,0.05677753837767452,0.7269764387511447,-0.07492306466516896,0.05270916649238422,0.5992656685036442,-0.12258983347698837,0.05323317210318135,0.6736351679137725,-0.07492306466516896,0.05598683247506564,0.6456760252108926,-0.12258983347698904,0.8308709800663546,0.45261468296934354,0.6330652730407,0.7145656801901054,1,0,0,0,0,0,1,0,0,0,0,1,0
u56,COMP,10,10.0,0.75,5,16.3210164392456,0.08907308927965318,0.9016906701873469,-0.12934805370100488,0.09119600310372444,0.9875640260282785,-0.0821967225178395,0.08695525904735901,0.8316282105577667,-0.12934805370100477,0.08678270231940344,0.927645520542853,-0.0821967225178395,0.09096685852322373,0.8841773649614738,-0.12934805370100444,1.05732689759456,0.703608220728339,0.8831734446799511,0.9726516799515076,1,0,0,1,0,1,1,0,1,0,1,1,0
u56,COMP,10,25.0,0.75,5,16.3210164392456,0.06273408937224878,0.6569701954235847,-0.14071600019963015,0.06524782929193518,0.7275213112780857,-0.08610979423586629,0.060227409610706495,0.5990071658304942,-0.14071600019962938,0.061094803364016625,0.6740891517369256,-0.08610979423586629,0.06408881193774252,0.6455339487210302,-0.1407160001996287,0.8305502254315391,0.45258937754990897,0.6330320015571478,0.7155118527431283,1,0,0,0,0,0,1,0,0,0,0,1,0
