window,panel,filt,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
W252,U56,ALL,24,1.061090702321363,0.12935349630527374,-0.18706555421917104,0,9,9
W252,U56,RES_ABS63,5,1.009073097895251,0.11119931108997783,-0.16791426659964587,0,1,1
W252,U56,RES_FRACf0.04,5,1.009073097895251,0.11119931108997783,-0.16791426659964587,0,1,1
W252,B136,ALL,24,0.8668996276439739,0.11942714970704403,-0.21422176957986797,0,0,0
W252,B136,RES_ABS63,5,0.8356736130863378,0.10198966092086667,-0.18097904482232574,0,0,0
W252,B136,RES_FRACf0.04,4,0.7920833636887986,0.08742775972307859,-0.1743730503582835,0,0,0
W252,SMALL,ALL,24,0.42210770182275975,0.053806167222654126,-0.30284794670978216,0,0,0
W252,SMALL,RES_ABS63,3,0.49391420172851025,0.0569151326073006,-0.22521179818732406,0,0,0
W252,SMALL,RES_FRACf0.04,4,0.5373371136334307,0.07058431126872361,-0.26243843931706723,0,0,0
W504,U56,ALL,24,1.0779829512887213,0.13935708595152344,-0.18827237017698203,0,12,13
W504,U56,RES_ABS63,5,1.089420740857524,0.12020825224302722,-0.1730950283330074,0,1,1
W504,U56,RES_FRACf0.04,4,1.0881540464705217,0.11541189631561871,-0.15890829108167143,0,1,1
W504,B136,ALL,24,0.8877884488453541,0.13019475962240082,-0.2265680827838589,0,0,0
W504,B136,RES_ABS63,3,0.8232410955632492,0.08078025175279135,-0.16118655484436864,0,0,0
W504,B136,RES_FRACf0.04,4,0.7920833636887986,0.08742775972307859,-0.1743730503582835,0,0,0
W504,SMALL,ALL,24,0.40839848775775156,0.05251353910278942,-0.3142755020836064,0,0,0
W504,SMALL,RES_ABS63,5,0.456257686226268,0.05792257295413768,-0.2764741773244571,0,0,0
W504,SMALL,RES_FRACf0.04,4,0.4627590386555671,0.05697489467367972,-0.25530123747743605,0,0,0
W1008,U56,ALL,24,1.0612565088399062,0.13896127898034646,-0.19615504616753518,0,11,11
W1008,U56,RES_ABS63,6,1.101438914571989,0.12837312065302933,-0.17612512666161453,0,2,2
W1008,U56,RES_FRACf0.04,6,1.101438914571989,0.12837312065302933,-0.17612512666161453,0,2,2
W1008,B136,ALL,24,0.8553880993244789,0.12494780719989412,-0.2189219779444993,0,0,1
W1008,B136,RES_ABS63,6,0.8647337793513641,0.1116975950527254,-0.18538304113168724,0,0,0
W1008,B136,RES_FRACf0.04,6,0.8647337793513641,0.1116975950527254,-0.18538304113168724,0,0,0
W1008,SMALL,ALL,24,0.44089070990672413,0.061587878250005355,-0.315988191437134,0,0,0
W1008,SMALL,RES_ABS63,7,0.5166428756896749,0.07325665132523909,-0.3043725160049827,0,0,0
W1008,SMALL,RES_FRACf0.04,8,0.4982242099080578,0.07124384251868635,-0.3095221459228314,0,0,0
WFULL,U56,ALL,24,1.0749937299054926,0.13956178583026993,-0.2002387733948459,0,6,6
WFULL,U56,RES_ABS63,6,1.077787866200237,0.12709513540758954,-0.1868873111577082,0,1,1
WFULL,U56,RES_FRACf0.04,7,1.077916299602199,0.1226014391816066,-0.18513575372836621,0,1,1
WFULL,B136,ALL,24,0.8885856082013527,0.13024631767387426,-0.22423930320525068,0,0,1
WFULL,B136,RES_ABS63,7,0.8472021328665699,0.11387492372537565,-0.19869399382421138,0,0,0
WFULL,B136,RES_FRACf0.04,7,0.8472021328665699,0.11387492372537565,-0.19869399382421138,0,0,0
WFULL,SMALL,ALL,24,0.43479167733218355,0.059968697277349055,-0.3114103633124076,0,0,0
WFULL,SMALL,RES_ABS63,4,0.4091918712945122,0.04679212537679356,-0.25130678225168224,0,0,0
WFULL,SMALL,RES_FRACf0.04,4,0.4091918712945122,0.04679212537679356,-0.25130678225168224,0,0,0
