panel,n,depth,dDD_pp,dCAGR_pp,ratio,dSharpe,DD_margin,CAGR_margin,keep4b
U56,3,0.5,5.2568975370851145,0.905596207010273,5.804902335490326,-0.010317137794666031,-0.003231075450669696,0.10287890203068206,False
U56,3,0.25,5.256897537085125,1.3963217848365517,3.764818105806806,-0.023641070621025495,-0.003231075450669585,0.09797164625241928,False
U56,3,0.0,5.256897537085125,1.9120490405387658,2.749352880407224,-0.04255543474476697,-0.003231075450669585,0.09281437369539713,False
U56,5,0.5,3.768231230838792,0.5360372444756845,7.029793675110434,-0.0024700887371590374,0.024187925506380825,0.05324947762392973,False
U56,5,0.25,3.451771411756366,0.8304207405862352,4.156653661274873,-0.011123994282073335,0.02102332731555656,0.050305642662824224,False
U56,5,0.0,3.1267801166471543,1.1422367625056218,2.7374185626701584,-0.024934698858336768,0.017773414364464446,0.04718748244363036,False
U56,8,0.5,-1.1420711673398198,0.4319178359190934,-2.6441861677454597,-0.0022713098468073456,0.011697846902379294,0.02693951335467404,False
U56,8,0.25,-1.7239721541046693,0.6660310790276736,-2.588425988501114,-0.010420834390582279,0.0058788370347307994,0.024598380923588237,False
U56,8,0.0,-2.3129094015201357,0.9121596659814601,-2.535640949472925,-0.02343902365147743,-1.0535439423864368e-05,0.02213709505405037,False
B136,3,0.5,-0.14737257569247264,0.9839944440779513,-0.14976972337538716,-0.023276651629339007,-0.14603141620638546,0.029449016265590003,False
B136,3,0.25,-1.243549695525925,1.5180674088040913,-0.8191663218075231,-0.04113044897243123,-0.15699318740471999,0.024108286618328603,False
B136,3,0.0,-2.3986300158495455,2.0795509831474934,-1.1534365039798695,-0.06306401591932553,-0.1685439906079562,0.018493450874894582,False
B136,5,0.5,-1.4032002207186478,1.1503349287869558,-1.2198188419770424,-0.030056050244107624,-0.04534076578949839,0.04810011246596364,False
B136,5,0.25,-2.7758860370364236,1.7555085278547988,-1.5812432654078352,-0.052476133244869105,-0.059067623952676146,0.04204837647528521,False
B136,5,0.0,-4.1557366317039435,2.380225999082919,-1.7459420379850963,-0.07972203010970758,-0.07286612989935135,0.03580120176300401,False
B136,8,0.5,0.6966987667647806,1.3156007985497098,0.529566998996053,-0.043779363918570846,-0.008940756404604094,0.030438820595620267,False
B136,8,0.25,-0.8485374126447898,1.9957388431468548,-0.4251745740974942,-0.07397140607559805,-0.024393118198699798,0.023637440149648817,False
B136,8,0.0,-3.5785804133495414,2.6903844558169743,-1.3301371874983026,-0.1094471514298695,-0.051693548205747314,0.016690984022947622,False
SMALL439,3,0.5,4.7574466185021596,-0.8345236019874358,-5.700793371418374,0.01569418027761174,-0.3377829214013991,-0.0901750529174188,False
SMALL439,3,0.25,6.78311778951951,-1.0381904105812856,-6.533597036136776,0.020302544423246416,-0.3175262096912256,-0.0881383848314803,False
SMALL439,3,0.0,6.1347289392577835,-1.0990595254236402,-5.5817986172251315,0.021672761624624004,-0.32401009819384285,-0.08752969368305676,False
SMALL439,5,0.5,-0.555018785456296,0.720876864627451,-0.7699217615245977,-0.02104544112423168,-0.20523328699492893,-0.05716277854465669,False
SMALL439,5,0.25,-2.319232256580994,1.2466942669358216,-1.8603055441020855,-0.04213390089112323,-0.2228754217061759,-0.0624209525677404,False
SMALL439,5,0.0,-4.24348061130676,1.8801493489783105,-2.256991240410079,-0.07065453044012149,-0.24211790525343357,-0.06875550338816529,False
SMALL439,8,0.5,0.8953488779424812,0.8681474226010844,1.0313327605810285,-0.024594741210702264,-0.16381159445683668,-0.054385166218480455,False
SMALL439,8,0.25,-1.4001464260406382,1.4249772367226798,-0.9825745913393323,-0.04918400894339986,-0.18676654749666788,-0.05995346435969641,False
SMALL439,8,0.0,-3.7872765235311134,2.061453026440141,-1.8371878839612676,-0.08242872288941427,-0.21063784847157263,-0.06631822225687102,False
