pointer_form,join,instances,files,rows,addressable,share,at_risk,at_risk_dark
STRICT,J0_RESOLVE,193,193,962203,962017,0.9998066935979206,858201,741067
STRICT,J1_KEYUNIQUE,193,193,962203,117222,0.12182668314274639,858201,741067
STRICT,J2_ROWID,193,193,962203,97258,0.10107846265289133,858201,741067
LOOSE,J0_RESOLVE,228,222,1084701,1084419,0.9997400205217843,955366,757101
LOOSE,J1_KEYUNIQUE,228,222,1084701,198353,0.182864217881241,955366,757101
LOOSE,J2_ROWID,228,222,1084701,111379,0.10268175285170753,955366,757101
VALUE,J0_RESOLVE,246,236,1088554,1088251,0.9997216490867702,958586,760321
VALUE,J1_KEYUNIQUE,246,236,1088554,198353,0.18221695937913968,958586,760321
VALUE,J2_ROWID,246,236,1088554,112906,0.1037210831984449,958586,760321
