panel,k,MONO,RESOLVED,n
U56,2,1.0,0.04662698412698413,1008
U56,3,0.6309523809523809,0.023809523809523808,1008
U56,4,0.44146825396825395,0.005952380952380952,1008
U56,6,0.3253968253968254,0.005952380952380952,1008
U56,8,0.310515873015873,0.0,1008
U56,10,0.30952380952380953,0.0,42
B136,2,1.0,0.08234126984126984,1008
B136,3,0.5892857142857143,0.07837301587301587,1008
B136,4,0.4523809523809524,0.07142857142857142,1008
B136,6,0.3521825396825397,0.07142857142857142,1008
B136,8,0.3333333333333333,0.07142857142857142,1008
B136,10,0.3333333333333333,0.07142857142857142,42
SMALL,2,1.0,0.08333333333333333,1008
SMALL,3,0.6577380952380952,0.034722222222222224,1008
SMALL,4,0.4365079365079365,0.026785714285714284,1008
SMALL,6,0.3263888888888889,0.0248015873015873,1008
SMALL,8,0.30952380952380953,0.025793650793650792,1008
SMALL,10,0.30952380952380953,0.023809523809523808,42
