panel,anchor,ladder,window,claimset,q,n_cells,pooled,weakest,AGG,PERCELL,flip,n_cell_fail
U56,A,N,FULL,CS_STEPS,0.5,8,0.728375,0.537,True,True,False,0
U56,A,N,FULL,CS_STEPS,0.6,8,0.728375,0.537,True,False,True,1
U56,A,N,FULL,CS_STEPS,0.7,8,0.728375,0.537,True,False,True,3
U56,A,N,FULL,CS_STEPS,0.8,8,0.728375,0.537,False,False,False,6
U56,A,N,FULL,CS_STEPS,0.9,8,0.728375,0.537,False,False,False,8
U56,A,N,FULL,CS_STEPS,0.95,8,0.728375,0.537,False,False,False,8
U56,A,N,FULL,CS_ENDS,0.5,1,0.776,0.776,True,True,False,0
U56,A,N,FULL,CS_ENDS,0.6,1,0.776,0.776,True,True,False,0
U56,A,N,FULL,CS_ENDS,0.7,1,0.776,0.776,True,True,False,0
U56,A,N,FULL,CS_ENDS,0.8,1,0.776,0.776,False,False,False,1
U56,A,N,FULL,CS_ENDS,0.9,1,0.776,0.776,False,False,False,1
U56,A,N,FULL,CS_ENDS,0.95,1,0.776,0.776,False,False,False,1
U56,A,N,FULL,CS_VSANCHOR,0.5,8,0.687875,0.544,True,True,False,0
U56,A,N,FULL,CS_VSANCHOR,0.6,8,0.687875,0.544,True,False,True,1
U56,A,N,FULL,CS_VSANCHOR,0.7,8,0.687875,0.544,False,False,False,5
U56,A,N,FULL,CS_VSANCHOR,0.8,8,0.687875,0.544,False,False,False,7
U56,A,N,FULL,CS_VSANCHOR,0.9,8,0.687875,0.544,False,False,False,8
U56,A,N,FULL,CS_VSANCHOR,0.95,8,0.687875,0.544,False,False,False,8
U56,A,N,FULL,CS_VSBEST,0.5,8,0.7424999999999999,0.537,True,True,False,0
U56,A,N,FULL,CS_VSBEST,0.6,8,0.7424999999999999,0.537,True,False,True,1
U56,A,N,FULL,CS_VSBEST,0.7,8,0.7424999999999999,0.537,True,False,True,4
U56,A,N,FULL,CS_VSBEST,0.8,8,0.7424999999999999,0.537,False,False,False,5
U56,A,N,FULL,CS_VSBEST,0.9,8,0.7424999999999999,0.537,False,False,False,6
U56,A,N,FULL,CS_VSBEST,0.95,8,0.7424999999999999,0.537,False,False,False,8
U56,A,N,IS,CS_STEPS,0.5,8,0.76025,0.612,True,True,False,0
U56,A,N,IS,CS_STEPS,0.6,8,0.76025,0.612,True,True,False,0
U56,A,N,IS,CS_STEPS,0.7,8,0.76025,0.612,True,False,True,3
U56,A,N,IS,CS_STEPS,0.8,8,0.76025,0.612,False,False,False,5
U56,A,N,IS,CS_STEPS,0.9,8,0.76025,0.612,False,False,False,6
U56,A,N,IS,CS_STEPS,0.95,8,0.76025,0.612,False,False,False,7
U56,A,N,IS,CS_ENDS,0.5,1,0.598,0.598,True,True,False,0
U56,A,N,IS,CS_ENDS,0.6,1,0.598,0.598,False,False,False,1
U56,A,N,IS,CS_ENDS,0.7,1,0.598,0.598,False,False,False,1
U56,A,N,IS,CS_ENDS,0.8,1,0.598,0.598,False,False,False,1
U56,A,N,IS,CS_ENDS,0.9,1,0.598,0.598,False,False,False,1
U56,A,N,IS,CS_ENDS,0.95,1,0.598,0.598,False,False,False,1
U56,A,N,IS,CS_VSANCHOR,0.5,8,0.667,0.53,True,True,False,0
U56,A,N,IS,CS_VSANCHOR,0.6,8,0.667,0.53,True,False,True,1
