variant,panel,book,family,bps,full_CAGR,full_Sharpe,full_MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_EWALL_Sharpe,OOS_RULESV2_Sharpe,OOS_beats_SPY,OOS_beats_EWALL,OOS_4b
NATIVE,U56,TOP20,RANKED,10,0.14094746585336093,1.1419214662771038,-0.1938880679677374,1.1789640248979512,1.1295870526655623,0.1574377229409778,1.1707204746242617,-0.1938880679677376,1.1357455808833303,1.2850843578542137,True,True,True
NATIVE,U56,TOP20,RANKED,25,0.12549099185070522,1.029861917718105,-0.19551285280717734,1.0525931757702427,1.0268910713709654,0.14191558421993467,1.0687094996196003,-0.19551285280717712,1.1250492297360621,1.248255509396771,True,False,True
NATIVE,U56,TOP40,RANKED,10,0.10294215526597794,1.1424013227872343,-0.15386273005879725,1.0298574696087037,1.2447342187558301,0.12176117960139421,1.2582139148906848,-0.15386273005879747,1.1357455808833303,1.2850843578542137,True,True,True
NATIVE,U56,TOP20V,RANKED,10,0.10263761614096278,1.0125827271594052,-0.17889030766316016,0.9625572644791003,1.0618134833456625,0.11760550198109332,1.0831101607722158,-0.1788903076631606,1.1357455808833303,1.2850843578542137,True,False,True
NATIVE,U56,TOP20B3,RANKED,10,0.1408215868885998,1.14613279213568,-0.1938880679677376,1.1808387350687446,1.1361627914498151,0.15831183574532148,1.180137724172317,-0.19388806796773772,1.1357455808833303,1.2850843578542137,True,True,True
NATIVE,U56,TOP20B3,RANKED,25,0.1259909274610147,1.038082482646601,-0.19551285280717756,1.0579503726631547,1.0378619097526292,0.1434043015597697,1.0819243299602999,-0.19551285280717734,1.1250492297360621,1.248255509396771,True,False,True
NATIVE,B136,TOP40,RANKED,10,0.12947308025566584,1.0522302612461365,-0.19865904981775917,1.1618034966536228,0.9669922483693933,0.13554438551717163,1.0469437238669186,-0.19865904981775917,1.1022031339130582,1.1185082795688428,True,False,True
RESPREAD,U56,RULESV2,GATE,10,0.1176159696081649,1.1326970546510173,-0.17714792247155442,1.0890756021934156,1.1822843698925145,0.13410734169971938,1.2025370886607551,-0.1771479224715543,1.1357455808833303,1.2850843578542137,True,True,True
RESPREAD,U56,RULESV2,GATE,25,0.11063642987157563,1.0709713146208566,-0.17890571361844976,1.028273271119259,1.1189782839075069,0.12679182339754913,1.1427070662444168,-0.17890571361844976,1.1250492297360621,1.248255509396771,True,True,True
RESPREAD,U56,MA200dg,GATE,10,0.10970770395830454,1.0521398406860516,-0.18647432308881817,1.0045975407405,1.1025917707350044,0.12429659462537868,1.111789870522634,-0.18647432308881784,1.1357455808833303,1.2850843578542137,True,False,True
RESPREAD,U56,BAND6dg,GATE,10,0.12182818975223575,1.1137394086742713,-0.1960130234055465,1.035903148228135,1.1891805806273987,0.14078918376859884,1.2046030121589455,-0.19601302340554638,1.1357455808833303,1.2850843578542137,True,True,True
RESPREAD,U56,BAND6dg,GATE,25,0.11658125048584012,1.0698207325109852,-0.1975955456607834,0.9939089837845239,1.1431842054674999,0.13523585915341974,1.1613369386127366,-0.19759554566078352,1.1250492297360621,1.248255509396771,True,True,True
RESPREAD,U56,ABSdg,GATE,10,0.11436599482708987,1.037339130781926,-0.19885942891708153,1.0945111196379143,1.006692102872269,0.12045400633528835,1.0313476818411156,-0.19885942891708097,1.1357455808833303,1.2850843578542137,True,False,True
RESPREAD,U56,TOP20,RANKED,10,0.14094746585336093,1.1419214662771038,-0.1938880679677374,1.1789640248979512,1.1295870526655623,0.1574377229409778,1.1707204746242617,-0.1938880679677376,1.1357455808833303,1.2850843578542137,True,True,True
RESPREAD,U56,TOP20,RANKED,25,0.12549099185070522,1.029861917718105,-0.19551285280717734,1.0525931757702427,1.0268910713709654,0.14191558421993467,1.0687094996196003,-0.19551285280717712,1.1250492297360621,1.248255509396771,True,False,True
