run,n_head,n_artefacts,n_data,bytes_any,bytes_data,capped,ANY_ok,DATA_ok,ANY_share,DATA_share
2026-09-04_52w-high-proximity_C,6,2,1,33814,9514,0,6,6,1.0,1.0
2026-09-04_abs-momentum-filter_C,21,1,0,24285,0,0,21,0,1.0,0.0
2026-09-04_asset-class-dispersion_B,5,1,1,25939,25939,0,5,5,1.0,1.0
2026-09-04_broad-H2-binding-bar_cloud,14,1,0,25085,0,0,14,0,1.0,0.0
2026-09-04_core-sleeve-walk-forward-repair_B,11,1,0,21470,0,0,9,0,0.8181818181818182,0.0
2026-09-04_cost-sensitivity_cloud,5,1,0,26882,0,0,5,0,1.0,0.0
2026-09-04_crypto-sleeve_C,11,2,1,100707,33209,0,11,11,1.0,1.0
2026-09-04_defensive-sleeve_cloud,6,1,0,31914,0,0,6,0,1.0,0.0
2026-09-04_drawdown-control_C,5,4,3,807455,519960,0,5,5,1.0,1.0
2026-09-04_drawdown-insurance-price-list_B,36,3,2,250311,156277,0,36,36,1.0,1.0
2026-09-04_earnings-season-avoidance_cloud,2,5,4,217857,148180,0,2,2,1.0,1.0
2026-09-04_eligible-fraction-vs-n_B,21,1,0,20582,0,0,21,0,1.0,0.0
2026-09-04_ensemble-plus-momentum_C,17,5,4,52630,23585,0,15,15,0.8823529411764706,0.8823529411764706
2026-09-04_exit-schedule-vs-entry-schedule_cloud,13,2,1,35819,21626,0,13,13,1.0,1.0
2026-09-04_gross-exposure-is-the-error_B,8,1,0,116210,0,0,8,0,1.0,0.0
2026-09-04_gross-matched-turnover-constraints_B,30,4,3,279658,171702,0,30,30,1.0,1.0
2026-09-04_insider-cluster-buying,6,1,0,5254,0,0,6,0,1.0,0.0
2026-09-04_insider-cluster-smallcap,0,1,0,16898,0,0,0,0,,
2026-09-04_interior-4b-selection_cloud,5,3,2,54206,27608,0,5,5,1.0,1.0
2026-09-04_is-window-has-no-crash_C,1,3,2,85849,48106,0,1,1,1.0,1.0
2026-09-04_lookback-blend_C,19,1,0,28852,0,0,19,0,1.0,0.0
2026-09-04_lookback-candidate-cost-and-lag_cloud,16,1,0,50010,0,0,7,0,0.4375,0.0
