se_basis,L,n,crit95,crit90,reject_at_1p96
S_IID,21,90,1.9819665201255314,1.5916998864592042,0.06666666666666667
S_IID,63,90,1.983467920683248,1.638945542418844,0.05555555555555555
S_IID,126,90,1.9758651616652367,1.612655718334132,0.05555555555555555
S_IID,252,90,1.9416406771245802,1.6248264126500513,0.05555555555555555
S_IID,504,90,1.9319195939392249,1.661716529817174,0.05555555555555555
S_BLOCK,21,90,1.9529699971572567,1.660029936583522,0.05555555555555555
S_BLOCK,63,90,1.9942803116580767,1.6855213597779142,0.05555555555555555
S_BLOCK,126,90,2.107408630643399,1.6814459424185066,0.06666666666666667
S_BLOCK,252,90,2.1027283266124996,1.8045120006433957,0.07777777777777778
S_BLOCK,504,90,2.3265742938712553,2.009493713867472,0.1111111111111111
S_FOLD,21,90,1.6375180198397559,1.360033931576772,0.022222222222222223
S_FOLD,63,90,1.7689877153472235,1.3877909170517573,0.03333333333333333
S_FOLD,126,90,1.9084858186312206,1.5502368904913202,0.03333333333333333
S_FOLD,252,90,1.9127046224855793,1.6896558025224497,0.044444444444444446
S_FOLD,504,90,2.560510292105328,1.87514270169246,0.1
S_NW,21,90,2.01613254364902,1.6541201200990536,0.05555555555555555
S_NW,63,90,2.0427366796233657,1.6709472859103456,0.06666666666666667
S_NW,126,90,2.122944231058418,1.7752468357140947,0.06666666666666667
S_NW,252,90,2.158744787456086,1.8482678966651322,0.08888888888888889
S_NW,504,90,2.4753787490002153,2.114961697936406,0.12222222222222222
S_NW_DIFFSD,21,90,0.9382346821125491,0.7456649776341191,0.0
S_NW_DIFFSD,63,90,0.9218715086647907,0.7430002371416414,0.0
S_NW_DIFFSD,126,90,0.9283796469299158,0.7280357934622114,0.0
S_NW_DIFFSD,252,90,1.105091545130257,0.7699423321987628,0.0
S_NW_DIFFSD,504,90,1.2777530748845638,0.8147717291167819,0.011111111111111112
