corpus,cost_bps,arm,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,OOS_margin,pass4a,pass4b
A,5,CONST-INC,265,1.0001338921890242,0.10411269846109003,-0.17087038452875886,-0.13499122115599438,145,70
A,5,SEL-SHARPE,265,1.0386366956114281,0.1131288518642655,-0.18020744124921684,-0.16963776038145334,143,51
A,5,SEL-4B,265,1.0124994909419964,0.10916165855946343,-0.17970719643398558,-0.1091161965950524,162,92
A,5,MODE-GLOBAL,265,1.05011572067765,0.11204090092038743,-0.17752896306348998,-0.1598124871012977,152,56
A,5,MODE-LOO,265,1.05011572067765,0.11204090092038743,-0.17752896306348998,-0.1598124871012977,152,56
A,5,MODE-XCORPUS,265,1.0447689038323316,0.11389312151807696,-0.18022559467256158,-0.15142497232038332,150,56
A,5,RANDOM,265,1.0009253262958608,0.10087994603583489,-0.16666827717683802,-0.19624026137320286,161,61
A,5,ORACLE,265,1.075237382565673,0.09694204476261854,-0.1469202279573615,-0.22669451991883618,195,56
A,10,CONST-INC,265,0.9638473221129039,0.09962258675151796,-0.17183773599126123,-0.16147504166958762,240,50
A,10,SEL-SHARPE,265,1.0099944548437918,0.1089995395573895,-0.18178786652149664,-0.1873038646075001,179,40
A,10,SEL-4B,265,0.9806216259728431,0.10570268555090244,-0.18163097592436722,-0.1347107246762693,211,62
A,10,MODE-GLOBAL,265,1.0196062459883335,0.10808108977302822,-0.1784550482039113,-0.17873104214086105,194,40
A,10,MODE-LOO,265,1.0196062459883335,0.10808108977302822,-0.1784550482039113,-0.17873104214086105,194,40
A,10,MODE-XCORPUS,265,1.0135231573783536,0.10973809577638916,-0.18121203556547227,-0.17136399842292566,187,40
A,10,RANDOM,265,0.9634074429190868,0.09631705196568909,-0.1679645763211422,-0.22529786563566356,210,39
A,10,ORACLE,265,1.0437890819340836,0.09492722658862014,-0.15037301125653904,-0.23729794813660382,221,42
A,15,CONST-INC,265,0.927535349120193,0.09515428973681002,-0.17300524730996011,-0.1916741789302171,250,30
A,15,SEL-SHARPE,265,0.9820414791000723,0.10419318947434313,-0.18146441953506545,-0.210785023789269,201,22
A,15,SEL-4B,265,0.9503466493461862,0.10226327127516219,-0.1831931585083733,-0.16353741627673601,225,39
A,15,MODE-GLOBAL,265,0.9890724344496696,0.10414036655236203,-0.17947089127680857,-0.19973668146132326,209,24
A,15,MODE-LOO,265,0.9890724344496696,0.10414036655236203,-0.17947089127680857,-0.19973668146132326,209,24
A,15,MODE-XCORPUS,265,0.9822525550067465,0.10560382026641495,-0.18230127182092148,-0.19329851513879967,209,23
A,15,RANDOM,265,0.9258663587360965,0.09178289060309178,-0.16941517131581418,-0.25647760054263147,225,26
A,15,ORACLE,265,1.0130391124921,0.09349214118174988,-0.15466768277387613,-0.2450961285778331,230,27
A,20,CONST-INC,265,0.8912014561155938,0.09070768661197497,-0.17431253916165007,-0.22553030154936476,250,20
A,20,SEL-SHARPE,265,0.9532701888648416,0.09971767508733262,-0.18190665937903683,-0.23743826101185717,217,17
A,20,SEL-4B,265,0.9196987545921449,0.09877981969540674,-0.18532506624121026,-0.19467724979732592,236,25
A,20,MODE-GLOBAL,265,0.9585170788943591,0.10021861736868098,-0.18060663015245546,-0.22256471610910927,223,19
A,20,MODE-LOO,265,0.9585170788943591,0.10021861736868098,-0.18060663015245546,-0.22256471610910927,223,19
A,20,MODE-XCORPUS,265,0.950960093621736,0.10149016870575785,-0.1834960861142242,-0.2171193920750927,223,19
A,20,RANDOM,265,0.8883057456575932,0.08727720370313942,-0.1710091809614661,-0.29037030402442193,236,15
A,20,ORACLE,265,0.9825091215053263,0.09090417590144954,-0.15748689220733825,-0.26528164608539384,237,20
A,25,CONST-INC,265,0.8548491307087488,0.08628265732392103,-0.1756789383417582,-0.2626949312517851,255,10
A,25,SEL-SHARPE,265,0.9284787894915654,0.09501912742735759,-0.18193528868330974,-0.2651548502964204,235,14
A,25,SEL-4B,265,0.8891831672941753,0.09477933929686151,-0.18701729404240827,-0.22558738574556228,247,20
A,25,MODE-GLOBAL,265,0.945061807883024,0.09072244328972492,-0.16887261790625363,-0.2883940773053027,244,14
A,25,MODE-LOO,265,0.945061807883024,0.09072244328972492,-0.16887261790625363,-0.2883940773053027,244,14
A,25,MODE-XCORPUS,265,0.9341855728102662,0.0953051518402954,-0.17873086217277456,-0.2519523532752943,243,15
A,25,RANDOM,265,0.850729278750792,0.08279973619681386,-0.17295260456977185,-0.3260750186204889,246,9
A,25,ORACLE,265,0.9522144952605094,0.08780962057995517,-0.15934156832262023,-0.287527249389973,251,15
B,5,CONST-INC,575,0.7116999228138001,0.05562683727855768,-0.16686789990515274,-0.6199071148312426,115,85
B,5,SEL-SHARPE,575,0.7514911511078456,0.060705342574738544,-0.17782582934381852,-0.5871405045827073,151,61
B,5,SEL-4B,575,0.7300240362224624,0.06261382673363475,-0.18106765298650496,-0.5472474760490195,104,97
