kind,reading,conv,cost,split,agree,p_post_given_pass,p_post_given_fail,lift,n_pass,n_post,rho_full_is,rho_full_post,rho_is_post,max_rank_move,n_moved,top1_full,top1_is,top1_post,top1_changed,is_top1_is_post_top1
confusion,FOURB,IS,0,2013-12-31,0.4166666666666667,1.0,0.875,0.125,4.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,0,2013-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,0,2013-12-31,,,,,,,0.7762237762237763,0.9930069930069931,0.7552447552447553,4.0,7.0,R4,R4,R4,False,True
rank,Sharpe,IS_vs_FULL,0,2013-12-31,,,,,,,0.4125874125874127,0.7482517482517484,-0.08391608391608392,9.0,10.0,K8,R3,K8,True,False
rank,MaxDD,IS_vs_FULL,0,2013-12-31,,,,,,,-0.034965034965034975,1.0,-0.034965034965034975,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,0,2013-12-31,,,,,,,0.09534625892455924,1.0,0.09534625892455924,5.5,12.0,K1,K4,K1,True,False
confusion,FOURB,IS,0,2014-12-31,0.3333333333333333,1.0,0.8888888888888888,0.11111111111111116,3.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,0,2014-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,0,2014-12-31,,,,,,,0.7692307692307694,0.965034965034965,0.6713286713286714,4.0,7.0,R4,R4,R4,False,True
rank,Sharpe,IS_vs_FULL,0,2014-12-31,,,,,,,0.4685314685314686,0.6293706293706295,-0.21678321678321683,9.0,10.0,K8,K7,K8,True,False
rank,MaxDD,IS_vs_FULL,0,2014-12-31,,,,,,,-0.034965034965034975,1.0,-0.034965034965034975,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,0,2014-12-31,,,,,,,-0.1421338109037403,1.0,-0.14213381090374033,7.0,12.0,K1,K6,K1,True,False
confusion,FOURB,IS,0,2015-12-31,0.6666666666666666,1.0,0.8,0.19999999999999996,7.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,0,2015-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,0,2015-12-31,,,,,,,0.8461538461538463,0.9580419580419581,0.7552447552447553,4.0,7.0,R4,R4,K8,False,False
rank,Sharpe,IS_vs_FULL,0,2015-12-31,,,,,,,0.3076923076923077,0.7132867132867133,-0.27272727272727276,9.0,11.0,K8,R3,K8,True,False
rank,MaxDD,IS_vs_FULL,0,2015-12-31,,,,,,,-0.034965034965034975,1.0,-0.034965034965034975,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,0,2015-12-31,,,,,,,0.35675303400633795,1.0,0.3567530340063379,4.0,12.0,K1,K2,K1,True,False
confusion,FOURB,IS,0,2016-12-31,0.6666666666666666,1.0,0.8,0.19999999999999996,7.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,0,2016-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,0,2016-12-31,,,,,,,0.8531468531468532,0.9020979020979022,0.6783216783216784,4.0,5.0,R4,R4,K8,False,False
rank,Sharpe,IS_vs_FULL,0,2016-12-31,,,,,,,0.3636363636363637,0.5454545454545455,-0.5104895104895105,8.0,10.0,K8,R4,K8,True,False
rank,MaxDD,IS_vs_FULL,0,2016-12-31,,,,,,,-0.034965034965034975,1.0,-0.034965034965034975,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,0,2016-12-31,,,,,,,0.35675303400633795,1.0,0.3567530340063379,4.0,12.0,K1,K2,K1,True,False
confusion,FOURB,IS,0,2017-12-31,0.9166666666666666,1.0,0.5,0.5,10.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,0,2017-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,0,2017-12-31,,,,,,,0.8951048951048951,0.9090909090909092,0.7832167832167832,4.0,4.0,R4,R4,K8,False,False
rank,Sharpe,IS_vs_FULL,0,2017-12-31,,,,,,,0.46153846153846156,0.5874125874125874,-0.30069930069930073,8.0,9.0,K8,R4,K8,True,False
rank,MaxDD,IS_vs_FULL,0,2017-12-31,,,,,,,-0.034965034965034975,1.0,-0.034965034965034975,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,0,2017-12-31,,,,,,,0.6741998624632423,1.0,0.6741998624632423,5.5,12.0,K1,K1,K1,False,True
confusion,FOURB,IS,0,2018-12-31,0.5833333333333334,1.0,0.8333333333333334,0.16666666666666663,6.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,0,2018-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,0,2018-12-31,,,,,,,0.965034965034965,0.9090909090909092,0.8531468531468532,2.0,7.0,R4,R4,K8,False,False
rank,Sharpe,IS_vs_FULL,0,2018-12-31,,,,,,,0.6713286713286714,0.6713286713286714,0.013986013986013986,7.0,11.0,K8,R4,K8,True,False
rank,MaxDD,IS_vs_FULL,0,2018-12-31,,,,,,,0.5244755244755246,1.0,0.5244755244755246,8.0,9.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,0,2018-12-31,,,,,,,0.30151134457776363,1.0,0.30151134457776363,3.5,12.0,K1,K2,K1,True,False
confusion,FOURB,IS,10,2013-12-31,0.4166666666666667,1.0,0.875,0.125,4.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,10,2013-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,10,2013-12-31,,,,,,,0.7342657342657343,0.9930069930069931,0.6923076923076924,5.0,7.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,10,2013-12-31,,,,,,,0.5524475524475525,0.8181818181818183,0.055944055944055944,7.0,8.0,R3,R3,K8,False,False
rank,MaxDD,IS_vs_FULL,10,2013-12-31,,,,,,,-0.08391608391608392,1.0,-0.08391608391608392,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,10,2013-12-31,,,,,,,0.046524210519923545,1.0,0.04652421051992354,5.0,12.0,K1,K4,K1,True,False
confusion,FOURB,IS,10,2014-12-31,0.25,1.0,0.9,0.09999999999999998,2.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,10,2014-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,10,2014-12-31,,,,,,,0.7062937062937064,0.9860139860139862,0.6503496503496504,5.0,9.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,10,2014-12-31,,,,,,,0.5524475524475525,0.7762237762237763,-0.006993006993006993,8.0,8.0,R3,R3,K8,False,False
rank,MaxDD,IS_vs_FULL,10,2014-12-31,,,,,,,-0.08391608391608392,1.0,-0.08391608391608392,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,10,2014-12-31,,,,,,,-0.29346959282671115,1.0,-0.29346959282671115,8.5,12.0,K1,K6,K1,True,False
confusion,FOURB,IS,10,2015-12-31,0.5833333333333334,1.0,0.8333333333333334,0.16666666666666663,6.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,10,2015-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,10,2015-12-31,,,,,,,0.8181818181818183,0.9860139860139862,0.7622377622377624,4.0,8.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,10,2015-12-31,,,,,,,0.5594405594405596,0.7132867132867133,-0.06993006993006995,8.0,8.0,R3,R3,K8,False,False
rank,MaxDD,IS_vs_FULL,10,2015-12-31,,,,,,,-0.08391608391608392,1.0,-0.08391608391608392,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,10,2015-12-31,,,,,,,0.19069251784911848,1.0,0.19069251784911848,5.5,12.0,K1,K4,K1,True,False
confusion,FOURB,IS,10,2016-12-31,0.5833333333333334,1.0,0.8333333333333334,0.16666666666666663,6.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,10,2016-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,10,2016-12-31,,,,,,,0.7832167832167832,0.9160839160839163,0.5524475524475525,5.0,9.0,R3,R4,K8,True,False
rank,Sharpe,IS_vs_FULL,10,2016-12-31,,,,,,,0.5174825174825175,0.6083916083916086,-0.2797202797202798,8.0,12.0,R3,R4,K8,True,False
rank,MaxDD,IS_vs_FULL,10,2016-12-31,,,,,,,-0.08391608391608392,1.0,-0.08391608391608392,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,10,2016-12-31,,,,,,,0.19069251784911848,1.0,0.19069251784911848,5.5,12.0,K1,K4,K1,True,False
confusion,FOURB,IS,10,2017-12-31,0.8333333333333334,1.0,0.6666666666666666,0.33333333333333337,9.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,10,2017-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,10,2017-12-31,,,,,,,0.8881118881118882,0.9090909090909092,0.6993006993006995,3.0,10.0,R3,R4,R3,True,False
rank,Sharpe,IS_vs_FULL,10,2017-12-31,,,,,,,0.5034965034965035,0.7132867132867133,-0.18181818181818185,8.0,11.0,R3,R4,K8,True,False
rank,MaxDD,IS_vs_FULL,10,2017-12-31,,,,,,,-0.08391608391608392,1.0,-0.08391608391608392,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,10,2017-12-31,,,,,,,0.5222329678670935,1.0,0.5222329678670935,5.0,12.0,K1,K1,K1,False,True
confusion,FOURB,IS,10,2018-12-31,0.5,1.0,0.8571428571428571,0.1428571428571429,5.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,10,2018-12-31,1.0,1.0,0.0,1.0,11.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,10,2018-12-31,,,,,,,0.9300699300699302,0.8391608391608393,0.6993006993006995,3.0,9.0,R3,R4,K6,True,False
rank,Sharpe,IS_vs_FULL,10,2018-12-31,,,,,,,0.6153846153846154,0.7482517482517484,0.055944055944055944,8.0,9.0,R3,R4,K8,True,False
rank,MaxDD,IS_vs_FULL,10,2018-12-31,,,,,,,0.43356643356643365,1.0,0.43356643356643365,9.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,10,2018-12-31,,,,,,,0.25482359571881286,1.0,0.25482359571881286,3.0,12.0,K1,K3,K1,True,False
confusion,FOURB,IS,25,2013-12-31,0.25,0.6666666666666666,0.8888888888888888,-0.2222222222222222,3.0,10.0,,,,,,,,,,
confusion,FOURB,FULL,25,2013-12-31,0.75,0.8888888888888888,0.6666666666666666,0.2222222222222222,9.0,10.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,25,2013-12-31,,,,,,,0.8671328671328673,0.8951048951048951,0.6293706293706295,4.0,9.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,25,2013-12-31,,,,,,,0.7412587412587414,0.8951048951048951,0.4545454545454546,5.0,10.0,K6,R3,K6,True,False
rank,MaxDD,IS_vs_FULL,25,2013-12-31,,,,,,,0.10489510489510491,0.9580419580419581,-0.034965034965034975,9.0,10.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,25,2013-12-31,,,,,,,0.31734436976580466,0.25819888974716115,-0.4022409138923945,6.5,10.0,K2,K6,K1,True,False
confusion,FOURB,IS,25,2014-12-31,0.25,1.0,0.8181818181818182,0.18181818181818177,1.0,10.0,,,,,,,,,,
confusion,FOURB,FULL,25,2014-12-31,0.75,0.8888888888888888,0.6666666666666666,0.2222222222222222,9.0,10.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,25,2014-12-31,,,,,,,0.8111888111888113,0.8741258741258742,0.49650349650349657,4.0,9.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,25,2014-12-31,,,,,,,0.7202797202797203,0.8461538461538463,0.3356643356643357,5.0,10.0,K6,R3,K8,True,False
rank,MaxDD,IS_vs_FULL,25,2014-12-31,,,,,,,0.10489510489510491,0.9580419580419581,-0.034965034965034975,9.0,10.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,25,2014-12-31,,,,,,,0.1439780709302267,0.25819888974716115,-0.46840472358274415,8.0,12.0,K2,K6,K1,True,False
confusion,FOURB,IS,25,2015-12-31,0.4166666666666667,1.0,0.875,0.125,4.0,11.0,,,,,,,,,,
confusion,FOURB,FULL,25,2015-12-31,0.8333333333333334,1.0,0.6666666666666666,0.33333333333333337,9.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,25,2015-12-31,,,,,,,0.8811188811188813,0.8881118881118882,0.6293706293706295,3.0,9.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,25,2015-12-31,,,,,,,0.7692307692307694,0.8391608391608393,0.3916083916083916,5.0,10.0,K6,R3,K8,True,False
rank,MaxDD,IS_vs_FULL,25,2015-12-31,,,,,,,0.10489510489510491,0.9580419580419581,-0.034965034965034975,9.0,10.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,25,2015-12-31,,,,,,,0.25964539344474924,0.5222329678670935,-0.04519846147055687,6.5,12.0,K2,K4,K1,True,False
confusion,FOURB,IS,25,2016-12-31,0.4166666666666667,1.0,0.875,0.125,4.0,11.0,,,,,,,,,,
