reading,claimset,q,n,moves,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,keep4a
AGG,CS_STEPS,0.5,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
PERCELL,CS_STEPS,0.5,24,16,0.11558436871264995,0.796833703900678,-0.2550927483235497,4,0
AGG,CS_STEPS,0.6,24,15,0.11482374014626805,0.7903305053527371,-0.2562162874559233,4,0
PERCELL,CS_STEPS,0.6,24,6,0.11459382844802835,0.7975464948400225,-0.24787867493584304,6,0
AGG,CS_STEPS,0.7,24,10,0.11628208988550633,0.8080417173488134,-0.24908941529808473,6,0
PERCELL,CS_STEPS,0.7,24,4,0.11527197671452706,0.8018131284954532,-0.24609626956336608,7,0
AGG,CS_STEPS,0.8,24,4,0.11527197671452706,0.8018131284954532,-0.24609626956336608,7,0
PERCELL,CS_STEPS,0.8,24,3,0.11357484849837936,0.7928852672686105,-0.2454305270257405,7,0
AGG,CS_STEPS,0.9,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
PERCELL,CS_STEPS,0.9,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
AGG,CS_STEPS,0.95,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
PERCELL,CS_STEPS,0.95,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
AGG,CS_ENDS,0.5,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
PERCELL,CS_ENDS,0.5,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
AGG,CS_ENDS,0.6,24,15,0.11710606588214896,0.7982395880451416,-0.2547187473772677,5,0
PERCELL,CS_ENDS,0.6,24,15,0.11710606588214896,0.7982395880451416,-0.2547187473772677,5,0
AGG,CS_ENDS,0.7,24,12,0.11494429609634553,0.789003167739489,-0.2527299386626529,6,0
PERCELL,CS_ENDS,0.7,24,12,0.11494429609634553,0.789003167739489,-0.2527299386626529,6,0
AGG,CS_ENDS,0.8,24,8,0.11473391830294066,0.7966139127251225,-0.2467051956659826,7,0
PERCELL,CS_ENDS,0.8,24,8,0.11473391830294066,0.7966139127251225,-0.2467051956659826,7,0
AGG,CS_ENDS,0.9,24,4,0.11463954453709663,0.7976377406462379,-0.24138553604883883,7,0
PERCELL,CS_ENDS,0.9,24,4,0.11463954453709663,0.7976377406462379,-0.24138553604883883,7,0
AGG,CS_ENDS,0.95,24,3,0.11365972636998893,0.7913060750753912,-0.24198662539413204,7,0
PERCELL,CS_ENDS,0.95,24,3,0.11365972636998893,0.7913060750753912,-0.24198662539413204,7,0
AGG,CS_VSANCHOR,0.5,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
PERCELL,CS_VSANCHOR,0.5,24,17,0.11546185935816354,0.7935099144619118,-0.255745980558391,3,0
AGG,CS_VSANCHOR,0.6,24,16,0.11532947942854486,0.792360221738758,-0.25461432877947265,4,0
PERCELL,CS_VSANCHOR,0.6,24,4,0.11527197671452706,0.8018131284954532,-0.24609626956336608,7,0
AGG,CS_VSANCHOR,0.7,24,9,0.1173059120367375,0.8030980884237408,-0.24915825793719293,7,0
PERCELL,CS_VSANCHOR,0.7,24,3,0.11357484849837936,0.7928852672686105,-0.2454305270257405,7,0
AGG,CS_VSANCHOR,0.8,24,4,0.11527197671452706,0.8018131284954532,-0.24609626956336608,7,0
PERCELL,CS_VSANCHOR,0.8,24,3,0.11357484849837936,0.7928852672686105,-0.2454305270257405,7,0
AGG,CS_VSANCHOR,0.9,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
PERCELL,CS_VSANCHOR,0.9,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
AGG,CS_VSANCHOR,0.95,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
PERCELL,CS_VSANCHOR,0.95,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
AGG,CS_VSBEST,0.5,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
PERCELL,CS_VSBEST,0.5,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
AGG,CS_VSBEST,0.6,24,17,0.1163581775624866,0.797445894520933,-0.2547237199675588,4,0
PERCELL,CS_VSBEST,0.6,24,8,0.1176929060169426,0.8157402107026529,-0.2459589713756982,6,0
AGG,CS_VSBEST,0.7,24,12,0.1164646974361644,0.8027844223676889,-0.2511195891734738,5,0
PERCELL,CS_VSBEST,0.7,24,6,0.1158700129710903,0.8066040027219885,-0.24540063721890992,7,0
AGG,CS_VSBEST,0.8,24,6,0.1158700129710903,0.8066040027219885,-0.24540063721890992,7,0
PERCELL,CS_VSBEST,0.8,24,5,0.1141728847549426,0.797676141495146,-0.24473489468128432,7,0
AGG,CS_VSBEST,0.9,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
PERCELL,CS_VSBEST,0.9,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
AGG,CS_VSBEST,0.95,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
PERCELL,CS_VSBEST,0.95,24,2,0.11308424703454845,0.792749298820592,-0.24181115128839684,7,0
DO_NOTHING,CONTROL,,24,0,0.10986686984873222,0.792247540197167,-0.23630752811038414,8,0
ALWAYS_ACT,CONTROL,,24,18,0.11649055749210528,0.7985955872440865,-0.25585537174647716,3,0
