claimset,norm,claims,cells,cell_agree,claim_survive
ALL,RAW,81,105504,1.0,1.0
ALL,SD,81,105504,0.7215745374582955,0.5679012345679012
ALL,IQR,81,105504,0.6946466484683045,0.5555555555555556
ALL,RANK,81,105504,0.5464058234758872,0.25925925925925924
PASS4b,RAW,72,36199,1.0,1.0
PASS4b,SD,72,36199,0.7728666537749661,0.8333333333333334
PASS4b,IQR,72,36199,0.7592474930246692,0.5555555555555556
PASS4b,RANK,72,36199,0.47222298958534764,0.4166666666666667
FAIL4b,RAW,80,69295,1.0,1.0
FAIL4b,SD,80,69295,0.7037448589364312,0.5375
FAIL4b,IQR,80,69295,0.6694422396998341,0.5125
FAIL4b,RANK,80,69295,0.5621329100223681,0.35
