panel,band,G,d_maxdd_pp,sd_pp,t,resolvable
U56,NOGATE,0.2,0.0,0.0,,False
U56,NOGATE,0.4,0.0,0.0,,False
U56,NOGATE,0.6,0.0,0.0,,False
U56,NOGATE,0.8,0.0,0.0,,False
U56,NOGATE,1.0,0.0,0.0,,False
U56,BAND000,0.2,1.5446255099637485,0.7471963461150278,2.0672284038792124,True
U56,BAND000,0.4,2.98246514451197,1.4332508385287692,2.080909401436993,True
U56,BAND000,0.6,4.316719533181434,2.0616951882493337,2.093771939608071,True
U56,BAND000,0.8,4.119594020030604,2.469597035625311,1.6681239735078914,False
U56,BAND000,1.0,5.30713268146984,3.005359980530105,1.7658891832763848,False
U56,BAND003,0.2,1.5401487514949075,0.7401612684336102,2.080828620976475,True
U56,BAND003,0.4,2.9681895283364623,1.4191411164022358,2.0915393783116705,True
U56,BAND003,0.6,4.287644269940949,2.039557496062474,2.102242412002889,True
U56,BAND003,0.8,4.071024698907689,2.4222990194575127,1.680644984870372,False
U56,BAND003,1.0,5.2346846521913015,2.9507952888336355,1.7739911243590272,False
U56,BAND010,0.2,1.459216987501566,0.8216581715312236,1.775941672657137,False
U56,BAND010,0.4,2.808390961805418,1.5774574338883514,1.7803275711109865,False
U56,BAND010,0.6,2.568010331096815,2.0834199679310386,1.232593702001908,False
U56,BAND010,0.8,3.759553075809785,2.7280389359899027,1.3781156222558035,False
U56,BAND010,1.0,4.850354081297437,3.317173761222754,1.4621947568732523,False
B136,NOGATE,0.2,0.0,0.0,,False
B136,NOGATE,0.4,0.0,0.0,,False
B136,NOGATE,0.6,0.0,0.0,,False
B136,NOGATE,0.8,0.0,0.0,,False
B136,NOGATE,1.0,0.0,0.0,,False
B136,BAND000,0.2,2.0436272563815527,0.8922342605020024,2.2904604170117118,True
B136,BAND000,0.4,3.934355124159117,1.7067384227118387,2.3051892848980424,True
B136,BAND000,0.6,5.677293947334494,2.4464587835310057,2.3206170427038146,True
B136,BAND000,0.8,5.678226033052947,2.9251963316522946,1.9411435641468913,False
B136,BAND000,1.0,7.206545098897099,3.5441880560814147,2.0333416243338176,True
B136,BAND003,0.2,2.1567938037723833,0.909561353719056,2.3712460901659753,True
B136,BAND003,0.4,4.151055954763317,1.73926040233668,2.3866788142743958,True
B136,BAND003,0.6,5.988236719684881,2.492717283774841,2.4022927745005274,True
B136,BAND003,0.8,6.074422986496419,2.958799074377743,2.0530028683255264,True
B136,BAND003,1.0,7.679333717506331,3.5917970558578927,2.138019937674942,True
B136,BAND010,0.2,1.4991017583279587,0.8116052067832535,1.847082480248685,False
B136,BAND010,0.4,2.8607444264240334,1.5482932472137585,1.8476760985505203,False
B136,BAND010,0.6,4.090337977343717,2.2125016813619958,1.8487389238166554,False
B136,BAND010,0.8,3.5939313902232928,2.6371221020928126,1.3628232789718606,False
B136,BAND010,1.0,4.641210309021138,3.182101741458116,1.4585361142143816,False
SMALL,NOGATE,0.2,0.0,0.0,,False
SMALL,NOGATE,0.4,0.0,0.0,,False
SMALL,NOGATE,0.6,0.0,0.0,,False
SMALL,NOGATE,0.8,0.0,0.0,,False
SMALL,NOGATE,1.0,0.0,0.0,,False
SMALL,BAND000,0.2,1.4770893013132946,1.201576218905844,1.2292930552989247,False
SMALL,BAND000,0.4,2.860649866551046,2.294701280518481,1.2466327930512553,False
SMALL,BAND000,0.6,6.528563983488889,3.712567140902836,1.7585039504231694,False
SMALL,BAND000,0.8,7.638340065157189,4.558485264701153,1.6756311848378758,False
SMALL,BAND000,1.0,8.666328735606454,5.324963918091428,1.6274906025490286,False
SMALL,BAND003,0.2,1.3698451174278925,1.1726434870841889,1.1681684437902358,False
SMALL,BAND003,0.4,2.6504083735163553,2.2382092584573154,1.1841646903664171,False
SMALL,BAND003,0.6,6.219577295389422,3.650782275136756,1.7036286545344423,False
SMALL,BAND003,0.8,7.234857385916483,4.466504308319414,1.6198030689102145,False
SMALL,BAND003,1.0,8.172601450972328,5.202643758534201,1.57085547853749,False
SMALL,BAND010,0.2,0.9677964782486503,1.0065756099682168,0.9614741989220352,False
SMALL,BAND010,0.4,4.338428559759667,2.388441269211296,1.8164267280443906,False
SMALL,BAND010,0.6,5.069365715726459,3.131383205786725,1.6188902419730635,False
SMALL,BAND010,0.8,5.738097391374031,3.8058546048822075,1.5077027335760838,False
SMALL,BAND010,1.0,6.347330209687508,4.410495677588179,1.4391421449387882,False
