dialset,dial,selector,cells,OOS_Sharpe,OOS_CAGR
B,cadence,S_SHARPE,12,0.7319083572721529,0.08771000269847258
B,cadence,S_CAGR,12,0.7249285683949992,0.08645808979529812
B,cadence,DONOTHING,12,0.717572784761081,0.08261704293872629
B,gross,S_SHARPE,12,0.7172514465967019,0.10366916325455965
B,gross,S_CAGR,12,0.7168497365409611,0.1079194489619766
B,gross,DONOTHING,12,0.7177211261981862,0.07740737039817819
B,n,S_SHARPE,12,0.6755162540700982,0.09211097572016747
B,n,S_CAGR,12,0.6276741714700164,0.10909711941712812
B,n,DONOTHING,12,0.717572784761081,0.08261704293872629
B,trim,S_SHARPE,12,0.943588439079759,0.0742440306160531
B,trim,S_CAGR,12,0.9388661442304566,0.07490323360301548
B,trim,DONOTHING,12,0.9196268598633898,0.07006457430928496
B,volgate,S_SHARPE,12,0.7409362947894054,0.08961607372034686
B,volgate,S_CAGR,12,0.7326088395586612,0.08851581271636592
B,volgate,DONOTHING,12,0.717572784761081,0.08261704293872629
C,band,S_SHARPE,12,0.9477713807746021,0.07600717331613527
C,band,S_CAGR,12,0.9426688724928907,0.07677075187478333
C,band,DONOTHING,12,0.9196268598633898,0.07006457430928496
C,cadence,S_SHARPE,12,0.9363046856640204,0.07272343410787994
C,cadence,S_CAGR,12,0.9078087516245709,0.07435658354451813
C,cadence,DONOTHING,12,0.9196268598633898,0.07006457430928496
C,gross,S_SHARPE,12,0.9187356847706036,0.09321272521092094
C,gross,S_CAGR,12,0.9187356847706036,0.09321272521092094
C,gross,DONOTHING,12,0.9196268598633898,0.07006457430928496
C,n,S_SHARPE,12,0.7024327920438972,0.08642955366565337
C,n,S_CAGR,12,0.6758893564985499,0.08321912805833356
C,n,DONOTHING,12,0.7409856608351265,0.09644783168952954
C,quantile,S_SHARPE,12,0.7513012811854662,0.09510722650780433
C,quantile,S_CAGR,12,0.6540108419866276,0.07802401089754839
C,quantile,DONOTHING,12,0.8735278884878674,0.11431155978770578
C,volcap,S_SHARPE,12,0.7424289722887248,0.09075404577495987
C,volcap,S_CAGR,12,0.7473333676367283,0.0923004664842995
C,volcap,DONOTHING,12,0.717572784761081,0.08261704293872629
-,comparand,RULES_v2,12,0.9196268598633895,0.07006457430928496
-,comparand,RULES_v1,12,0.4640833802635693,0.05487847693820703
-,comparand,SPY,12,0.8817368512631499,0.15444529885284025
