panel,control,rho_L_median,median_at_L1,median_at_LT,observed,want_sign,sign_ok,strong
U56,C_BOOK,-0.9614094269768303,22.406806920832537,19.127561830465023,19.12756183046503,-1.0,True,True
U56,C_GATEOFF,-0.8873459471570384,22.029257606180014,20.10683222103155,20.10683222103151,-1.0,True,True
U56,C_NOREBAL,0.9982502173821435,57.643215635608364,71.94472383087785,71.9447238308778,1.0,True,True
U56,C_SHUFFLE,0.4518395720782334,22.912170680938637,23.161189826322378,23.161189826322556,1.0,True,False
U56,C_SPY,0.6383620938792077,24.8072075757446,26.19715110967319,26.19715110967317,1.0,True,False
B136,C_BOOK,-0.9929823694376382,25.617164677397497,20.74030226784948,20.74030226784948,-1.0,True,True
B136,C_GATEOFF,-0.9964973622679556,26.942052109857155,22.306489936136824,22.30648993613683,-1.0,True,True
B136,C_NOREBAL,0.9632238939652261,45.49554000117705,60.00350431145384,60.003504311453824,1.0,True,True
B136,C_SHUFFLE,-0.39860139860139865,25.34465050588584,25.717419130627736,25.71741913062771,1.0,False,False
B136,C_SPY,0.8266297135457225,25.077608848930197,26.19610749422495,26.196107494224975,1.0,True,True
SMALL,C_BOOK,-0.9577702286774383,40.70569519144284,35.81405418032812,35.81405418032813,-1.0,True,True
SMALL,C_GATEOFF,-0.9352028352316923,41.25904662820237,33.14305676645737,33.14305676645737,-1.0,True,True
SMALL,C_NOREBAL,-0.9370629370629372,51.78744749746886,38.93723162501093,38.93723162501094,-1.0,True,True
SMALL,C_SHUFFLE,-0.1328671328671329,40.654420460818315,46.78093364985628,46.78093364985628,1.0,False,False
SMALL,C_SPY,0.9111762845610992,23.91054812784266,26.1971511096732,26.1971511096732,1.0,True,True
