corpus,panel,cost,selector,s,N,pick,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,OOS4b,pass4a,pass4b,dOOS,dMaxDD,changed
C159,broad,10.0,SCREEN 4bIS [AS165],35,98,R6@0.15,14,0.8704740668013373,0.1324482980493002,-0.2105122160341821,False,True,False,0.0,0.0,False
C159,broad,25.0,SCREEN 4bIS [AS165],0,98,R6@0.15,14,0.7152246226217537,0.1051669223151421,-0.2119407242793646,False,True,False,0.0,0.0,False
C159,small,10.0,SCREEN 4bIS [AS165],0,98,INV@0.15,21,0.3337136347048078,0.0368029977698167,-0.3446784175387199,False,False,False,0.0,0.0,False
C159,small,25.0,SCREEN 4bIS [AS165],0,98,RND@0.05,7,0.196542402562728,0.0194309808521808,-0.4288459138364928,False,False,False,0.0,0.0,False
C159,u56,10.0,SCREEN 4bIS [AS165],3,98,R6@0.15,6,1.0822591208710042,0.1968774337194885,-0.1893024953247728,True,False,True,0.1129548392828078,-0.035171711354266194,True
C159,u56,25.0,SCREEN 4bIS [AS165],0,98,R6@0.1,4,0.8310185837327501,0.1611660469975191,-0.2307733992234331,False,False,False,0.0,0.0,False
C165,u56,10.0,SCREEN 4bIS [AS165],2,63,R6@0.15,6,1.0822591208710042,0.1968774337194885,-0.1893024953247728,True,False,True,0.1129548392828078,-0.035171711354266194,True
C168,broad,10.0,SCREEN 4bIS [AS165],23,88,0.1@0.2,18,0.9490796579017852,0.1429692884156284,-0.2193066027411437,False,False,False,0.08927905687142279,-0.012196023977168319,True
C168,broad,25.0,SCREEN 4bIS [AS165],0,88,0.25@0.1,9,0.7050046085238197,0.1230347117380548,-0.2321223252707016,False,True,False,0.0,0.0,False
C168,u56,10.0,SCREEN 4bIS [AS165],0,88,0.0@0.1,4,0.981820595790861,0.2002113357531922,-0.2429923667707243,False,False,False,0.0,0.0,False
C168,u56,25.0,SCREEN 4bIS [AS165],0,88,0.0@0.1,4,0.8346146335465046,0.1641083938958141,-0.2508033960405447,False,False,False,0.0,0.0,False
C159,broad,10.0,SCREEN 4bIS [PUB],27,98,R6@0.27,25,0.987891480604342,0.1347992854417072,-0.1975989628829378,True,True,True,0.11741741380300463,-0.012913253151244308,True
C159,broad,25.0,SCREEN 4bIS [PUB],0,98,R6@0.15,14,0.7152246226217537,0.1051669223151421,-0.2119407242793646,False,True,False,0.0,0.0,False
C159,small,10.0,SCREEN 4bIS [PUB],0,98,INV@0.15,21,0.3337136347048078,0.0368029977698167,-0.3446784175387199,False,False,False,0.0,0.0,False
C159,small,25.0,SCREEN 4bIS [PUB],0,98,RND@0.05,7,0.196542402562728,0.0194309808521808,-0.4288459138364928,False,False,False,0.0,0.0,False
C159,u56,10.0,SCREEN 4bIS [PUB],1,98,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C159,u56,25.0,SCREEN 4bIS [PUB],0,98,R6@0.1,4,0.8310185837327501,0.1611660469975191,-0.2307733992234331,False,False,False,0.0,0.0,False
C165,u56,10.0,SCREEN 4bIS [PUB],1,63,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C168,broad,10.0,SCREEN 4bIS [PUB],12,88,-0.5@0.27,25,0.7986385860118955,0.0841083132906252,-0.187911183478329,False,True,False,-0.06116201501846685,-0.04359144323998301,True
C168,broad,25.0,SCREEN 4bIS [PUB],0,88,0.25@0.1,9,0.7050046085238197,0.1230347117380548,-0.2321223252707016,False,True,False,0.0,0.0,False
C168,u56,10.0,SCREEN 4bIS [PUB],0,88,0.0@0.1,4,0.981820595790861,0.2002113357531922,-0.2429923667707243,False,False,False,0.0,0.0,False
C168,u56,25.0,SCREEN 4bIS [PUB],0,88,0.0@0.1,4,0.8346146335465046,0.1641083938958141,-0.2508033960405447,False,False,False,0.0,0.0,False
C159,broad,10.0,SIZE n>=10,70,98,R6@0.15,14,0.8704740668013373,0.1324482980493002,-0.2105122160341821,False,True,False,0.0,0.0,False
C159,broad,25.0,SIZE n>=10,70,98,R6@0.15,14,0.7152246226217537,0.1051669223151421,-0.2119407242793646,False,True,False,0.0,0.0,False
C159,small,10.0,SIZE n>=10,84,98,INV@0.15,21,0.3337136347048078,0.0368029977698167,-0.3446784175387199,False,False,False,0.0,0.0,False
C159,small,25.0,SIZE n>=10,84,98,INV@0.15,21,0.0559813041956425,-0.0017131015300013,-0.381542920487933,False,False,False,-0.14056109836708552,-0.04730299334855981,True
C159,u56,10.0,SIZE n>=10,56,98,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C159,u56,25.0,SIZE n>=10,56,98,MOM@0.53,20,0.9153490445153344,0.1146257088141406,-0.1904116553672712,True,False,False,0.08433046078258433,-0.0403617438561619,True
C165,u56,10.0,SIZE n>=10,35,63,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C168,broad,10.0,SIZE n>=10,66,88,0.75@0.15,14,0.9619135981549876,0.1664119879977619,-0.2287526398085654,False,False,False,0.10211299712462518,-0.002749986909746621,True
C168,broad,25.0,SIZE n>=10,66,88,0.75@0.15,14,0.8032719520730026,0.1343358579443734,-0.2443675448134388,False,True,False,0.09826734354918287,0.012245219542737218,True
C168,u56,10.0,SIZE n>=10,44,88,0.5@0.27,10,1.1329235466264036,0.1887653426271653,-0.2052105072071064,False,False,False,0.1511029508355426,-0.0377818595636179,True
C168,u56,25.0,SIZE n>=10,44,88,0.5@0.27,10,1.0040050178268622,0.1638422031840909,-0.2065065437959433,False,False,False,0.1693903842803577,-0.04429685224460139,True
