cell,screen,admitted,pick,OOS_MaxDD,OOS_CAGR,OOS_Sharpe,pass4b_oos,SPY_OOS
broad136@10,WITH-DD,9,b0-g1.00-M,-0.16079842380916232,0.11120714740818793,1.153163659707186,True,
broad136@10,NO-DD,10,control,-0.32721478414341376,0.1859250895188882,1.100579361004539,False,15.45%/0.882/-33.72%
broad136@25,WITH-DD,6,b0-g1.00-M,-0.1614462614161325,0.1074864440112917,1.1182038615735042,False,
broad136@25,NO-DD,7,control,-0.32744194874295707,0.18380555262326337,1.0898873739634305,False,15.45%/0.882/-33.72%
small439@10,WITH-DD,0,(empty -> control),-0.46032779538269886,0.12875683745266375,0.6351153641844328,False,
small439@10,NO-DD,0,(empty -> control),-0.46032779538269886,0.12875683745266375,0.6351153641844328,False,15.45%/0.882/-33.72%
small439@25,WITH-DD,0,(empty -> control),-0.46325812156279356,0.12456085057054156,0.6191913543087515,False,
small439@25,NO-DD,0,(empty -> control),-0.46325812156279356,0.12456085057054156,0.6191913543087515,False,15.45%/0.882/-33.72%
u56@10,WITH-DD,5,b0-g1.00-M,-0.1548552184608344,0.12716614144811866,1.275009964240691,True,
u56@10,NO-DD,6,b0-g1.00-M,-0.1548552184608344,0.12716614144811866,1.275009964240691,True,15.45%/0.882/-33.72%
u56@25,WITH-DD,3,b0-g1.00-M,-0.15543036010687616,0.1236668930493312,1.2434241557353332,True,
u56@25,NO-DD,4,b0-g1.00-M,-0.15543036010687616,0.1236668930493312,1.2434241557353332,True,15.45%/0.882/-33.72%
