book,lag,bps,B136,u56,cross
band0-F-dg,1d,5,0.0,0.0,0
band0-F-dg,1d,10,0.0,0.0,0
band0-F-dg,1d,15,0.0,0.0,0
band0-F-dg,1d,20,0.0,0.0,0
band0-F-dg,1d,25,0.0,0.0,0
band0-F-dg,1w,5,0.0,0.0,0
band0-F-dg,1w,10,0.0,0.0,0
band0-F-dg,1w,15,0.0,0.0,0
band0-F-dg,1w,20,0.0,0.0,0
band0-F-dg,1w,25,0.0,0.0,0
band0-F-rw,1d,5,1.0,1.0,1
band0-F-rw,1d,10,1.0,0.0,0
band0-F-rw,1d,15,0.0,0.0,0
band0-F-rw,1d,20,0.0,0.0,0
band0-F-rw,1d,25,0.0,0.0,0
band0-F-rw,1w,5,1.0,1.0,1
band0-F-rw,1w,10,0.0,0.0,0
band0-F-rw,1w,15,0.0,0.0,0
band0-F-rw,1w,20,0.0,0.0,0
band0-F-rw,1w,25,0.0,0.0,0
band0-T-dg,1d,5,0.0,0.0,0
band0-T-dg,1d,10,0.0,0.0,0
band0-T-dg,1d,15,0.0,0.0,0
band0-T-dg,1d,20,0.0,0.0,0
band0-T-dg,1d,25,0.0,0.0,0
band0-T-dg,1w,5,0.0,0.0,0
band0-T-dg,1w,10,0.0,0.0,0
band0-T-dg,1w,15,0.0,0.0,0
band0-T-dg,1w,20,0.0,0.0,0
band0-T-dg,1w,25,0.0,0.0,0
band0-T-rw,1d,5,1.0,1.0,1
band0-T-rw,1d,10,1.0,1.0,1
band0-T-rw,1d,15,1.0,1.0,1
band0-T-rw,1d,20,0.0,1.0,0
band0-T-rw,1d,25,0.0,0.0,0
band0-T-rw,1w,5,0.0,1.0,0
band0-T-rw,1w,10,0.0,1.0,0
band0-T-rw,1w,15,0.0,1.0,0
band0-T-rw,1w,20,0.0,1.0,0
band0-T-rw,1w,25,0.0,0.0,0
band3-F-dg,1d,5,0.0,0.0,0
band3-F-dg,1d,10,0.0,0.0,0
band3-F-dg,1d,15,0.0,0.0,0
band3-F-dg,1d,20,0.0,0.0,0
band3-F-dg,1d,25,0.0,0.0,0
band3-F-dg,1w,5,0.0,0.0,0
band3-F-dg,1w,10,0.0,0.0,0
band3-F-dg,1w,15,0.0,0.0,0
band3-F-dg,1w,20,0.0,0.0,0
band3-F-dg,1w,25,0.0,0.0,0
band3-F-rw,1d,5,1.0,1.0,1
band3-F-rw,1d,10,1.0,1.0,1
band3-F-rw,1d,15,1.0,1.0,1
band3-F-rw,1d,20,0.0,1.0,0
band3-F-rw,1d,25,0.0,0.0,0
band3-F-rw,1w,5,0.0,1.0,0
band3-F-rw,1w,10,0.0,1.0,0
band3-F-rw,1w,15,0.0,1.0,0
band3-F-rw,1w,20,0.0,0.0,0
band3-F-rw,1w,25,0.0,0.0,0
band3-T-dg,1d,5,0.0,0.0,0
band3-T-dg,1d,10,0.0,0.0,0
band3-T-dg,1d,15,0.0,0.0,0
band3-T-dg,1d,20,0.0,0.0,0
band3-T-dg,1d,25,0.0,0.0,0
band3-T-dg,1w,5,0.0,0.0,0
band3-T-dg,1w,10,0.0,0.0,0
band3-T-dg,1w,15,0.0,0.0,0
band3-T-dg,1w,20,0.0,0.0,0
band3-T-dg,1w,25,0.0,0.0,0
band3-T-rw,1d,5,1.0,1.0,1
band3-T-rw,1d,10,1.0,1.0,1
band3-T-rw,1d,15,1.0,1.0,1
band3-T-rw,1d,20,1.0,1.0,1
band3-T-rw,1d,25,1.0,1.0,1
band3-T-rw,1w,5,0.0,1.0,0
band3-T-rw,1w,10,0.0,1.0,0
band3-T-rw,1w,15,0.0,1.0,0
band3-T-rw,1w,20,0.0,1.0,0
band3-T-rw,1w,25,0.0,1.0,0
band6-F-dg,1d,5,0.0,0.0,0
band6-F-dg,1d,10,0.0,0.0,0
band6-F-dg,1d,15,0.0,0.0,0
band6-F-dg,1d,20,0.0,0.0,0
band6-F-dg,1d,25,0.0,0.0,0
band6-F-dg,1w,5,0.0,0.0,0
band6-F-dg,1w,10,0.0,0.0,0
band6-F-dg,1w,15,0.0,0.0,0
band6-F-dg,1w,20,0.0,0.0,0
band6-F-dg,1w,25,0.0,0.0,0
band6-F-rw,1d,5,1.0,1.0,1
band6-F-rw,1d,10,1.0,1.0,1
band6-F-rw,1d,15,1.0,1.0,1
band6-F-rw,1d,20,1.0,1.0,1
band6-F-rw,1d,25,0.0,1.0,0
band6-F-rw,1w,5,0.0,1.0,0
band6-F-rw,1w,10,0.0,1.0,0
band6-F-rw,1w,15,0.0,1.0,0
band6-F-rw,1w,20,0.0,1.0,0
band6-F-rw,1w,25,0.0,1.0,0
band6-T-dg,1d,5,0.0,0.0,0
band6-T-dg,1d,10,0.0,0.0,0
band6-T-dg,1d,15,0.0,0.0,0
band6-T-dg,1d,20,0.0,0.0,0
band6-T-dg,1d,25,0.0,0.0,0
band6-T-dg,1w,5,0.0,0.0,0
band6-T-dg,1w,10,0.0,0.0,0
band6-T-dg,1w,15,0.0,0.0,0
band6-T-dg,1w,20,0.0,0.0,0
band6-T-dg,1w,25,0.0,0.0,0
band6-T-rw,1d,5,1.0,1.0,1
band6-T-rw,1d,10,0.0,1.0,0
band6-T-rw,1d,15,0.0,1.0,0
band6-T-rw,1d,20,0.0,1.0,0
band6-T-rw,1d,25,0.0,1.0,0
band6-T-rw,1w,5,0.0,0.0,0
band6-T-rw,1w,10,0.0,0.0,0
band6-T-rw,1w,15,0.0,0.0,0
band6-T-rw,1w,20,0.0,0.0,0
band6-T-rw,1w,25,0.0,0.0,0
