dropped,n,min_d,mean_d,n_neg,crossing,last_neg
[none],560,-0.0035871616377810838,-0.0014045706414116065,5,0.425,0.4
GROSS,480,-0.003735969105095383,-0.0014638931561672286,5,0.425,0.4
N,480,-0.002971008223413209,-0.0013750021444226682,6,0.45,0.425
BAND,480,-0.0035871616377810838,-0.001797414198422839,6,0.45,0.425
BAND+,480,-0.008066755611694232,-0.003209518466091733,5,0.425,0.4
CADENCE,480,-0.0035871616377810838,-0.0014045706414116065,5,0.9,0.875
SLEEVE,480,-0.0035871616377810838,-0.0013914437750993886,5,0.425,0.4
SLEEVE+,480,-0.0019327274134863027,0.0003924666185238015,4,0.4,0.375
