scope,norm,q,tau,incumbent,n,mean,t,p,W,L,Z,abstain,sel_mean,argmax_mean,inc_mean
LIVE/all,raw,0.0,0.0009133966158880735,ctl,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.0,0.0009133966158880735,med,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.0,0.0009133966158880735,mean,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.1,0.0034325720780703506,ctl,1200,-0.0109306518424782,-10.688222580070496,0.0,0,105,1095,0.09166666666666666,0.9727412189928608,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.1,0.0034325720780703506,med,1200,-0.0030274151278453596,-5.785411511482328,7.23350312981097e-09,40,70,1090,0.09166666666666666,0.9806444557074936,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.1,0.0034325720780703506,mean,1200,-0.0029325501914213895,-7.983226470173916,1.3322676295501878e-15,5,105,1090,0.09166666666666666,0.9807393206439177,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.2,0.013746107754145198,ctl,1200,-0.02168376142136089,-15.945801104229746,0.0,0,211,989,0.1975,0.9619881094139783,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.2,0.013746107754145198,med,1200,-0.005180704871038199,-6.35594914457484,2.071436355777223e-10,98,139,963,0.1975,0.9784911659643009,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.2,0.013746107754145198,mean,1200,-0.00500792029755257,-8.486951388295758,0.0,26,211,963,0.1975,0.9786639505377867,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.3,0.018627048795337497,ctl,1200,-0.02443333304595677,-17.02892480640572,0.0,0,235,965,0.295,0.9592385377893823,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.3,0.018627048795337497,med,1200,-0.005549670343970732,-5.802107681481176,6.548648290305437e-09,141,213,846,0.295,0.9781222004913684,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.3,0.018627048795337497,mean,1200,-0.005128456929209346,-7.082378803821796,1.4170886686315498e-12,58,296,846,0.295,0.9785434139061299,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.4,0.022119872302339028,ctl,1200,-0.028346873599485428,-18.541651673767994,0.0,0,269,931,0.3983333333333333,0.9553249972358537,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.4,0.022119872302339028,med,1200,-0.008339277960884222,-7.737664756123989,1.021405182655144e-14,170,308,722,0.3983333333333333,0.9753325928744548,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.4,0.022119872302339028,mean,1200,-0.007155699395625611,-8.822510833471137,0.0,76,402,722,0.3983333333333333,0.9765161714397134,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.5,0.0319305741400111,ctl,1200,-0.03286583717444579,-20.26342490476548,0.0,0,308,892,0.4725,0.9508060336608933,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.5,0.0319305741400111,med,1200,-0.010284140028000564,-9.001154824971055,0.0,196,371,633,0.4725,0.9733877308073385,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.5,0.0319305741400111,mean,1200,-0.009145406332203404,-10.605038933006405,0.0,84,483,633,0.4725,0.9745264645031356,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.6,0.035016835336478036,ctl,1200,-0.03286583717444579,-20.26342490476548,0.0,0,308,892,0.5875,0.9508060336608933,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.6,0.035016835336478036,med,1200,-0.012461735232428292,-10.407378315184319,0.0,234,471,495,0.5875,0.9712101356029107,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.6,0.035016835336478036,mean,1200,-0.011046112914924345,-11.841544888142316,0.0,153,552,495,0.5875,0.9726257579204146,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.7,0.0381236739944969,ctl,1200,-0.03286583717444579,-20.26342490476548,0.0,0,308,892,0.6883333333333334,0.9508060336608933,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.7,0.0381236739944969,med,1200,-0.014070638500763302,-11.417193831952103,0.0,270,556,374,0.6883333333333334,0.9696012323345758,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.7,0.0381236739944969,mean,1200,-0.012310198524725173,-12.586819650527032,0.0,226,600,374,0.6883333333333334,0.9713616723106138,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.8,0.050991154336702094,ctl,1200,-0.03286583717444579,-20.26342490476548,0.0,0,308,892,0.7983333333333333,0.9508060336608933,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.8,0.050991154336702094,med,1200,-0.017776227589629347,-13.769403935456575,0.0,296,662,242,0.7983333333333333,0.9658956432457095,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.8,0.050991154336702094,mean,1200,-0.01597114519537991,-15.368183380335456,0.0,267,691,242,0.7983333333333333,0.9677007256399592,0.983671870835339,0.9641331450763998
LIVE/all,raw,0.9,0.054270970110401606,ctl,1200,-0.03286583717444579,-20.26342490476548,0.0,0,308,892,0.865,0.9508060336608933,0.983671870835339,0.9508060336608933
LIVE/all,raw,0.9,0.054270970110401606,med,1200,-0.01865670048888533,-14.39898476462778,0.0,319,719,162,0.865,0.9650151703464538,0.983671870835339,0.9622818492039681
LIVE/all,raw,0.9,0.054270970110401606,mean,1200,-0.016876952374133985,-16.178098049854857,0.0,276,762,162,0.865,0.9667949184612049,0.983671870835339,0.9641331450763998
LIVE/all,z,0.0,0.020658310025207172,ctl,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9508060336608933
LIVE/all,z,0.0,0.020658310025207172,med,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9622818492039681
LIVE/all,z,0.0,0.020658310025207172,mean,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9641331450763998
LIVE/all,z,0.1,0.09376995658325675,ctl,1200,-0.0118630597030998,-11.236793392570847,0.0,0,115,1085,0.1,0.9718088111322393,0.983671870835339,0.9508060336608933
LIVE/all,z,0.1,0.09376995658325675,med,1200,-0.00358750213350132,-6.536837042820524,6.283329412326566e-11,40,80,1080,0.1,0.9800843687018376,0.983671870835339,0.9622818492039681
LIVE/all,z,0.1,0.09376995658325675,mean,1200,-0.0033171526925896986,-8.639850348904657,0.0,5,115,1080,0.1,0.9803547181427493,0.983671870835339,0.9641331450763998
LIVE/all,z,0.2,0.18030965896429754,ctl,1200,-0.020375745404994674,-15.344912844196871,0.0,0,198,1002,0.2,0.9632961254303445,0.983671870835339,0.9508060336608933
LIVE/all,z,0.2,0.18030965896429754,med,1200,-0.00629102593925068,-8.584960308488366,0.0,82,158,960,0.2,0.9773808448960882,0.983671870835339,0.9622818492039681
LIVE/all,z,0.2,0.18030965896429754,mean,1200,-0.006274821727679386,-12.033329494056048,0.0,12,228,960,0.2,0.9773970491076597,0.983671870835339,0.9641331450763998
LIVE/all,z,0.3,0.26360801198361805,ctl,1200,-0.02147810879544114,-15.853801211495771,0.0,0,209,991,0.3,0.9621937620398978,0.983671870835339,0.9508060336608933
LIVE/all,z,0.3,0.26360801198361805,med,1200,-0.00955364101411398,-11.60420689354644,0.0,91,269,840,0.3,0.9741182298212251,0.983671870835339,0.9622818492039681
LIVE/all,z,0.3,0.26360801198361805,mean,1200,-0.008994369953946578,-15.130183780334296,0.0,17,343,840,0.3,0.9746775008813923,0.983671870835339,0.9641331450763998
