panel,book,dial,nat_turn,nat_Sharpe,n_cut,max_cut,rate,worst,best
broad,TOP20,CADENCE,13.17849676626013,1.0626176240617733,7,11.111525905251426,0.004850887376801791,0.008245007365490498,0.04441862471892177
broad,TOP20,LAMBDA,13.17849676626013,1.0626176240617733,7,7.934193577813484,0.0035645387828464707,0.010856995785356816,0.03991221651688592
broad,V1u,CADENCE,29.426485585691044,0.9070846984521621,7,26.615526711993535,-0.005278096546767399,-0.13330686155096994,-0.01271397672546526
broad,V1u,LAMBDA,29.426485585691044,0.9070846984521621,7,18.862816169330916,-0.00012869776298856829,0.026962687478390035,0.07034136234532584
broad,V2,CADENCE,2.0110891272076903,1.1336371255164472,7,1.4106995978987493,-0.0652882201665348,-0.10376167779217882,-0.023642603612112456
broad,V2,LAMBDA,2.0110891272076903,1.1336371255164472,3,0.15104540567148583,-0.0075973785552735035,-0.006625341270929841,-0.0008486497996749165
small,TOP20,CADENCE,16.307126883980246,0.8557448088659707,7,13.77555662927621,-0.01753210014639704,-0.24173861678727948,-0.062349701244792666
small,TOP20,LAMBDA,16.307126883980246,0.8557448088659707,7,9.38522377171441,-0.009678685930244619,-0.07923856304404009,-0.0019037110132218427
small,V1u,CADENCE,32.51056476277066,0.6039343649976199,7,29.76026976324305,-0.012625397667885006,-0.38025003859631634,-0.13865789560123964
small,V1u,LAMBDA,32.51056476277066,0.6039343649976199,7,20.85492666077738,-0.0011836463474379133,-0.07490691191063781,-0.027334109795630668
small,V2,CADENCE,2.8204802214539417,0.6544248056271625,7,2.1239991076945053,-0.02988904842011847,-0.05171767613611855,0.009112772931601065
small,V2,LAMBDA,2.8204802214539417,0.6544248056271625,7,0.7900913637107032,0.0649723260567115,0.010474316850819232,0.05980892325065923
u56,TOP20,CADENCE,9.051262945754825,1.2395791568968026,7,7.565207608817255,-0.015501775132873652,-0.08200972631395964,-0.022750855652944102
u56,TOP20,LAMBDA,9.051262945754825,1.2395791568968026,7,5.271454756182649,-0.00862757221342553,-0.038713999877343364,0.005245222866559596
u56,V1u,CADENCE,23.276245930285942,0.8898010825512115,7,20.742384984616493,-0.007747236037410281,-0.09426555122304492,0.027562244939989267
u56,V1u,LAMBDA,23.276245930285942,0.8898010825512115,7,14.810331362185181,0.0024939989630133738,0.00041829642762203356,0.03772659286058633
u56,V2,CADENCE,1.7749433117431328,1.2271748845796517,7,1.1894512400475934,-0.15903830699700067,-0.16932501797709265,-0.01548045184123481
u56,V2,LAMBDA,1.7749433117431328,1.2271748845796517,0,0.0,,,
