panel,book,cost,dial,res,pts,window_w,window_contig,window_lo,window_hi,n_new_passers,new_passer_vals,best_mmin,best_mmin_val,bind_at_best,PUB_window_w,PUB_best_mmin,PUB_bind_at_best,PUB_best_val,n_pass4a_v2,exhausted
broad,EWall,10.0,K,PUB,6,0,False,,,0,,-0.027102208981639994,300.0,CAGR,0,-0.027102208981639994,CAGR,300.0,0,False
broad,EWall,10.0,K,x2,11,0,False,,,0,,-0.027102208981639994,300.0,CAGR,0,-0.027102208981639994,CAGR,300.0,0,False
broad,EWall,10.0,K,x4,21,0,False,,,0,,-0.02708654733046538,288.0,CAGR,0,-0.027102208981639994,CAGR,300.0,0,False
broad,EWall,10.0,band,PUB,5,0,False,,,0,,-0.020881986624004242,8.0,CAGR,0,-0.020881986624004242,CAGR,8.0,0,False
broad,EWall,10.0,band,x2,9,0,False,,,0,,-0.020881986624004242,8.0,CAGR,0,-0.020881986624004242,CAGR,8.0,0,False
broad,EWall,10.0,band,x4,17,0,False,,,0,,-0.020881986624004242,8.0,CAGR,0,-0.020881986624004242,CAGR,8.0,1,False
broad,EWall,10.0,f,PUB,13,4,True,0.2,0.35,0,,0.012727276648958744,0.25,CAGR,4,0.012727276648958744,CAGR,0.25,2,False
broad,EWall,10.0,f,x2,25,8,True,0.2,0.375,4,0.225;0.275;0.325;0.375,0.012727276648958744,0.25,CAGR,4,0.012727276648958744,CAGR,0.25,4,False
broad,EWall,10.0,f,x4,49,16,True,0.1875,0.375,12,0.1875;0.2125;0.225;0.2375;0.2625;0.275;0.2875;0.3125;0.325;0.3375;0.3625;0.375,0.013900377059164096,0.2375,CAGR,4,0.012727276648958744,CAGR,0.25,8,False
broad,EWall,10.0,gross,PUB,19,0,False,,,0,,-0.0007046537580377848,0.75,CAGR,0,-0.0007046537580377848,CAGR,0.75,0,False
broad,EWall,10.0,gross,x2,37,1,True,0.775,0.775,1,0.775,0.0012198484404143672,0.775,DD,0,-0.0007046537580377848,CAGR,0.75,0,False
broad,EWall,10.0,gross,x4,73,2,True,0.7625,0.775,2,0.7625;0.775,0.0012198484404143672,0.775,DD,0,-0.0007046537580377848,CAGR,0.75,0,False
broad,EWall,10.0,vol,PUB,7,2,True,0.5,0.6,0,,0.015333356720116181,0.6,DD,2,0.015333356720116181,DD,0.6,0,False
broad,EWall,10.0,vol,x2,13,5,True,0.45,0.7,3,0.45;0.55;0.7,0.01562672251154691,0.55,CAGR,2,0.015333356720116181,DD,0.6,1,False
