N,gross,dd_range_H,dd_range_ens,dd_ratio,turn_range_H,turn_range_ens,turn_ratio,rho_H_dd,rho_H_turn,robust_any,robust_all
10,0.55,9.869590075242662,1.7003192705590586,5.804551089982988,8.936041218325975,0.12030437983572329,74.2786025789603,-0.880952380952381,-1.0,True,False
10,0.65,11.381544783850462,1.9485838834903513,5.840931396529648,10.561124233202797,0.1382373991695265,76.39845871413738,-0.880952380952381,-1.0,True,False
15,0.55,5.542702003115984,2.179378937710386,2.543248403115725,7.368034819690523,0.08804536031724597,83.68453253120826,-0.5952380952380953,-1.0,True,False
15,0.65,6.35049982235455,2.5327322174850453,2.5073712011530676,8.706906124907546,0.0991263348860878,87.83645773762532,-0.5952380952380953,-1.0,True,False
20,0.55,5.717389313801879,2.6022317302267783,2.197109983476999,6.322176935954495,0.050966235277818406,124.04637897015795,-0.5714285714285715,-1.0,True,False
20,0.65,6.564175342107726,2.97852635578002,2.203833224228325,7.471662234035557,0.05813892729046355,128.51393347364225,-0.5714285714285715,-1.0,True,False
