claim_set,rule,newly_resolved,med_stated_N,med_K,med_NeffPR,med_Neff_B_TIGHT,med_Neff_B_MID,med_Neff_B_LOOSE
CS_STRICT,R_STRICT,621,54.0,10.0,1.1295235349406152,4.0,3.0,2.0
CS_STRICT,R_LADDER,1273,48.0,13.0,1.1085217115533998,8.0,5.0,3.0
CS_STRICT,R_ANY,1402,48.0,14.0,1.1085217115533998,8.0,5.0,3.0
CS_STRICT,R_UNION,1434,48.0,17.0,1.1085217115533998,8.0,5.0,3.0
CS_PROX,R_STRICT,1368,51.0,10.0,1.1295235349406152,4.0,3.0,2.0
CS_PROX,R_LADDER,2884,44.0,13.0,1.1085217115533998,8.0,5.0,3.0
CS_PROX,R_ANY,3191,44.0,14.0,1.1085217115533998,8.0,5.0,3.0
CS_PROX,R_UNION,3255,44.0,18.0,1.1085217115533998,8.0,5.0,3.0
CS_ALL,R_STRICT,4422,51.0,10.0,1.1295235349406152,4.0,3.0,2.0
CS_ALL,R_LADDER,9100,44.0,13.0,1.1085217115533998,8.0,5.0,3.0
CS_ALL,R_ANY,10172,44.0,14.0,1.1085217115533998,8.0,5.0,3.0
CS_ALL,R_UNION,10351,44.0,18.0,1.1085217115533998,8.0,5.0,3.0
