panel,book,grid,gridkind,n_phases,i,j,sep,sep_lin,TE_pp,dCAGR_pp
U56,TOP05,W,CAL,5,0,1,1,1,5.3493847504443055,1.4855365933976756
U56,TOP05,W,CAL,5,0,2,2,2,5.666131846211101,0.2608472431424822
U56,TOP05,W,CAL,5,0,3,2,3,6.049323158251254,2.094275483896311
U56,TOP05,W,CAL,5,0,4,1,4,5.176282992764184,2.4007984392400132
U56,TOP05,W,CAL,5,1,2,1,1,5.333582690922776,1.2246893502551934
U56,TOP05,W,CAL,5,1,3,2,2,6.152759622435392,3.5798120772939868
U56,TOP05,W,CAL,5,1,4,2,3,6.076113508320099,0.9152618458423376
U56,TOP05,W,CAL,5,2,3,1,1,5.550710036098875,2.3551227270387933
U56,TOP05,W,CAL,5,2,4,2,2,5.971619966918626,2.139951196097531
U56,TOP05,W,CAL,5,3,4,1,1,5.272806546161557,4.495073923136324
U56,TOP10,W,CAL,5,0,1,1,1,3.310885218162781,0.41371015092479446
U56,TOP10,W,CAL,5,0,2,2,2,3.8416817902712737,1.4264536250645712
U56,TOP10,W,CAL,5,0,3,2,3,4.048628778049462,1.93273132611289
U56,TOP10,W,CAL,5,0,4,1,4,3.276689997344025,0.7655533315503504
U56,TOP10,W,CAL,5,1,2,1,1,3.446293856198247,1.0127434741397767
U56,TOP10,W,CAL,5,1,3,2,2,4.019574109865321,1.5190211751880955
U56,TOP10,W,CAL,5,1,4,2,3,3.773378193859206,0.351843180625556
U56,TOP10,W,CAL,5,2,3,1,1,3.729487116822135,0.5062777010483188
U56,TOP10,W,CAL,5,2,4,2,2,3.736782117895914,0.6609002935142207
U56,TOP10,W,CAL,5,3,4,1,1,3.2188654589733803,1.1671779945625396
U56,TOP20,W,CAL,5,0,1,1,1,2.13502105585654,0.04880082867653357
U56,TOP20,W,CAL,5,0,2,2,2,2.817762282023475,1.1347969632721657
U56,TOP20,W,CAL,5,0,3,2,3,2.6349504825965346,0.9251160234788003
U56,TOP20,W,CAL,5,0,4,1,4,2.4464259921550635,0.6154059628695094
U56,TOP20,W,CAL,5,1,2,1,1,2.3330003904897803,1.1835977919486993
U56,TOP20,W,CAL,5,1,3,2,2,2.745764404991754,0.9739168521553339
U56,TOP20,W,CAL,5,1,4,2,3,2.5089398199720456,0.5666051341929759
U56,TOP20,W,CAL,5,2,3,1,1,2.8605627572791383,0.20968093979336544
U56,TOP20,W,CAL,5,2,4,2,2,2.4247861366134944,1.7502029261416752
U56,TOP20,W,CAL,5,3,4,1,1,2.520889425963658,1.5405219863483097
U56,EWELIG,W,CAL,5,0,1,1,1,1.7615187202722142,0.5877703606790963
U56,EWELIG,W,CAL,5,0,2,2,2,2.080063516049942,1.1475253886324754
U56,EWELIG,W,CAL,5,0,3,2,3,2.6316466954404683,0.3567266296266247
U56,EWELIG,W,CAL,5,0,4,1,4,1.8944090318107638,0.05962560307199993
U56,EWELIG,W,CAL,5,1,2,1,1,1.6940096523256492,0.5597550279533792
U56,EWELIG,W,CAL,5,1,3,2,2,2.3305410170531347,0.23104373105247156
U56,EWELIG,W,CAL,5,1,4,2,3,1.9114787821607977,0.5281447576070963
U56,EWELIG,W,CAL,5,2,3,1,1,1.8938241451964315,0.7907987590058507
U56,EWELIG,W,CAL,5,2,4,2,2,1.9035682207807991,1.0878997855604755
U56,EWELIG,W,CAL,5,3,4,1,1,2.108530382545591,0.2971010265546248
U56,BAND03,W,CAL,5,0,1,1,1,0.7464652157446522,0.27646381926156494
U56,BAND03,W,CAL,5,0,2,2,2,0.9696473583497484,0.12921030981880577
U56,BAND03,W,CAL,5,0,3,2,3,0.8529659651642975,0.12061589548344287
U56,BAND03,W,CAL,5,0,4,1,4,0.781680300084012,0.11126009140751769
U56,BAND03,W,CAL,5,1,2,1,1,0.890622420933568,0.4056741290803707
U56,BAND03,W,CAL,5,1,3,2,2,0.9668180794519535,0.3970797147450078
U56,BAND03,W,CAL,5,1,4,2,3,0.9335718357088078,0.16520372785404724
U56,BAND03,W,CAL,5,2,3,1,1,0.7529635136059404,0.008594414335362899
U56,BAND03,W,CAL,5,2,4,2,2,0.832224904017685,0.24047040122632346
U56,BAND03,W,CAL,5,3,4,1,1,0.5380445715337228,0.23187598689096056
U56,TOP05,M,CAL,21,0,1,1,1,4.827471295135461,3.4748368480873584
U56,TOP05,M,CAL,21,0,2,2,2,5.726657082772939,5.010565821953252
U56,TOP05,M,CAL,21,0,3,3,3,6.516604956051733,4.448534008499271
U56,TOP05,M,CAL,21,0,4,4,4,7.796128793306393,6.724029021823364
U56,TOP05,M,CAL,21,0,5,5,5,7.8997102942555175,6.731295153030169
U56,TOP05,M,CAL,21,0,6,6,6,8.606293237619736,8.418415012818192
U56,TOP05,M,CAL,21,0,7,7,7,8.482965591017388,6.89843286540186
U56,TOP05,M,CAL,21,0,8,8,8,8.610602253095498,5.006578744374734
U56,TOP05,M,CAL,21,0,9,9,9,8.97600607307001,3.556774060393588
U56,TOP05,M,CAL,21,0,10,10,10,9.186015837625881,2.2967842486003374
U56,TOP05,M,CAL,21,0,11,10,11,9.298193889206283,4.175313825861695
U56,TOP05,M,CAL,21,0,12,9,12,10.371926123832068,5.583572435077189
U56,TOP05,M,CAL,21,0,13,8,13,9.630242378063464,4.6862974127069865
U56,TOP05,M,CAL,21,0,14,7,14,10.12192530225408,5.567187733623525
U56,TOP05,M,CAL,21,0,15,6,15,9.060804549446837,4.085457975882223
U56,TOP05,M,CAL,21,0,16,5,16,8.908153300111879,4.398501992170557
U56,TOP05,M,CAL,21,0,17,4,17,8.44747161853924,2.7402307352681685
U56,TOP05,M,CAL,21,0,18,3,18,6.90203545484442,1.6252675290845833
