H,k,block_days,n_blocks,committed,got,diff,verdict
756,2,378,4224,0.9858,0.9857954545454546,-4.545454545423766e-06,PASS
756,3,252,6336,0.9908,0.9908459595959596,4.59595959595438e-05,PASS
756,4,189,8448,0.9821,0.982125946969697,2.5946969697043798e-05,PASS
1260,2,630,3648,0.9649,0.9649122807017544,1.2280701754407986e-05,PASS
1260,3,420,5472,0.9845,0.9844663742690059,-3.3625730994191194e-05,PASS
1260,4,315,7296,0.9888,0.9887609649122807,-3.903508771929687e-05,PASS
