channel,label,d,drift4av1_med,drift4b_med,drift4av1_p90,drift4b_p90
R,2026-09-03_fb20817,7,1.668383019071129e-06,0.001158334362419626,2.7234285989496953e-06,0.005538020084847488
R,2026-09-03_0ede228,7,1.6555756570668656e-06,0.00010546235932836975,2.9459767613843066e-06,0.0015987786845667116
R,2026-09-04_c006b43,6,1.3153980260305342e-06,1.924752280238473e-06,3.2328620584110018e-06,4.815978850244984e-06
R,2026-09-04_50585c8,6,2.7900848503792375e-06,2.262139699199528e-06,4.007058860688862e-06,1.2432221807118226e-05
R,2026-09-07_f138ee9,3,7.11299425693035e-07,1.299661891218662e-06,2.266424288962371e-06,3.8109970055801016e-06
R,2026-09-08_9ee888f,2,1.8965317792885017e-06,1.8070080413483403e-06,3.115516466734027e-06,3.2446636768101997e-06
R,2026-09-09_7a93b07,1,9.561616727826738e-07,1.8205075732573295e-06,2.2690642071387934e-06,5.3185467535216135e-06
E,k=1,1,0.0,0.0007331079845425623,0.0,0.0045860227699398015
E,k=2,3,0.0,0.0013498250519619337,0.0,0.008717026107743584
E,k=3,4,0.0,0.0024130675838218846,0.0,0.015411329891660896
E,k=5,7,0.0,0.0010866921764161735,0.0,0.010990237386499934
E,k=10,14,0.0,0.0009197731677761112,0.0,0.01754755560950414
E,k=21,30,0.0,0.0021280468342843584,0.0,0.019599337595791216
E,k=42,61,0.0,0.001523350070208887,0.0,0.02183593349495888
E,k=63,91,0.0,0.00790301493300688,0.0,0.04377334857907217
E,k=126,182,0.0,0.026362619567403767,7.827936297021946e-05,0.1287038497433441
E,k=252,365,0.0,0.006704919502827859,0.0,0.08921164869893311
