panel,arm,gross,cost,sched,window,CAGR,Sharpe,MaxDD,H1,H2,spy_CAGR,spy_Sharpe,spy_MaxDD,L1_H1,L2_H2,L3_OOS,L4_DDcap,L5_CAGRfloor,pass4b,pass4a,mg_H1,mg_H2,mg_DD,mg_CAGR
U56,EWELIG,0.75,10.0,shift0,FULL,0.10356166800306199,1.0449824470869484,-0.158746990312857,1.0736514045034153,1.022189008399874,0.15130245537273979,0.8845060132920908,-0.33717267708462395,True,True,True,True,False,False,False,0.1148050061514101,0.19855639553165438,0.043556615937917376,-0.002350050757855854
U56,EWELIG,0.75,10.0,shift0,IS,0.09295495946011423,0.9696550391046768,-0.1120332773236773,0.83006824812557,1.1313806485992295,0.14958794806217557,0.8986386739891564,-0.22062101823395863,False,True,True,True,False,False,False,-0.007685167164369733,0.0710697397774851,0.020339333616697874,-0.011756604183408667
U56,EWELIG,0.75,10.0,shift0,OOS,0.11237410933899694,1.1045205259771187,-0.158746990312857,1.2688137823057253,0.9368109170287793,0.15271636385461385,0.8739575612872552,-0.33717267708462373,True,True,True,True,True,True,False,0.28860450751678113,0.17754662383122166,0.04355661593791724,0.005472654640767252
U56,EWELIG,0.75,10.0,shift1,FULL,0.10335742775955592,1.0484217767507562,-0.17573843381623677,1.0729654283433872,1.0291795526240817,0.15130245537273979,0.8845060132920908,-0.33717267708462395,True,True,True,True,False,False,False,0.1141190299913819,0.20554693975586213,0.0265651724345376,-0.0025542910013619247
U56,EWELIG,0.75,10.0,shift1,IS,0.09179646590849866,0.962777531143986,-0.12843898732609038,0.8037358271762781,1.1472717033692743,0.14958794806217557,0.8986386739891564,-0.22062101823395863,False,True,True,True,False,False,False,-0.03401758811366162,0.08696079454752992,0.003933623614284787,-0.012915097735024236
U56,EWELIG,0.75,10.0,shift1,OOS,0.11297036536971716,1.116148220487359,-0.175738433816237,1.2172983880383375,1.015322829632305,0.15271636385461385,0.8739575612872552,-0.33717267708462373,True,True,True,True,True,True,False,0.2370891132493933,0.2560585364347473,0.026565172434537238,0.0060689106714874735
U56,EWELIG,0.75,10.0,shift2,FULL,0.1080454898593457,1.0777818389538603,-0.17408075297420456,1.1522153036523048,1.016467600523514,0.15130245537273979,0.8845060132920908,-0.33717267708462395,True,True,True,True,True,True,False,0.1933689053002996,0.1928349876552945,0.028222853276569815,0.0021337710984278557
U56,EWELIG,0.75,10.0,shift2,IS,0.10112089315148998,1.0488287954036177,-0.10556489335140073,0.9041372705048865,1.2214213908099472,0.14958794806217557,0.8986386739891564,-0.22062101823395863,True,True,True,True,False,False,False,0.06638385521494672,0.16111048198820277,0.026807717588974433,-0.0035906704920329185
U56,EWELIG,0.75,10.0,shift2,OOS,0.11378095297422663,1.10091562741198,-0.17408075297420456,1.3022044274152031,0.8945639989082563,0.15271636385461385,0.8739575612872552,-0.33717267708462373,True,True,True,True,True,True,False,0.321995152626259,0.13529970571069871,0.028222853276569676,0.006879498275996945
U56,EWELIG,0.75,10.0,shift3,FULL,0.11251420372178011,1.1265567716471951,-0.16583024828288784,1.1132783347002533,1.1414045860859758,0.15130245537273979,0.8845060132920908,-0.33717267708462395,True,True,True,True,True,True,False,0.15443193634824803,0.3177719732177563,0.03647335796788653,0.0066024849608622704
