est,family,d,t,win,loss,sign_p,M,sixW,n
PH0,ALL,-0.023825427663413733,-1.8556683601998039,31,84,8.02856176220707e-07,0.7558913233285968,0.7797167509920105,115
PH0,SMALL,0.0815169981532328,3.778284983584566,31,18,0.08543313315739454,0.3030347243140429,0.22151772616081009,49
PH0,U56,-0.11710410144441757,-13.986667055047974,0,33,2.3283064365386963e-10,1.2699198629948023,1.38702396443922,33
PH0,ETF,-0.0869642952465214,-16.355828802131963,0,33,2.3283064365386963e-10,0.9142862185627896,1.0012505138093113,33
MEANPH,ALL,0.07898583921157214,10.691870298854727,96,19,1.4467477786679854e-13,0.7558913233285968,0.6769054841170248,115
MEANPH,SMALL,0.041901604986025666,3.0006542061962715,31,18,0.08543313315739454,0.3030347243140429,0.26113311932801725,49
MEANPH,U56,0.09673689667009054,13.028118147680106,33,0,2.3283064365386963e-10,1.2699198629948023,1.1731829663247118,33
MEANPH,ETF,0.11629925075462272,13.81037846827264,32,1,7.916241884231567e-09,0.9142862185627896,0.797986967808167,33
BLEND-DR,ALL,0.05791925904406468,7.946954266917458,92,23,5.787079262982775e-11,0.7558913233285968,0.6979720642845322,115
BLEND-DR,SMALL,0.029334741158470276,2.0858627141706076,29,20,0.2528697301676033,0.3030347243140429,0.2736999831555726,49
BLEND-DR,U56,0.06579709699434053,8.786753123986738,32,1,7.916241884231567e-09,1.2699198629948023,1.2041227660004619,33
BLEND-DR,ETF,0.09248509916633811,9.99224812590817,31,2,1.3085082173347473e-07,0.9142862185627896,0.8218011193964517,33
BLEND-BH,ALL,0.055842334666927,7.695429274940182,87,28,3.1841488746150764e-08,0.7558913233285969,0.7000489886616699,115
BLEND-BH,SMALL,0.02730820314354948,1.949570356006255,24,25,1.0,0.3030347243140423,0.27572652117049284,49
BLEND-BH,U56,0.06346991259358889,8.588919555200128,32,1,7.916241884231567e-09,1.2699198629948016,1.2064499504012127,33
BLEND-BH,ETF,0.09058361869921963,9.836258666690092,31,2,1.3085082173347473e-07,0.9142862185627915,0.8237025998635715,33
