s,tol,n_S+M+,n_S+M-,n_S-M+,n_S-M-,p_S+M+,p_S+M-,p_S-M+,p_S-M-
0.0,0,80,88,0,0,-0.017719411208714737,-0.024177179888109322,,
0.0,1,54,114,0,0,-0.0115294230712883,-0.025636455096502028,,
0.0,2,25,143,0,0,-0.10461932115354643,-0.006501130755329639,,
0.01,0,78,47,2,41,-0.01792312183568043,-0.0451855143624879,-0.009774696757052143,-9.445500284608116e-05
0.01,1,54,71,0,43,-0.0115294230712883,-0.04083287087845686,,-0.0005446988053672933
0.01,2,25,100,0,43,-0.10461932115354643,-0.00906239649381345,,-0.0005446988053672933
0.02,0,77,40,3,48,-0.022102044195391225,-0.05857519850215037,0.09476816878264854,0.0044878356235915455
0.02,1,53,64,1,50,-0.017480051805879596,-0.04872535308468001,0.3038538998620499,0.003917334328365798
0.02,2,25,92,0,51,-0.10461932115354643,-0.015536764285787801,,0.009798443456477252
0.05,0,71,19,9,69,-0.029456918501342612,-0.11122826069545046,0.07487647965534966,-0.0002065924194211892
0.05,1,49,41,5,73,-0.02249321880410204,-0.07567342549775327,0.09591577511028633,0.0024665008822829194
0.05,2,25,65,0,78,-0.10461932115354643,-0.024450694430311122,,0.0084568389738216
0.1,0,52,5,28,83,-0.00405791427139414,0.0,-0.043090762663738714,-0.025633636507874945
0.1,1,40,17,14,97,0.01111607112119337,-0.03856790511530763,-0.07623083504980735,-0.023370118495268058
0.1,2,20,37,5,106,-0.08600021696149214,0.04078358911127966,-0.17909573792176364,-0.02300617448235364
