gate,value,bar,passed
"G1 U56 fast vs engine [BAND-DG g0.75] max|dr|,|dturn|",6.938893903907228e-18,1e-12,True
"G1 U56 fast vs engine [EW bar g1.00] max|dr|,|dturn|",2.0816681711721685e-17,1e-12,True
G2 b_band_dg(0.75) == baseline.rules_v2_weights (full frame),0.0,0.0,True
G3 U56 cost-rung identity r(25)=r(0)-turn*25/1e4,0.0,1e-12,True
G4 U56 B_EWW10 == idea 787 (17.69% / 1.1237 / -29.09%),2.8918518117648784e-05,0.0005,True
G5 U56 B_EW742 == idea 742/787 (17.94/1.1357/-28.87/OOS 18.64/1.1448),4.535786512760431e-05,0.0005,True
G6 U56 BAND-DG g1.00 == standing memo line 3 (11.55/1.2067/-15.70/1.2405/1.1798),4.953945571775642e-05,0.0005,True
G7 the gap under test: U56 g1.00 CAGR-floor miss vs B_EWW10 (-0.83 pp full / -0.14 pp OOS); got -0.829 / -0.144,0.003512380014643157,0.05,True
G8a flat_drag(d=0) is a no-op,0.0,0.0,True
G8b bar CAGR strictly decreasing over the d ladder (max step),-0.02260584732901294,0.0,True
G9 (ADDED post-hoc) slack == slack(0)+0.70*bar_drag-book_drag over all 308 HAZARD cells -> the FLAT inversion is an identity in phi,1.7763568394002505e-15,1e-09,True
