stat,rule,A_mean,A_wins,A_rev,A_meanrank,B_mean,B_wins,B_rev,B_meanrank,B1,B2,B3,SURVIVES
RAW,S_BREADTH,-0.009826655357845231,10/18,0.0024954299084354284,28.61111111111111,-0.062492048311199554,4/18,0.004791290846087555,38.0,False,False,False,False
RAW,S_CORR,0.14432187629608592,15/18,-0.09269108056088798,15.944444444444445,0.07741222625798179,12/18,-0.01169801418518742,21.77777777777778,True,False,True,False
RAW,S_DISP,0.0591573929664464,11/18,-0.06993996307947287,25.88888888888889,0.09613896415984534,11/18,-0.060468388038850525,22.666666666666668,True,False,True,False
RAW,S_EVOL,-0.1602634099190447,5/18,0.07873189970227926,44.333333333333336,-0.08363703833178192,5/18,0.04985890428820589,39.666666666666664,False,False,False,False
RAW,S_EWALL,-0.06933762232797919,6/18,-0.05614554234545869,38.27777777777778,-0.0017463748656930617,8/18,0.08308153084390847,33.44444444444444,False,False,False,False
RAW,S_ISS,-0.03528776453955244,8/18,0.008192750144019755,33.388888888888886,0.0390637628972365,10/18,0.058816880543146696,27.666666666666668,False,False,False,False
RAW,S_RESID,0.04002727462698605,13/18,0.012999059284917834,25.61111111111111,0.021588410499494226,9/18,-0.04555224418846812,30.333333333333332,True,False,True,False
RES,S_BREADTH,0.014657081770241625,12/18,-0.0328333167341647,27.944444444444443,-0.019652122478656473,8/18,0.00269189070525352,35.94444444444444,False,False,False,False
RES,S_CORR,-0.023523867444107352,4/18,-0.008086589147980192,40.111111111111114,0.02963523801668058,12/18,-0.00024260872999334112,23.22222222222222,False,False,False,False
RES,S_DISP,-0.052835815724879866,4/18,0.010281995851829798,43.77777777777778,0.001241775947706548,12/18,0.0017605214000148894,27.055555555555557,False,False,False,False
RES,S_EVOL,0.013985398544113122,13/18,-0.018246675635667696,26.055555555555557,-0.022566613004791587,6/18,-0.021585962113049462,39.111111111111114,False,False,False,False
RES,S_EWALL,-0.010418437598457385,10/18,-0.02788164730160885,30.38888888888889,0.0013155346075251375,10/18,0.004202182914912486,28.5,False,False,False,False
RES,S_ISS,-0.0008248926640871077,11/18,0.0005448888261244839,28.833333333333332,-0.00494084891162965,7/18,-0.001441333623778501,33.44444444444444,False,False,False,False
RES,S_RESID,0.03213769015167446,13/18,0.007534060104174166,21.5,-0.0030439753745693412,10/18,-0.015121326353240726,29.27777777777778,False,False,True,False
