panel,window,n,n_neg,frac_neg,mean_resid,median_resid,worst_resid,best_resid,mean_gap0,mean_share,sign_p
SMALL439,FULL,36,35,0.9722222222222222,-0.4004630973105419,-0.30024060681014264,-1.2379777065643305,0.0014150375737376208,-4.345473054484685,0.9137830134847191,1.076841726899147e-09
SMALL439,COMMON,36,35,0.9722222222222222,-0.4004630973105419,-0.30024060681014264,-1.2379777065643305,0.0014150375737376208,-4.345473054484685,0.9137830134847191,1.076841726899147e-09
SMALL439,IS,36,21,0.5833333333333334,-0.10324617777898479,-0.059949345141796506,-0.9473980389596015,0.507270445380481,-3.6142715374454295,0.9809632731324002,0.40503224614076316
SMALL439,OOS,36,36,1.0,-0.5908193514289019,-0.4908259699991646,-1.4253598346274376,-0.21128043943554609,-4.804471780678986,0.8821685211767222,2.9103830456733704e-11
U56,FULL,36,31,0.8611111111111112,-0.2993691744606372,-0.2365118604398586,-0.8528910611627305,0.22010061555157723,-4.364968373054627,0.9357674043972446,1.2913485988974571e-05
U56,COMMON,36,36,1.0,-0.47972622007531857,-0.43028487964876794,-0.9474988004956497,-0.08131633387729043,-4.282744580306803,0.8910770051474124,2.9103830456733704e-11
U56,IS,36,24,0.6666666666666666,-0.225149462168486,-0.315381575556406,-0.9404225838435032,0.39876762210770966,-3.8997761427682156,0.9518127074573142,0.06524533522315323
U56,OOS,36,31,0.8611111111111112,-0.3622411135479225,-0.33241733935819306,-1.1109128297540627,0.17857940268986017,-4.756295234407635,0.9294624388868695,1.2913485988974571e-05
B136,FULL,36,36,1.0,-0.4855109656594243,-0.44320048554946645,-1.0626915079179344,-0.08104418851524464,-4.294079180954703,0.890417788604084,2.9103830456733704e-11
B136,COMMON,36,36,1.0,-0.6953897248617051,-0.6385109538854628,-1.1555264352057781,-0.35409537256132495,-4.264095146569648,0.8390265751163954,2.9103830456733704e-11
B136,IS,36,27,0.75,-0.2571509768287572,-0.28112432274289834,-0.9110348444221428,0.35018982715577796,-3.8588845974131964,0.9428888528295083,0.00393317302223295
B136,OOS,36,36,1.0,-0.6705105462665172,-0.6251865560070069,-1.2457053869499024,-0.14240156802156623,-4.654339515566849,0.8601640752447246,2.9103830456733704e-11
