panel,window,cadence,choice_bar,date,rung_i,gross,tent_min,interior,moved
U56,W504,R6M,1520,2014-01-15,15,0.575,0.03207263612654654,True,False
U56,W504,R6M,1646,2014-07-17,12,0.5,-0.21308103636773748,True,True
U56,W504,R6M,1772,2015-01-15,11,0.475,-0.19888594752778008,True,True
U56,W504,R6M,1898,2015-07-17,9,0.425,-0.05811135353973208,True,True
U56,W504,R6M,2024,2016-01-15,6,0.35,0.4021266108646934,True,True
U56,W504,R6M,2150,2016-07-18,7,0.375,0.1563951734529925,True,True
U56,W504,R6M,2276,2017-01-17,7,0.375,0.15639517345299042,True,False
U56,W504,R6M,2402,2017-07-18,9,0.425,0.018052325814770398,True,True
U56,W504,R6M,2528,2018-01-17,11,0.475,-0.189133589541002,True,True
U56,W504,R6M,2654,2018-07-18,12,0.5,0.1577578405845987,True,True
U56,W504,R6M,2780,2019-01-17,9,0.425,0.036901060595286084,True,True
U56,W504,R6M,2906,2019-07-19,12,0.5,-0.13368169797195545,True,True
U56,W504,R6M,3032,2020-01-17,13,0.525,-0.2026033144567337,True,True
U56,W504,R6M,3158,2020-07-20,20,0.7,0.11352365038032473,True,True
U56,W504,R6M,3284,2021-01-19,19,0.675,0.1432412133724781,True,True
U56,W504,R6M,3410,2021-07-20,19,0.675,0.14324121337247203,True,False
U56,W504,R6M,3536,2022-01-18,17,0.625,0.20310068359849545,True,True
U56,W504,R6M,3662,2022-07-20,17,0.625,0.21102031762384843,True,False
U56,W504,R6M,3788,2023-01-19,9,0.425,0.4698887194517564,True,True
U56,W504,R6M,3914,2023-07-21,8,0.4,0.501155457132493,True,True
U56,W504,R6M,4040,2024-01-22,5,0.325,0.5799077864576083,True,True
U56,W504,R6M,4166,2024-07-23,17,0.625,0.22097910617185604,True,True
U56,W504,R6M,4292,2025-01-23,12,0.5,0.04292709871848493,True,True
U56,W504,R6M,4418,2025-07-25,11,0.475,0.09211116174893841,True,True
U56,W504,R6M,4544,2026-01-26,11,0.475,0.09211116174893756,True,False
U56,W504,R6M,4670,2026-07-28,11,0.475,0.09211116174893615,True,False
U56,W504,R1Y,1520,2014-01-15,15,0.575,0.03207263612654654,True,False
U56,W504,R1Y,1772,2015-01-15,11,0.475,-0.19888594752778008,True,True
U56,W504,R1Y,2024,2016-01-15,6,0.35,0.4021266108646934,True,True
U56,W504,R1Y,2276,2017-01-17,7,0.375,0.15639517345299042,True,True
U56,W504,R1Y,2528,2018-01-17,11,0.475,-0.189133589541002,True,True
U56,W504,R1Y,2780,2019-01-17,9,0.425,0.036901060595286084,True,True
U56,W504,R1Y,3032,2020-01-17,13,0.525,-0.2026033144567337,True,True
U56,W504,R1Y,3284,2021-01-19,19,0.675,0.1432412133724781,True,True
U56,W504,R1Y,3536,2022-01-18,17,0.625,0.20310068359849545,True,True
U56,W504,R1Y,3788,2023-01-19,9,0.425,0.4698887194517564,True,True
U56,W504,R1Y,4040,2024-01-22,5,0.325,0.5799077864576083,True,True
U56,W504,R1Y,4292,2025-01-23,12,0.5,0.04292709871848493,True,True
U56,W504,R1Y,4544,2026-01-26,11,0.475,0.09211116174893756,True,True
U56,W504,R2Y,1520,2014-01-15,15,0.575,0.03207263612654654,True,False
U56,W504,R2Y,2024,2016-01-15,6,0.35,0.4021266108646934,True,True
U56,W504,R2Y,2528,2018-01-17,11,0.475,-0.189133589541002,True,True
U56,W504,R2Y,3032,2020-01-17,13,0.525,-0.2026033144567337,True,True
U56,W504,R2Y,3536,2022-01-18,17,0.625,0.20310068359849545,True,True
U56,W504,R2Y,4040,2024-01-22,5,0.325,0.5799077864576083,True,True
U56,W504,R2Y,4544,2026-01-26,11,0.475,0.09211116174893756,True,True
U56,W756,R6M,1520,2014-01-15,17,0.625,-0.04696855863463997,True,False
U56,W756,R6M,1646,2014-07-17,18,0.65,-0.05548568060047478,True,True
U56,W756,R6M,1772,2015-01-15,15,0.575,-0.04197239587443946,True,True
U56,W756,R6M,1898,2015-07-17,11,0.475,-0.1398239298150442,True,True
U56,W756,R6M,2024,2016-01-15,12,0.5,0.1505181086391014,True,True
U56,W756,R6M,2150,2016-07-18,9,0.425,0.004976516824610341,True,True
U56,W756,R6M,2276,2017-01-17,9,0.425,0.04612479712409573,True,False
U56,W756,R6M,2402,2017-07-18,8,0.4,0.06144638519568712,True,True
U56,W756,R6M,2528,2018-01-17,9,0.425,0.0296675619738571,True,True
U56,W756,R6M,2654,2018-07-18,9,0.425,0.046738477069292315,True,False
U56,W756,R6M,2780,2019-01-17,10,0.45,-0.05704262045644227,True,True
U56,W756,R6M,2906,2019-07-19,11,0.475,-0.10205020440009652,True,True
U56,W756,R6M,3032,2020-01-17,12,0.5,-0.14640260153933296,True,True
U56,W756,R6M,3158,2020-07-20,16,0.6,0.23315804399208948,True,True
U56,W756,R6M,3284,2021-01-19,17,0.625,0.20310068359849953,True,True
U56,W756,R6M,3410,2021-07-20,23,0.775,0.008264486688471543,True,True
U56,W756,R6M,3536,2022-01-18,20,0.7,0.11352365038032448,True,True
