sleeve,n_assets,n,corr_mean,dSharpe_mean,dSharpe_pos,dCAGR_pp_mean,conv_per_pp_median,conv_per_pp_mean
SCASH,0,36,0.0,,0,-2.4744624539800117,,
S4,4,36,0.09884445714745334,0.264576734771209,36,-3.192491752140265,0.09018364890083755,0.0977641167760389
S5r,5,36,0.30947222417478476,0.18875887873346667,36,-3.0540246829959483,0.0671702560613929,0.0734229533694923
S5f,5,36,0.46727099857503634,0.10879873786514488,36,-2.658210013154307,0.040148061585654544,0.04345184483344127
S6r,6,36,0.46911820124981773,0.14002843060094497,36,-3.054273334912278,0.05047879647543846,0.05419622332906663
S7r,7,36,0.5859886323468172,0.10695239655134944,36,-2.9046689981571134,0.042500974220523624,0.04443666786356135
S6f,6,36,0.6580168930092218,0.044396306571473754,29,-2.0698686500670442,0.019450355033209257,0.004549150818893807
S8r,8,36,0.6927570659993199,0.06569363284004433,36,-2.3847438850626173,0.03206702512105845,0.037975735550657294
S7f,7,36,0.7181499190097763,0.04145766293000905,30,-2.0281132216135678,0.018743229507274105,0.018395723597469285
S8f,8,36,0.7431123480152574,0.047753017640960994,35,-2.15146847415165,0.023455733243997367,0.03390459976261876
S9,9,36,0.7440935368705184,0.05238951657982193,36,-2.147944344227147,0.030869215402627548,0.047751462889049315
