uni,n,scaler_off,book_off,rows_off,pub_off,adm_all_off,adm_pub_off,d3_pub_off,scaler_on,book_on,rows_on,pub_on,adm_all_on,adm_pub_on,d3_pub_on,d_adm_pub,d_adm_all,d_d3_pub
universe.json(56),3,OFF,TOP3,32,18,0.3125,0.5555555555555556,0.6666666666666666,ON,VS3,32,16,0.25,0.5,0.5,0.05555555555555558,0.0625,0.16666666666666663
universe.json(56),5,OFF,TOP5,32,12,0.375,1.0,1.0,ON,VS5,32,24,0.25,0.3333333333333333,0.4166666666666667,0.6666666666666667,0.125,0.5833333333333333
universe.json(56),10,OFF,TOP10,32,22,0.59375,0.8636363636363636,1.0,ON,VS10,32,16,0.0625,0.125,0.5,0.7386363636363636,0.53125,0.5
universe.json(56),20,OFF,TOP20,32,22,0.5625,0.7272727272727273,0.9090909090909091,ON,VS20,32,24,0.1875,0.25,1.0,0.4772727272727273,0.375,-0.09090909090909094
universe.json(56),40,OFF,TOP40,32,24,0.75,1.0,1.0,ON,VS40,32,24,0.6875,0.9166666666666666,1.0,0.08333333333333337,0.0625,0.0
universe_broad.json,3,OFF,TOP3,32,19,0.25,0.42105263157894735,0.7894736842105263,ON,VS3,32,11,0.25,0.7272727272727273,0.7272727272727273,-0.30622009569377995,0.0,0.062200956937799035
universe_broad.json,5,OFF,TOP5,32,14,0.3125,0.7142857142857143,1.0,ON,VS5,32,17,0.25,0.47058823529411764,0.47058823529411764,0.24369747899159666,0.0625,0.5294117647058824
universe_broad.json,10,OFF,TOP10,32,18,0.21875,0.3888888888888889,0.8888888888888888,ON,VS10,32,24,0.21875,0.2916666666666667,0.5833333333333334,0.09722222222222221,0.0,0.30555555555555547
universe_broad.json,20,OFF,TOP20,32,27,0.28125,0.3333333333333333,1.0,ON,VS20,32,17,0.375,0.5882352941176471,0.7647058823529411,-0.25490196078431376,-0.09375,0.23529411764705888
universe_broad.json,40,OFF,TOP40,32,28,0.6875,0.7857142857142857,0.8571428571428571,ON,VS40,32,26,0.6875,0.8461538461538461,0.9230769230769231,-0.06043956043956045,0.0,-0.06593406593406603
