model,term,coef,se,z,p
M1  |d| only,one,-3.681764781017842,0.38345793133847156,-9.601482927127183,7.880238146211446e-22
M1  |d| only,absd,21.9220625334625,2.8100398751825244,7.801335036940914,6.125564333305097e-15
M2  sign only,one,-1.6326945977763767,0.26517496870424045,-6.157046442786166,7.41141201044017e-10
M2  sign only,neg,0.8819182823766812,0.308653385912709,2.857309599144001,0.004272488780588825
M3  |d| + sign,one,-3.9501032957195696,0.487430658969093,-8.103928677925115,5.321230772692633e-16
M3  |d| + sign,absd,21.45311915499925,2.8165430723086025,7.616826231389753,2.5998895880381272e-14
M3  |d| + sign,neg,0.4482741501703088,0.4559747218061875,0.9831118453115657,0.3255523950373209
M4  |d| + sign + log(band),one,-5.355127328567395,0.7098752939039381,-7.543757860788522,4.566186229133565e-14
M4  |d| + sign + log(band),absd,24.503873392812725,3.2308827426747837,7.584265770204478,3.343751347099134e-14
M4  |d| + sign + log(band),neg,0.7106165519452475,0.5001376782740591,1.4208418657789124,0.1553627366011245
M4  |d| + sign + log(band),logband,-0.37662074706961135,0.09820652788369173,-3.8349868912548466,0.00012557099142750745
M5  |d| + sign + log(band) + corpus,one,-5.4405140154154275,0.7495654153750223,-7.258224437547497,3.9220440963031265e-13
M5  |d| + sign + log(band) + corpus,absd,25.49058458450019,3.5093586672453574,7.263601985860515,3.7691601049637847e-13
M5  |d| + sign + log(band) + corpus,neg,0.9786082580564173,0.5256194294539377,1.8618190333509674,0.0626286027158037
M5  |d| + sign + log(band) + corpus,logband,-0.4630266340160893,0.10846651524529112,-4.268844011158465,1.9648861254632426e-05
M5  |d| + sign + log(band) + corpus,isO,-1.2347203730303906,0.4887136019442029,-2.526470243755074,0.011521514818961945
