panel,is_skip,is_long,is_Sharpe,oCAGR,oSharpe,oMaxDD,keep4b_oos,keep4a_oos,anchor_oCAGR,anchor_oSharpe,anchor_oMaxDD,d_oSharpe_vs_anchor,d_oMaxDD_vs_anchor_pp,spy_oSharpe,spy_oCAGR,spy_oMaxDD,live_oSharpe
U56,21,252,1.1157631659166949,0.17323365236641464,1.185677704201696,-0.19127562163086187,True,False,0.17323365236641464,1.185677704201696,-0.19127562163086187,0.0,0.0,0.8738401470547136,0.1525745335844091,-0.33717289200673783,1.2768823974588255
B136,0,252,1.240030468752794,0.15650959801533215,0.9853154942948708,-0.21363248179898453,False,False,0.16187458516000497,1.017953764504917,-0.2074018763117904,-0.03263827021004628,-0.6230605487194119,0.8738511437360154,0.15257181383948715,-0.3371595330739301,1.1019125044197382
SMALL,10,189,0.7704209824648949,0.03273865658349728,0.2610072275199699,-0.43880429725233716,False,False,0.06698806653983369,0.4398469302655508,-0.3651051671527562,-0.17883970274558086,-7.369913009958095,0.8738401470547136,0.1525745335844091,-0.33717289200673783,0.6473415936678043
