D,barform,window,n,n_gt1,median,p25,p75
3,SPAN_POOLED,FULL,30,24,3.461660616615364,1.5214203293484951,5.448141564187232
3,SPAN_POOLED,IS,30,24,2.1510678837018453,1.356263404849793,2.547924946849447
3,SPAN_POOLED,OOS,30,18,2.404153202398645,0.7776496094855894,5.374715172526614
3,SPAN_RSS,FULL,30,19,1.8061433287267536,0.9570841500235414,3.3285181936114405
3,SPAN_RSS,IS,30,19,1.3601218183382051,0.8568431852436036,1.6767807681405498
3,SPAN_RSS,OOS,30,18,1.3556798995758688,0.6862762124663393,2.4272028485902966
3,GAP_POOLED,FULL,30,2,0.3553693628432915,0.12476553821774708,0.6161937063064872
3,GAP_POOLED,IS,30,0,0.17271166078874617,0.12684028901996952,0.4087781816208058
3,GAP_POOLED,OOS,30,2,0.3479390165191665,0.1773601064606903,0.5092807513102874
3,GAP_RSS,FULL,30,3,0.29345401490668466,0.12649447176223916,0.5609081254916225
3,GAP_RSS,IS,30,0,0.13318162775673906,0.09778111639694191,0.29680861379676704
3,GAP_RSS,OOS,30,9,0.6917292212449737,0.2795770020262617,1.140288645998488
6,SPAN_POOLED,FULL,30,24,2.439781961518352,1.360464649452422,4.932629028460304
6,SPAN_POOLED,IS,30,23,2.222183268734619,1.2262338975534728,2.4348645754333478
6,SPAN_POOLED,OOS,30,19,2.1590966899432087,0.8724098383994804,5.443524359758515
6,SPAN_RSS,FULL,30,22,1.700766906666351,0.9719315358507072,3.455019990827874
6,SPAN_RSS,IS,30,20,1.4176111936494102,0.852225704691868,1.9027736223337668
6,SPAN_RSS,OOS,30,17,1.2063567294577513,0.6761322196323665,3.032748537161173
6,GAP_POOLED,FULL,30,2,0.3736268818566091,0.08793487960712204,0.584823873070105
6,GAP_POOLED,IS,30,0,0.17575705984913437,0.1289694598862892,0.413861082546957
6,GAP_POOLED,OOS,30,2,0.33684378418395833,0.18825452090501743,0.5190486271387339
6,GAP_RSS,FULL,30,2,0.29519255666885347,0.06323364435856127,0.40585194771648625
6,GAP_RSS,IS,30,0,0.14689983561823722,0.10067800002274334,0.26731919890891154
6,GAP_RSS,OOS,30,2,0.3686298481784036,0.18371200071037155,0.625335203879123
12,SPAN_POOLED,FULL,30,24,2.384755875943908,1.3448672662127084,4.774367035945919
12,SPAN_POOLED,IS,30,23,2.203677785079217,1.215517574099663,2.630171795926236
12,SPAN_POOLED,OOS,30,19,2.2265743436431467,0.8252607245708071,5.037156902221705
12,SPAN_RSS,FULL,30,22,1.4913999122455324,0.9018016793057546,3.090944344618615
12,SPAN_RSS,IS,30,19,1.2261153031525183,0.7620607611622896,1.631670210578045
12,SPAN_RSS,OOS,30,16,1.2836330847584174,0.5522863940161702,3.0458730188993908
12,GAP_POOLED,FULL,30,1,0.3664959296630445,0.08595162360861115,0.5450016088248559
12,GAP_POOLED,IS,30,0,0.1680993264913607,0.13231893806013317,0.41363908044558245
12,GAP_POOLED,OOS,30,1,0.3061729677153291,0.1912764322637494,0.48434224644027346
12,GAP_RSS,FULL,30,1,0.2665394489344338,0.07489934120864156,0.4644862868184365
12,GAP_RSS,IS,30,0,0.15563406554662673,0.12180228719852831,0.3402788584316888
12,GAP_RSS,OOS,30,1,0.3425073308870028,0.15018804725882254,0.5471026356182712
24,SPAN_POOLED,FULL,30,25,2.5157910768155,1.4045221434373505,4.976549435041706
24,SPAN_POOLED,IS,30,26,2.4699477964669625,1.3926739046292798,2.9618589531300286
24,SPAN_POOLED,OOS,30,19,2.1447042520406323,0.8139667379279023,4.8135919579484785
24,SPAN_RSS,FULL,30,22,1.5664536179724813,0.9465386463506806,3.1377491090217324
24,SPAN_RSS,IS,30,20,1.4508604066047,0.868597124205338,1.8724177573313445
24,SPAN_RSS,OOS,30,16,1.211974390026469,0.561410686638412,2.8428247505823006
24,GAP_POOLED,FULL,30,1,0.35912378068301526,0.09067440818308503,0.5574592894514017
24,GAP_POOLED,IS,30,0,0.1841168359623903,0.14699861031715472,0.46821926062276104
24,GAP_POOLED,OOS,30,1,0.2973328391884936,0.18534791469992887,0.45479890320993255
24,GAP_RSS,FULL,30,2,0.259863229170322,0.07838279331354471,0.4794129690826976
24,GAP_RSS,IS,30,0,0.1718810262599525,0.1345694365621319,0.39631759663469046
24,GAP_RSS,OOS,30,1,0.32767940623069436,0.1526692955865017,0.5452035305826198
