universe,book,conv,f,inversions,pairs,strictly_monotone,rho
u56,v1,natural,0.25,3,10,False,-0.6363636363636362
u56,v1,natural,0.5,3,10,False,-0.709090909090909
u56,v1,natural,0.75,2,10,False,-0.709090909090909
u56,v1,matched,0.25,3,10,False,-0.12727272727272726
u56,v1,matched,0.5,4,10,False,0.17575757575757575
u56,v1,matched,0.75,3,10,False,0.406060606060606
u56,top20,natural,0.25,4,10,False,-0.7939393939393938
u56,top20,natural,0.5,4,10,False,-0.8181818181818182
u56,top20,natural,0.75,4,10,False,-0.9272727272727272
u56,top20,matched,0.25,4,10,False,-0.8424242424242423
u56,top20,matched,0.5,4,10,False,-0.8787878787878788
u56,top20,matched,0.75,3,10,False,-0.9393939393939393
u56,ewall,natural,0.25,4,10,False,-0.7939393939393938
u56,ewall,natural,0.5,4,10,False,-0.8787878787878788
u56,ewall,natural,0.75,1,10,False,-0.9878787878787878
u56,ewall,matched,0.25,0,10,True,-0.9999999999999999
u56,ewall,matched,0.5,1,10,False,-0.9878787878787878
u56,ewall,matched,0.75,1,10,False,-0.9878787878787878
broad,v1,natural,0.25,3,10,False,-0.5878787878787878
broad,v1,natural,0.5,3,10,False,-0.5151515151515151
broad,v1,natural,0.75,2,10,False,-0.5393939393939393
broad,v1,matched,0.25,3,10,False,-0.6606060606060605
broad,v1,matched,0.5,3,10,False,-0.49090909090909085
broad,v1,matched,0.75,3,10,False,0.2727272727272727
broad,top20,natural,0.25,4,10,False,-0.7939393939393938
broad,top20,natural,0.5,4,10,False,-0.7939393939393938
broad,top20,natural,0.75,4,10,False,-0.8424242424242423
broad,top20,matched,0.25,4,10,False,-0.7939393939393938
broad,top20,matched,0.5,4,10,False,-0.8424242424242423
broad,top20,matched,0.75,4,10,False,-0.9272727272727272
broad,ewall,natural,0.25,4,10,False,-0.7939393939393938
broad,ewall,natural,0.5,3,10,False,-0.9393939393939393
broad,ewall,natural,0.75,0,10,True,-0.9999999999999999
broad,ewall,matched,0.25,0,10,True,-0.9999999999999999
broad,ewall,matched,0.5,1,10,False,-0.9878787878787878
broad,ewall,matched,0.75,2,10,False,-0.9757575757575757
