bar,coef,n_admit,n0,lost,gained,victims_saved,pareto_victims_saved,ladder_admit,ladder0,identical,weak_dominates,strictly_dominates,grid,is_crossing
H1,0.5,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.55,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.6,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.65,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.7,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.75,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.8,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.85,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.9,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,0.95,30,29,0,1,1,0,10,10,False,True,False,coarse,
H1,1.0,29,29,0,0,0,0,10,10,True,True,False,coarse,
H1,1.05,28,29,1,0,0,0,10,10,False,False,False,coarse,
H1,1.1,27,29,2,0,0,0,10,10,False,False,False,coarse,
H1,1.15,21,29,8,0,0,0,10,10,False,False,False,coarse,
H1,1.2,13,29,16,0,0,0,9,10,False,False,False,coarse,
H1,1.25,8,29,21,0,0,0,5,10,False,False,False,coarse,
H1,1.3,1,29,28,0,0,0,5,10,False,False,False,coarse,
H1,1.35,0,29,29,0,0,0,0,10,False,False,False,coarse,
H1,1.4,0,29,29,0,0,0,0,10,False,False,False,coarse,
H1,1.45,0,29,29,0,0,0,0,10,False,False,False,coarse,
H1,1.5,0,29,29,0,0,0,0,10,False,False,False,coarse,
H1,-2.42681632605,30,29,0,1,1,0,10,10,False,True,False,exact,False
H1,0.1463673479,30,29,0,1,1,0,10,10,False,True,False,exact,True
H1,0.1806554784,30,29,0,1,1,0,10,10,False,True,False,exact,False
H1,0.2149436089,30,29,0,1,1,0,10,10,False,True,False,exact,True
H1,0.2156195728,30,29,0,1,1,0,10,10,False,True,False,exact,False
H1,0.2162955367,30,29,0,1,1,0,10,10,False,True,False,exact,True
H1,0.23015251465,30,29,0,1,1,0,10,10,False,True,False,exact,False
H1,0.2440094926,30,29,0,1,1,0,10,10,False,True,False,exact,True
