arm,band,IS_Sharpe_spread_over_gross,argmax_gross,OOS_CAGR_at_argmax,OOS_CAGR_spread_over_gross
ZERO,0.0,0.000997036610532076,1.0,0.12121671507431775,0.06115797395722833
ZERO,0.01,0.0009414830318497103,1.0,0.1235426554340262,0.06237088773288968
ZERO,0.03,0.0010771455751759085,1.0,0.126956558390525,0.06413201377979583
ZERO,0.05,0.0013151851337387388,1.0,0.12172530177898477,0.06133672822618563
ZERO,0.08,0.0008763068066213187,1.0,0.12038538471401328,0.06059080873160294
FLAT150,0.0,0.16484291264734519,0.5,0.07023901510392183,0.05574008582328305
FLAT150,0.01,0.16367107945733905,0.5,0.07135373927076216,0.056942479540867286
FLAT150,0.03,0.161839159385198,0.5,0.073026531724808,0.058707086435970224
FLAT150,0.05,0.16036499166682106,0.5,0.0707630645144195,0.05612832186494843
FLAT150,0.08,0.15802683772254222,0.5,0.07032131314498025,0.0555562253430415
FLAT300,0.0,0.32829750397871704,0.5,0.08036651903153791,0.05032564422316699
FLAT300,0.01,0.3259154247815881,0.5,0.0814828499157989,0.0515176220687783
FLAT300,0.03,0.3224134283808717,0.5,0.08317559073687186,0.05328556987081834
FLAT300,0.05,0.3197180531644752,0.5,0.08108557867085686,0.05092018626552508
FLAT300,0.08,0.31464407087270363,0.5,0.08079681643123493,0.05051947673787205
FLATMATCH_ORACLE,0.0,0.08894175689026951,0.5,0.07187548627708118,0.05486683843813189
FLATMATCH_ORACLE,0.01,0.08833173708611808,0.5,0.07299047566897432,0.05606754545667392
FLATMATCH_ORACLE,0.03,0.08727594841906416,0.5,0.07466648910575668,0.057832700566942785
FLATMATCH_ORACLE,0.05,0.08636786241482008,0.5,0.07243092554299335,0.05528855180175407
FLATMATCH_ORACLE,0.08,0.08530057113021505,0.5,0.07201379190353041,0.05474425279006234
FLATMATCH_IS,0.0,0.08894175689026951,0.5,0.06556791844132803,0.058229124119292264
FLATMATCH_IS,0.01,0.08833173708611808,0.5,0.0666818739561641,0.05943633837614515
FLATMATCH_IS,0.03,0.08727594841906416,0.5,0.06834547767962684,0.06119936316759067
FLATMATCH_IS,0.05,0.08636786241482008,0.5,0.06600262719803873,0.05852150409757262
FLATMATCH_IS,0.08,0.08530057113021505,0.5,0.0654908271903194,0.05786984270879114
BILLPATH,0.0,0.133044012606788,0.5,0.07013156115246066,0.05361673842594605
BILLPATH,0.01,0.13210077743695603,0.5,0.07122604292564927,0.054792902682724964
BILLPATH,0.03,0.13059919328429292,0.5,0.07290467841058734,0.05655738315537029
BILLPATH,0.05,0.12938020581814946,0.5,0.0707935411023255,0.05415427348361179
BILLPATH,0.08,0.12759349587169067,0.5,0.07065131528978896,0.05391238289022571
SHYPATH,0.0,0.10807323099609012,0.5,0.07176486853062403,0.054675297750854224
SHYPATH,0.01,0.10803288420000912,0.5,0.07281731761638688,0.05581106528735158
SHYPATH,0.03,0.10731357569856503,0.5,0.07422103034123895,0.05727631444509096
SHYPATH,0.05,0.10606867158409772,0.5,0.07206092647179241,0.054813020189913964
SHYPATH,0.08,0.10565592963211623,0.5,0.07201610725898355,0.054678305094091995
