gate,panel,g,n_ep,underwater_days,episode_days,overlap,bind_depth_err,PASS
G4,U56,0.5,370,3628.0,3628.0,False,0.0,True
G4,U56,0.75,363,3637.0,3637.0,False,0.0,True
G4,U56,1.0,360,3643.0,3643.0,False,0.0,True
G5,U56,,370,,,False,0.0,True
G4,B136,0.5,401,3584.0,3584.0,False,0.0,True
G4,B136,0.75,399,3592.0,3592.0,False,0.0,True
G4,B136,1.0,391,3606.0,3606.0,False,0.0,True
G5,B136,,401,,,False,0.0,True
G4,SMALL439,0.5,164,3602.0,3602.0,False,0.0,True
G4,SMALL439,0.75,160,3608.0,3608.0,False,0.0,True
G4,SMALL439,1.0,152,3618.0,3618.0,False,0.0,True
G5,SMALL439,,164,,,False,0.0,True
G4,U56cur,0.5,370,3629.0,3629.0,False,0.0,True
G4,U56cur,0.75,363,3638.0,3638.0,False,0.0,True
G4,U56cur,1.0,360,3644.0,3644.0,False,0.0,True
