dial,n,flips,rate,med_dOOS,mean_dOOS,worst_dOOS,worst_dDD
BAND,22,18,0.8181818181818182,0.0,0.010791152143379092,-0.09749974497249858,-0.010554717747202291
CADENCE,22,17,0.7727272727272727,0.0,-0.04691920527632625,-0.24763529696321518,-0.09601715458236082
N,22,15,0.6818181818181818,0.0,-0.04100938025409247,-0.461660298466291,-0.008460006761285888
GROSS,22,14,0.6363636363636364,0.00033802951763695077,0.0008399387133367933,0.0,0.0
VOLCAP,22,14,0.6363636363636364,0.005221162623058273,0.01708801802056947,-0.3143917258154607,-0.02195415787076238
